main_id,ra,dec,otype
[JPB2009] 187.4490244+7.9954387,187.4490244,7.9954387,GlC
[JPB2009] 187.7085337+12.3904466,187.7085337,12.3904466,GlC
[JPB2009] 187.4683105+7.9997802,187.4683105,7.9997802,GlC
[JPB2009] 187.7192086+12.3951473,187.7192086,12.3951473,GlC
[JPB2009] 187.6985035+12.4070140,187.6985035,12.407014,GlC
[JPB2009] 188.4895059+7.7199036,188.4895059,7.7199036,GlC
[JPB2009] 187.1707355+11.7429289,187.1707355,11.7429289,GlC
[JPB2009] 185.5822970+14.7625573,185.582297,14.7625573,GlC
[JPB2009] 185.2066776+17.4913566,185.2066776,17.4913566,GlC
[AFF2015] NGC4473 GC93,187.52188553681998,13.46907781431,GlC
[BAL2007] gc401.6,54.39125,-35.546586111111104,GlC
[MKZ2003] OID  115,187.42541666666665,7.963611111111114,GlC
[MKZ2003] OID   39,187.42137499999998,7.950027777777778,GlC
[MKZ2003] OID    1,187.41670833333333,8.058277777777779,GlC
[MKZ2003] OID  268,187.4320833333333,8.017666666666667,GlC
[BAL2007] gc114.7,54.04515000000001,-35.40623888888888,GlC
[JPB2009] 187.7034479+12.3970658,187.7034479,12.3970658,GlC
[JPB2009] 187.7051152+12.4024046,187.70525735453,12.40220991759,GlC
[JPB2009] 187.7029312+12.3828592,187.7029312,12.3828592,GlC
[JPB2009] 187.6982021+12.3866665,187.6982021,12.3866665,GlC
[JPB2009] 190.9073793+11.5665140,190.9067916666667,11.566416666666667,GlC
[JPB2009] 187.3825735+8.0136194,187.3825735,8.0136194,GlC
[JPB2009] 188.1408903+15.4196463,188.1408903,15.4196463,GlC
[JPB2009] 189.2191636+7.2582547,189.2191636,7.2582547,GlC
[JPB2015] 054.1114029-34.9738484,54.1114029,-34.9738484,GlC
DSH J0933.7-5705,143.44958333333332,-57.099444444444444,GlC
CWNU 4193,121.17375000000001,-38.92111111111111,GlC
[JPB2009] 186.2953476+14.7636041,186.2953476,14.7636041,GlC
[JPB2015] 052.0659346-31.0426074,52.0659346,-31.0426074,GlC
[SCD99]  2,237.74383333333336,-56.48241666666667,GlC
[AFR2020] NGC5907 GC1,228.93329999999997,56.330723000000006,GlC
[AFR2020] NGC5907 GC2,229.01321,56.25453,GlC
[AFR2020] NGC5907 GC3,229.17626999999996,56.411514,GlC
[AFR2020] NGC5907 GC4,229.04754999999997,56.29377399999999,GlC
[AFR2020] NGC5907 GC5,229.28502,56.374107,GlC
[AFR2020] NGC5907 GC6,228.87169999999998,56.389336,GlC
[AFR2020] NGC5907 GC7,229.26893999999996,56.344845,GlC
[AFR2020] NGC5907 GC8,228.91808,56.36979,GlC
[AFR2020] NGC5907 GC9,228.95011999999997,56.11405,GlC
[AFR2020] NGC5907 GC10,229.00362999999996,56.119396,GlC
[AFR2020] NGC5907 GC11,228.97736,56.12487,GlC
[AFR2020] NGC5907 GC12,229.04741999999996,56.12839,GlC
[AFR2020] NGC5907 GC13,228.94493,56.12755,GlC
M31GC J004247+411740,10.695708333333332,41.29438888888888,GlC
[AFR2020] NGC5907 GC14,228.84105999999997,56.12865,GlC
[AFR2020] NGC5907 GC15,228.96431,56.130363,GlC
[AFR2020] NGC5907 GC16,228.86577999999997,56.131924,GlC
[AFR2020] NGC5907 GC17,228.82546999999997,56.13442,GlC
[GSG2007] G28,169.57758333333337,58.76897222222222,GlC
[AFR2020] NGC5907 GC18,228.84355,56.13722,GlC
[AFR2020] NGC5907 GC19,228.86409999999998,56.14067,GlC
[AFR2020] NGC5907 GC20,228.98225,56.14572,GlC
[AFR2020] NGC5907 GC21,228.85680999999997,56.14641,GlC
[AFR2020] NGC5907 GC22,229.17252999999997,56.147163,GlC
[AFR2020] NGC5907 GC23,229.19561999999996,56.151443,GlC
[AFR2020] NGC5907 GC24,228.78692999999998,56.153774,GlC
[AFR2020] NGC5907 GC25,229.05098,56.156119999999994,GlC
[AFR2020] NGC5907 GC26,228.84220999999997,56.156105,GlC
[JPB2009] 187.7079144+12.3811227,187.7079144,12.3811227,GlC
[AFR2020] NGC5907 GC27,228.86594999999997,56.15854,GlC
[AFR2020] NGC5907 GC28,229.06296,56.16093,GlC
[AFR2020] NGC5907 GC29,229.19695999999996,56.16252,GlC
[AFR2020] NGC5907 GC30,229.10237,56.166107,GlC
[AFR2020] NGC5907 GC31,229.01258999999996,56.1671,GlC
[AFR2020] NGC5907 GC32,228.82052999999996,56.168205,GlC
[AFR2020] NGC5907 GC33,228.94669,56.167957,GlC
[AFR2020] NGC5907 GC34,229.00252999999998,56.168003,GlC
[AFR2020] NGC5907 GC35,228.84753,56.168575,GlC
[JPB2015] 054.5933319-35.4713861,54.5933319,-35.4713861,GlC
[AFR2020] NGC5907 GC36,228.94023,56.16992,GlC
[AFR2020] NGC5907 GC37,228.76502999999997,56.170555,GlC
[AFR2020] NGC5907 GC38,229.02480999999997,56.174824,GlC
[GSB2003] 4517-49,188.19,0.10900000000000001,GlC
[UFS2013] acs 2238,185.04902422549998,29.254085047989996,GlC
[AFR2020] NGC5907 GC39,228.89047,56.174595,GlC
[AFR2020] NGC5907 GC40,228.86205999999999,56.176643,GlC
[AFR2020] NGC5907 GC41,228.89107,56.18078,GlC
[AFR2020] NGC5907 GC42,228.93067999999997,56.184062999999995,GlC
[AFR2020] NGC5907 GC43,228.93472,56.185925,GlC
[AFR2020] NGC5907 GC44,229.21375,56.18793000000001,GlC
[AFR2020] NGC5907 GC45,228.71706,56.187912,GlC
[AFR2020] NGC5907 GC46,228.95054999999996,56.193672,GlC
[AFR2020] NGC5907 GC47,228.85446,56.194103,GlC
[AFR2020] NGC5907 GC48,228.70023,56.195698,GlC
[AFR2020] NGC5907 GC49,229.22115000000002,56.197002,GlC
[AFR2020] NGC5907 GC50,229.04247999999998,56.19773,GlC
[AFR2020] NGC5907 GC51,229.01816999999997,56.199276,GlC
[AFR2020] NGC5907 GC52,228.85616,56.199547,GlC
[AFR2020] NGC5907 GC53,228.70335,56.199036,GlC
[AFR2020] NGC5907 GC54,229.20092999999997,56.200657,GlC
[AFR2020] NGC5907 GC55,229.19014000000004,56.203224,GlC
M31GC J004516+414450,11.31583,41.747088,GlC
[AFR2020] NGC5907 GC56,228.71935999999997,56.203712,GlC
[AFR2020] NGC5907 GC57,229.11750999999998,56.20447000000001,GlC
[AFR2020] NGC5907 GC58,228.85886,56.20572,GlC
[AFR2020] NGC5907 GC59,229.21288,56.20525,GlC
[AFR2020] NGC5907 GC60,229.18152,56.20558,GlC
[AFR2020] NGC5907 GC61,228.83899,56.20773,GlC
[AFR2020] NGC5907 GC62,228.71010999999996,56.207905,GlC
[AFR2020] NGC5907 GC63,229.19219999999999,56.208904,GlC
[AFR2020] NGC5907 GC64,228.73456999999996,56.208866,GlC
[AFR2020] NGC5907 GC65,229.17488,56.21039600000001,GlC
[AFR2020] NGC5907 GC66,229.17184,56.210346,GlC
[AFR2020] NGC5907 GC67,229.10382,56.212962999999995,GlC
[AFR2020] NGC5907 GC68,229.22034000000002,56.21531699999999,GlC
[AFR2020] NGC5907 GC69,229.04438999999996,56.21597,GlC
[AFR2020] NGC5907 GC70,228.84414999999998,56.21998,GlC
[AFR2020] NGC5907 GC71,228.93741999999997,56.222065,GlC
[AFR2020] NGC5907 GC72,228.85848999999996,56.222443,GlC
[JSR2014] A77,151.338123,-7.7147,GlC
[AFR2020] NGC5907 GC73,228.94353999999998,56.223717,GlC
[PFR2013] NGC5846 GC83,226.6142,1.55641,GlC
[AFR2020] NGC5907 GC74,229.16164999999998,56.223670000000006,GlC
[AFR2020] NGC5907 GC75,229.06561,56.226916999999986,GlC
[AFR2020] NGC5907 GC76,228.94609999999997,56.22608,GlC
[AFR2020] NGC5907 GC77,229.01979999999998,56.227486,GlC
[AFR2020] NGC5907 GC78,228.84557999999998,56.228256,GlC
[AFR2020] NGC5907 GC79,229.18498,56.23057,GlC
[AFR2020] NGC5907 GC80,229.2372,56.23,GlC
[AFR2020] NGC5907 GC81,229.14796,56.230846,GlC
[AFR2020] NGC5907 GC82,228.86211999999998,56.23269700000001,GlC
[AFR2020] NGC5907 GC83,228.70299999999997,56.23309,GlC
[AFR2020] NGC5907 GC84,228.65688,56.2335,GlC
[AFR2020] NGC5907 GC85,228.84694,56.234233999999994,GlC
[AFR2020] NGC5907 GC86,228.85071999999997,56.235912,GlC
[AFR2020] NGC5907 GC87,229.09035,56.237213,GlC
[AFR2020] NGC5907 GC88,229.20537000000002,56.239857,GlC
[AFR2020] NGC5907 GC89,228.79778,56.238975999999994,GlC
[AFR2020] NGC5907 GC90,228.85924,56.239520000000006,GlC
[AFR2020] NGC5907 GC91,229.09940999999998,56.241814,GlC
[AFR2020] NGC5907 GC92,229.11454999999998,56.243965,GlC
