main_id,ra,dec,otype
[KPS2012] MWSC 3577,329.767,54.79,OpC
Cl Chupina    1,132.52916666666667,11.945,OpC
[FSR2007] 0940,93.56666666666666,14.805000000000001,OpC
[FSR2007] 1073,85.62,-8.15,OpC
Cl Chupina    4,133.0,12.378333333333334,OpC
Cl Chupina    3,132.8625,11.395000000000001,OpC
[KPR2005] 116,329.6416666666666,54.49,OpC
ESO 224-8,234.7725,-50.050555555555555,OpC
[HXW2022] OC-0125,310.7756967,38.437018120000005,OpC
[HXW2022] OC-0711,295.73,20.029999999999998,OpC
[HXW2022] OC-0712,304.72,37.75,OpC
[HXW2022] OC-0713,351.27,61.32,OpC
[HXW2022] OC-0724,137.95,-52.23,OpC
[HXW2022] OC-0725,139.16,-54.160000000000004,OpC
[HXW2022] OC-0727,159.2701,-59.92,OpC
[HXW2022] OC-0729,160.6101,-60.42999999999999,OpC
[HXW2022] OC-0733,193.44,-60.36,OpC
[HXW2022] OC-0739,252.33,-44.72999999999999,OpC
[HXW2022] OC-0740,252.31999999999994,-44.71,OpC
[HXW2022] OC-0741,264.90999999999997,-33.21,OpC
Cl Stock   16,199.85999999999999,-62.62200000000001,OpC
NAME EE Draconis Cluster,285.19999999999993,69.7,OpC
Juchert  1,290.629,12.667000000000002,OpC
[FSR2007] 0519,13.092000000000002,64.596,OpC
[HXW2022] OC-0714,26.04,61.88,OpC
[MCM2005b]  1,273.4791666666667,-17.948333333333338,OpC
[HXW2022] OC-0716,99.64000000000001,2.0800000000000005,OpC
[HXW2022] OC-0719,123.11,-27.93,OpC
Cl Melotte  166,,,OpC
[HXW2022] OC-0726,149.41,-54.6,OpC
[HXW2022] OC-0728,161.1801,-59.349999999999994,OpC
[HXW2022] OC-0735,223.61999999999998,-57.63,OpC
[HXW2022] OC-0736,230.27000000000004,-59.60000000000001,OpC
[HXW2022] OC-0738,242.58000000000004,-52.32999999999999,OpC
[HXW2022] OC-0742,262.93,-31.969999999999995,OpC
[HXW2022] OC-0705,268.55999999999995,-23.14,OpC
[HXW2022] OC-0707,278.37,-10.39,OpC
[HXW2022] OC-0706,278.38,-10.399999999999999,OpC
[HXW2022] OC-0708,282.68,-6.349999999999998,OpC
[HXW2022] OC-0709,290.72,18.67,OpC
[HXW2022] OC-0710,292.64,20.260000000000005,OpC
[DB2000] 58,266.25041666666664,-28.860277777777778,OpC
[BDB2003] G115.02+08.57,349.42083333333335,69.98833333333333,OpC
[MCM2005b] 77,244.3625,-50.51166666666666,OpC
[MCM2005b] 75,243.5916666666667,-50.60333333333333,OpC
[FSR2007] 0045,274.62458333333336,-18.403333333333332,OpC
[FSR2007] 0367,335.4829166666667,58.72777777777778,OpC
[FSR2007] 0786,80.7125,33.41277777777778,OpC
[FSR2007] 0981,97.78875000000001,10.426388888888889,OpC
[FSR2007] 1445,130.6783333333333,-47.202222222222225,OpC
[FSR2007] 1508,147.31791666666666,-54.60666666666667,OpC
[KPS2012] MWSC 1036,104.478,-8.745,OpC
[KPS2012] MWSC 1041,104.684,-3.685,OpC
[KPS2012] MWSC 1187,110.317,-20.22,OpC
BMG 205,90.3175,-68.01416666666667,OpC
KMHK  158,72.875,-67.455,OpC
[GKK2003] O219,77.0,-68.2,OpC
[GKK2003] O169,83.975,-68.95,OpC
KMHK 1186,84.72916666666666,-71.295,OpC
[GKK2003] O136,85.37500000000001,-70.15,OpC
KMHK 1321,86.05,-71.32833333333333,OpC
[GKK2003] O156,87.05,-69.16666666666667,OpC
KMHK 1403,87.11666666666667,-70.54833333333333,OpC
Cl Lynga   63,252.54999999999998,-18.084999999999997,OpC
[HXW2022] OC-0715,59.94,55.54,OpC
BMG  20,85.90583333333333,-67.39583333333334,OpC
[HXW2022] OC-0718,110.65,-29.86,OpC
[HXW2022] OC-0717,115.29,-26.029999999999998,OpC
[HXW2022] OC-0720,122.19000000000001,-36.1601,OpC
[HXW2022] OC-0721,127.19,-41.19,OpC
BMG 233,91.48416666666667,-67.8963888888889,OpC
PHOC 4,106.79498000000001,-7.691020000000001,OpC
PHOC 25,95.23881,7.32144,OpC
PHOC 7,285.72713,14.57509,OpC
PHOC 10,266.64221,-30.388870000000008,OpC
[GKK2003] O154,73.94583333333334,-69.37166666666666,OpC
[HS66] 134,77.37083333333334,-68.56333333333333,OpC
KMHK  124,72.38749999999999,-69.72833333333334,OpC
[HXW2022] OC-0723,132.34,-46.56,OpC
NAME Cl Dol Dzim 5,246.85,38.06666666666667,OpC
[HS66] 137,77.50416666666668,-65.31,OpC
[HS66] 188,78.69166666666668,-69.20666666666666,OpC
KMHK  895,81.52916666666667,-68.63333333333334,OpC
