PGC,RAJ2000,DEJ2000,OType,MType,logD25,logR25,PA,ANames
2402729,00 00 00.1,+51 55 15,G,,0.38,0.1,126.0,
520795,00 00 00.1,-45 57 15,G,,0.53,0.18,22.0,
1961515,00 00 00.1,+31 43 54,G,,0.6,0.21,160.0,
1982072,00 00 00.1,+32 08 12,G,,0.51,0.13,136.0,
535833,00 00 00.1,-44 34 41,G,,0.53,0.23,148.0,
622563,00 00 00.1,-37 28 35,G,,0.47,0.12,136.0,
124374,00 00 00.2,-41 25 22,G,,0.57,0.04,,LCRSB235726.1-414205
2794824,00 00 00.2,-40 06 48,G,,,,,
398935,00 00 00.4,-56 35 19,G,,0.43,0.21,16.0,
2058887,00 00 00.5,+35 04 02,G,,0.54,0.14,110.0,
1985872,00 00 00.6,+32 12 33,G,,0.79,0.19,178.0,
582652,00 00 00.7,-40 46 14,G,,0.53,0.4,137.0,
993697,00 00 00.7,-09 13 20,G,,0.43,0.24,175.0,
143101,00 00 00.8,-59 00 47,G,,0.56,0.07,161.0,
399117,00 00 00.8,-56 33 48,G,,0.46,0.36,74.0,
402770,00 00 00.8,-56 08 28,G,,0.58,0.48,30.0,
1963523,00 00 00.8,+31 46 11,G,,0.89,0.37,113.0,
130936,00 00 00.8,-40 54 12,G,E,0.93,0.3,19.0,
1283524,00 00 00.8,+05 26 37,G,,0.78,0.08,68.0,
295942,00 00 00.9,-67 24 32,G,,0.58,0.36,27.0,
1205857,00 00 00.9,+01 47 14,G,,0.64,0.23,91.0,
779853,00 00 00.9,-25 21 31,G,,0.53,0.39,71.0,
1040129,00 00 01.0,-05 48 37,G,,0.31,0.06,79.0,
839066,00 00 01.0,-20 37 45,G,,0.56,0.19,68.0,
820316,00 00 01.0,-22 01 30,G,,0.65,0.55,177.0,
836642,00 00 01.0,-20 48 43,G,,0.49,0.13,147.0,
2056872,00 00 01.1,+34 56 08,G,,0.57,0.18,59.0,
2009149,00 00 01.2,+32 42 36,G,,0.71,0.27,107.0,
1627451,00 00 01.3,+20 26 33,G,,0.59,0.35,12.0,
1025507,00 00 01.3,-07 01 26,G,,0.49,0.18,131.0,
556602,00 00 01.5,-42 52 20,G,,0.44,0.11,11.0,
265253,00 00 01.5,-72 08 54,G,,0.48,0.2,118.0,
870041,00 00 01.5,-18 17 25,G,,0.53,0.24,77.0,
427855,00 00 01.5,-53 37 55,G,,0.57,0.15,72.0,
1004399,00 00 01.6,-08 23 08,G,,0.55,0.46,117.0,
1152096,00 00 01.6,-00 05 34,G,,0.41,0.18,50.0,
2,00 00 01.6,+47 16 29,G,SBb,1.27,0.17,162.0,UGC12889              MCG8-01-018           CGCG549-13            CGCG548-22            [RC2]A2357+47         IRAS23574+4659        NPM1G+46.0448
2025207,00 00 01.7,+33 09 53,G,,0.57,0.06,91.0,
597360,00 00 01.8,-39 30 46,G,,0.46,0.09,75.0,
597378,00 00 01.8,-39 30 41,G,,0.59,0.22,40.0,
1554496,00 00 01.9,+18 15 31,G,,0.43,0.02,,
6,00 00 02.1,+15 52 53,G,,0.55,0.13,,CGCG456-13            KUG2357+156
1032184,00 00 02.1,-06 29 47,G,,0.55,0.19,153.0,
780813,00 00 02.3,-25 16 15,G,,0.54,0.38,81.0,
277229,00 00 02.3,-69 46 04,G,,0.45,0.18,146.0,
1057782,00 00 02.3,-04 28 04,G,,0.52,0.15,19.0,IRASF23574-0444
750506,00 00 02.4,-27 44 30,G,,0.43,0.32,164.0,
124869,00 00 02.4,-38 53 40,G,,0.38,0.09,12.0,LCRSB235728.3-391022
1281052,00 00 02.5,+05 17 21,G,,0.63,0.14,46.0,
1977586,00 00 02.5,+32 02 49,G,,0.51,0.3,174.0,
133590,00 00 02.7,-23 22 03,G,SO-a,0.69,0.09,26.0,DUKST537-38
798588,00 00 02.7,-23 39 12,G,,0.42,0.17,98.0,IRAS23574-2356
775808,00 00 02.7,-25 43 01,G,,0.6,0.34,25.0,
580652,00 00 02.8,-40 57 10,G,,0.37,0.16,89.0,
143105,00 00 02.8,-34 03 53,G,,0.79,0.55,27.0,
923433,00 00 02.9,-14 31 47,G,,0.62,0.48,24.0,
2440109,00 00 02.9,+53 24 11,G,,0.39,0.09,110.0,
2043919,00 00 02.9,+34 06 19,G,,0.4,0.06,6.0,
371047,00 00 02.9,-59 29 21,G,,0.73,0.37,122.0,
819342,00 00 03.0,-22 05 36,G,,0.5,0.25,6.0,
551686,00 00 03.1,-43 12 27,G,,0.42,0.22,17.0,
675391,00 00 03.1,-33 30 34,G,,0.37,0.16,144.0,
533457,00 00 03.1,-44 48 18,G,,0.39,0.06,130.0,
836270,00 00 03.1,-20 50 29,G,,0.4,0.26,122.0,
3,00 00 03.1,-18 00 30,G,Sc,0.82,0.36,,MCG-3-01-012          IRAS23574-1817
2028486,00 00 03.1,+33 17 12,G,,0.39,0.07,10.0,
775188,00 00 03.2,-25 46 33,G,,0.64,0.51,,
1126440,00 00 03.2,-01 06 48,G,,0.41,0.15,130.0,
974615,00 00 03.3,-10 43 16,G,,0.7,0.69,158.0,
4,00 00 03.4,+23 05 16,G,Sc,0.93,0.68,63.0,KUG2357+228817
1964345,00 00 03.5,+31 47 11,G,,0.74,0.16,162.0,
598724,00 00 03.5,-39 23 19,G,,0.4,0.07,134.0,
754953,00 00 03.5,-27 26 08,G,,0.58,0.38,67.0,
73199,00 00 03.6,+26 00 50,G,Sc,0.86,0.37,79.0,KUG2357+257817
780860,00 00 03.7,-25 15 59,G,,0.49,0.07,26.0,
699349,00 00 03.8,-31 55 06,G,,0.46,0.26,154.0,
781784,00 00 03.9,-25 10 56,G,,0.4,0.13,55.0,
129171,00 00 04.0,-49 16 52,G,Sc,0.82,0.34,121.0,
445008,00 00 04.0,-52 21 58,G,,0.54,0.18,162.0,
467390,00 00 04.1,-50 20 55,G,,0.4,0.2,90.0,
2051005,00 00 04.2,+34 33 24,G,,0.48,0.12,154.0,
7,00 00 04.4,-00 05 04,GM,E-SO,0.75,0.09,162.0,MCG0-01-014           CGCG382-14            KPG600A               ARK590                NPM1G-00.0642
771092,00 00 04.5,-26 08 25,G,,0.44,0.06,54.0,
2794825,00 00 04.5,-39 28 04,G,,,,,
822314,00 00 04.5,-21 53 18,G,,0.64,0.32,105.0,
997239,00 00 04.6,-08 56 38,G,,0.52,0.36,64.0,
2012302,00 00 04.7,+32 47 11,G,,0.49,0.04,,
1045312,00 00 04.7,-05 23 34,G,,0.55,0.08,59.0,
143106,00 00 04.7,+00 46 54,G,,0.6,0.17,130.0,
485907,00 00 04.8,-48 35 01,G,,0.46,0.35,148.0,
842368,00 00 04.9,-20 23 40,G,,0.38,0.21,107.0,
