pl_name,hostname,pl_orbper
HR 8799 d,HR 8799,37000.0
HD 156279 b,HD 156279,131.05
GJ 832 b,GJ 832,3507.0
GJ 1214 b,GJ 1214,1.58040482
HD 24040 b,HD 24040,3668.0
HD 168443 c,HD 168443,1749.83
HD 12661 c,HD 12661,1679.0
HD 66428 b,HD 66428,1973.0
HD 114783 b,HD 114783,496.9
HD 187123 b,HD 187123,3.097
HD 12661 b,HD 12661,262.709
HD 168443 b,HD 168443,58.11212
HD 217107 b,HD 217107,7.126816
HD 114783 b,HD 114783,493.7
GJ 1214 b,GJ 1214,1.5803925
HD 168443 b,HD 168443,58.1112
HD 217107 b,HD 217107,7.12689
HD 217107 c,HD 217107,3352.0
HD 68988 b,HD 68988,6.276
HD 21749 c,GJ 143,7.7897726
HD 114783 b,HD 114783,501.0
HD 168443 c,HD 168443,1749.5
HD 217107 b,HD 217107,7.1269
HD 183263 b,HD 183263,634.23
Kepler-37 b,Kepler-37,13.3670203111
51 Eri b,51 Eri,
GJ 1214 b,GJ 1214,
GJ 1214 b,GJ 1214,1.58040481
GJ 1214 b,GJ 1214,1.58040481
HR 8799 b,HR 8799,170000.0
GJ 1214 b,GJ 1214,1.580408346
GJ 1214 b,GJ 1214,1.58040456
51 Eri b,51 Eri,14965.0
HR 8799 b,HR 8799,
HR 8799 c,HR 8799,
HR 8799 e,HR 8799,
HR 8799 c,HR 8799,83255.09
HR 8799 d,HR 8799,41627.54
HR 8799 e,HR 8799,20815.6
GJ 1214 b,GJ 1214,1.5804043
HD 217107 c,HD 217107,5189.0
HD 66428 b,HD 66428,2293.9
K2-138 g,K2-138,41.965443
GJ 1214 b,GJ 1214,1.58040417
HD 12661 b,HD 12661,262.709
HD 12661 c,HD 12661,1708.0
HD 11506 b,HD 11506,1627.5
HD 11506 c,HD 11506,223.6
HD 24040 b,HD 24040,3490.0
HD 183263 b,HD 183263,625.1
HD 183263 c,HD 183263,4684.0
HD 187123 b,HD 187123,3.0965886
HD 187123 c,HD 187123,3324.0
HD 217107 b,HD 217107,7.126846
HD 27894 c,HD 27894,36.07
HD 27894 d,HD 27894,5174.0
