toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec
1048.01,136.527702,-54.903922,440.426,136.527702,-54.903922
1049.01,253.768848,-28.710584,314.995,253.768848,-28.710584
105.01,337.457824,-48.003099,137.544,337.457824,-48.003099
1050.01,239.962248,-28.061794,405.908,239.962248,-28.061794
1051.01,40.365939,-71.462749,53.19149,40.365939,-71.462749
1052.01,337.510274,-75.646561,129.804,337.510274,-75.646561
1053.01,290.977117,-33.351416,263.729,290.977117,-33.351416
1054.01,302.114174,-54.317501,88.4343,302.114174,-54.317501
1055.01,293.286615,-54.532728,57.2651,293.286615,-54.532728
1056.01,339.258703,-76.917605,168.354,339.258703,-76.917605
1057.01,127.996917,-78.407564,98.2855,127.996917,-78.407564
1058.01,288.911772,-31.790813,338.831,288.911772,-31.790813
1059.01,269.714503,-60.922727,98.8783,269.714503,-60.922727
106.01,68.959816,-64.027039,364.411,68.959816,-64.027039
1060.01,299.290995,-48.934476,128.491,299.290995,-48.934476
1061.01,284.688908,-41.242483,133.171,284.688908,-41.242483
1062.01,38.120968,-78.023683,82.1733,38.120968,-78.023683
1063.01,230.555493,-83.056214,61.1201,230.555493,-83.056214
1064.01,296.003935,-47.56203,68.0726,296.003935,-47.56203
1064.02,296.003935,-47.56203,68.0726,296.003935,-47.56203
1065.01,286.36675,-50.06735,639.004,286.36675,-50.06735
1066.01,285.096517,-54.893341,353.891,285.096517,-54.893341
1067.01,288.672005,-59.57935,263.609,288.672005,-59.57935
1068.01,284.399762,-49.138513,535.383,284.399762,-49.138513
1069.01,289.479212,-32.860124,197.996,289.479212,-32.860124
107.01,313.783239,-34.135751,211.211,313.783239,-34.135751
1070.01,289.478541,-32.861327,,289.478541,-32.861327
1071.01,280.184169,-58.459388,290.198,280.184169,-58.459388
1072.01,75.627307,-72.913998,703.878,75.627307,-72.913998
1073.01,287.484402,-49.664942,300.67,287.484402,-49.664942
1074.01,310.761004,-72.010267,107.356,310.761004,-72.010267
1075.01,309.971209,-65.449699,61.4592,309.971209,-65.449699
1076.01,294.633694,-55.330269,248.46,294.633694,-55.330269
1077.01,173.810798,-88.096213,463.683,173.810798,-88.096213
1000.01,112.357708,-12.69596,485.735,112.357708,-12.69596
1001.01,122.580465,-5.513852,295.862,122.580465,-5.513852
1002.01,104.726966,-10.580455,943.109,104.726966,-10.580455
1003.01,110.559945,-25.207017,7728.17,110.559945,-25.207017
1004.01,122.178195,-48.802811,356.437,122.178195,-48.802811
1005.01,120.704811,-11.101521,100.711,120.704811,-11.101521
1006.01,124.359239,-27.273521,,124.359239,-27.273521
1007.01,112.752393,-4.463359,283.291,112.752393,-4.463359
1008.01,109.382839,13.395219,144.297,109.382839,13.395219
1009.01,111.667845,-24.462111,866.147,111.667845,-24.462111
101.01,318.737012,-55.871863,375.31,318.737012,-55.871863
1010.01,112.293981,-21.832912,485.122,112.293981,-21.832912
1011.01,113.984761,-32.841999,52.62,113.984761,-32.841999
1012.01,117.095285,6.785064,295.959,117.095285,6.785064
1013.01,107.286063,-31.933523,510.295,107.286063,-31.933523
1014.01,103.561602,-34.22282,224.672,103.561602,-34.22282
1015.01,122.895964,-27.971896,906.496,122.895964,-27.971896
1016.01,116.110771,-36.098285,368.646,116.110771,-36.098285
1017.01,124.726411,-37.78325,406.997,124.726411,-37.78325
1018.01,111.716019,-50.266567,360.541,111.716019,-50.266567
1019.01,120.147994,-54.878552,399.544,120.147994,-54.878552
102.01,87.139821,-63.988329,175.631,87.139821,-63.988329
1020.01,128.381976,-43.828421,906.827,128.381976,-43.828421
1021.01,119.30075,-42.999149,235.974,119.30075,-42.999149
1022.01,162.96491,-5.788708,120.666,162.96491,-5.788708
1023.01,120.837688,-51.345626,316.398,120.837688,-51.345626
1024.01,86.820714,-72.422611,692.266,86.820714,-72.422611
1025.01,142.521159,-51.517114,129.838,142.521159,-51.517114
