main_id,ra,dec,otype
ACO  2699,0.9375,-15.271666666666668,ClG
ACO  2689,0.0375,-15.738333333333333,ClG
ACO  1691,197.79642999999996,39.27734,ClG
ACO   757,138.24079166666667,47.729222222222226,ClG
ZwCl 2326+1329,352.15,13.766666666666666,ClG
ACO   241,25.40416666666667,-16.248333333333335,ClG
ACO  2504,344.03333333333336,-14.916666666666666,ClG
ACO  2709,1.6625,-9.971666666666668,ClG
ClG 0329.0-5242,52.6,-52.53333333333333,ClG
ZwCl 1217+2915,185.0,28.966666666666665,ClG
ZwCl 1224+3131,186.775,31.233333333333334,ClG
ZwCl 0150+3050,28.45,31.083333333333332,ClG
ACO   563,104.47083333333333,69.01666666666667,ClG
[CBI2009] z1.99 Cluster,189.125,62.21666666666667,ClG
ZwCl 1422+1732,216.1,17.3,ClG
ZwCl 1534+4222,233.925,42.2,ClG
ACO  2582,350.4375,2.941666666666667,ClG
RXC J1537.8-4436,234.45,-44.62166666666667,ClG
RXC J1606.5-3246,241.64791666666667,-32.77833333333333,ClG
RXC J1500.8-5134,225.20916666666665,-51.56777777777778,ClG
RX J0821.0+0752,125.26,7.8630555555555555,ClG
ACO  2495,342.57125,10.916999999999998,ClG
NAME XMMU J0044.0-2033,11.021666666666667,-20.566583333333337,ClG
[B94] Clump D,358.5208333333333,-10.178333333333333,ClG
ClG 1426.4+0158,217.24541666666667,1.7330555555555556,ClG
ACO   163,18.65416666666667,24.731666666666666,ClG
NSC J090708+303625,136.78637500000002,30.606972222222222,ClG
[BMA2003] BH 331,157.38333333333333,-0.4716666666666667,ClG
RCS J093037+3636.6,142.65458333333333,36.611555555555555,ClG
RCS J092611+3636.0,141.54916666666665,36.60147222222223,ClG
RCS J093037+3816.6,142.65583333333336,38.27788888888889,ClG
RCS J093110+3618.9,142.79333333333335,36.31544444444444,ClG
NSC J093703+120101,144.26591666666664,12.016944444444444,ClG
NSC J100938+164602,152.40920833333334,16.767249999999997,ClG
[RRB2014] RM J105550.2+543445.9,163.9592156,54.579406999999996,ClG
LCDCS 0090,157.89583333333331,-12.061944444444444,ClG
GHO 001755+041442,5.120833333333333,4.5216666666666665,ClG
NSC J112703+352729,171.7657083333333,35.457972222222224,ClG
ACO  1827,209.55833333333334,21.706666666666667,ClG
LCDCS 0394,178.3975,-11.8925,ClG
NSC J122139+401801,185.4125,40.30033333333333,ClG
LCDCS 0513,184.89533333333333,-11.90636111111111,ClG
1eRASS J212809.3-484330,322.039,-48.725,ClG
NSC J122833+444005,187.139125,44.668166666666664,ClG
NSC J122511+202809,186.2994583333333,20.46911111111111,ClG
ACT-CL J1540.0+1756,235.0,17.935555555555556,ClG
ACT-CL J1625.8+1002,246.45458333333335,10.031666666666668,ClG
NSC J125027+312154,192.61570833333334,31.365000000000002,ClG
ACT-CL J2336.1-0110,354.03625000000005,-1.1833333333333333,ClG
ACO   995,155.89999999999998,37.28,ClG
NSC J090531+514206,136.3825416666667,51.70172222222222,ClG
NSC J142713+250847,216.80408333333332,25.146444444444445,ClG
[BVH2007] 196,226.16291666666666,-14.899444444444443,ClG
[BVH2007] 219,274.79166666666663,69.16083333333334,ClG
[BVH2007] 22,32.46999999999999,-51.27194444444444,ClG
[BVH2007] 224,302.97166666666664,-35.92777777777777,ClG
[BVH2007] 26,37.09416666666667,23.423055555555557,ClG
[BVH2007] 218,271.8670833333333,69.77277777777778,ClG
[BVH2007] 38,50.07541666666667,-42.98694444444445,ClG
[BVH2007] 5-2,52.997499999999995,-45.406666666666666,ClG
[BVH2007] 119,167.51875,-29.951666666666664,ClG
[RRB2014] RM J005733.8+115624.6,14.390416666666667,11.94,ClG
[RRB2014] RM J002138.8+284354.0,5.411249999999999,28.731388888888887,ClG
[RRB2014] RM J091044.5+055920.9,137.685,5.988888888888889,ClG
[RRB2014] RM J232207.1+292822.7,350.52958333333333,29.472777777777775,ClG
[RRB2014] RM J121828.5+133616.4,184.61875,13.604444444444445,ClG
[RRB2014] RM J105229.2+525052.6,163.12125,52.84777777777778,ClG
[RRB2014] RM J015555.3+131911.1,28.980416666666667,13.319722222222222,ClG
[RRB2014] RM J131413.6+262100.7,198.55666666666664,26.35,ClG
[RRB2014] RM J020603.0+243523.6,31.512083333333333,24.58972222222222,ClG
[RRB2014] RM J013916.0+341314.2,24.81625,34.220555555555556,ClG
[RRB2014] RM J002837.9-104559.4,7.157916666666666,-10.766388888888889,ClG
[RRB2014] RM J084427.2-001059.2,131.11333333333332,-0.18305555555555555,ClG
[RRB2014] RM J005310.2+290031.4,13.2925,29.00861111111111,ClG
NSC J124653+072710,191.72258333333332,7.452666666666667,ClG
[RRB2014] RM J233418.3-104838.9,353.5758333333333,-10.810555555555556,ClG
[RRB2014] RM J010910.6+265715.9,17.29375,26.954166666666666,ClG
[RRB2014] RM J120414.0+122028.9,181.05833333333334,12.341111111111111,ClG
[RRB2014] RM J085739.3+425251.0,134.41375,42.880833333333335,ClG
[RRB2014] RM J152005.5+120154.3,230.02291666666667,12.031666666666668,ClG
[RRB2014] RM J094204.7+033157.0,145.51916666666665,3.5324999999999998,ClG
[RRB2014] RM J231546.8+292920.3,348.94500000000005,29.48888888888889,ClG
[RRB2014] RM J103237.0+325624.5,158.15374999999997,32.94,ClG
[RRB2014] RM J113719.1+092136.0,174.32958333333335,9.36,ClG
[RRB2014] RM J232322.6+314013.1,350.84416666666664,31.67027777777778,ClG
[RRB2014] RM J133254.1+253906.2,203.225,25.651666666666664,ClG
SWXCS J222437-0222.5,336.15738,-2.37527,ClG
[RRB2014] RM J100854.1+190149.0,152.22541666666666,19.030277777777776,ClG
[KMA2007] 250.05349+21.56031,250.05333333333337,21.560277777777777,ClG
[RRB2014] RM J134642.2+494410.7,206.67541666666665,49.736111111111114,ClG
[RRB2014] RM J011740.9+130737.2,19.420416666666664,13.126944444444446,ClG
GHO 215130+015306,328.50624999999997,2.118611111111111,ClG
[RRB2014] RM J125221.1+033352.3,193.08791666666667,3.5644444444444443,ClG
[RRB2014] RM J222104.5+084806.4,335.2683333333333,8.801666666666668,ClG
[RRB2014] RM J105356.6+590915.9,163.48541666666668,59.15416666666667,ClG
[RRB2014] RM J124850.2+055642.8,192.20916666666668,5.945,ClG
[RRB2014] RM J124532.0+105910.1,191.38333333333333,10.98611111111111,ClG
[RRB2014] RM J223241.5+140707.4,338.1725,14.118611111111111,ClG
[KMA2007] 174.05767+11.56443,174.05749999999998,11.564166666666667,ClG
[RRB2014] RM J072924.8+335704.5,112.35291666666667,33.95111111111111,ClG
[RRB2014] RM J135514.1+025505.1,208.80876739999997,2.9180707999999997,ClG
[RRB2014] RM J000938.6+302019.5,2.410416666666667,30.33861111111111,ClG
[RRB2014] RM J224714.4+113953.8,341.8095833333333,11.664722222222222,ClG
[RRB2014] RM J144930.5+520725.0,222.37666666666667,52.12361111111111,ClG
[RRB2014] RM J132043.2+124044.1,200.17999999999998,12.678888888888888,ClG
[RRB2014] RM J073158.9+271030.3,112.99499999999999,27.175,ClG
[RRB2014] RM J004721.4+293554.5,11.838750000000001,29.598333333333333,ClG
[RRB2014] RM J120900.2+452336.3,182.25083333333333,45.39333333333333,ClG
[RRB2014] RM J224524.2-093501.4,341.35083333333336,-9.58361111111111,ClG
[RRB2014] RM J232353.2+222824.7,350.97166666666664,22.473333333333333,ClG
[RRB2014] RM J020258.8+040807.1,30.744999999999997,4.1352777777777785,ClG
[RRB2014] RM J122022.3+132538.0,185.09291666666664,13.427222222222222,ClG
[RRB2014] RM J002800.9-054144.6,7.003333333333334,-5.695555555555556,ClG
[KMA2007] 146.13013+44.88413,146.13,44.88388888888889,ClG
[B2017] 2394,250.44500000000002,16.95777777777778,ClG
[RRB2014] RM J114930.7+243907.0,177.3775,24.651944444444442,ClG
[RRB2014] RM J231225.1-064227.4,348.10458333333327,-6.7075000000000005,ClG
[RRB2014] RM J093057.6+065501.2,142.73958333333334,6.916944444444445,ClG
[RRB2014] RM J095016.5+123017.2,147.56833333333336,12.504722222222222,ClG
[RRB2014] RM J223332.0+210115.5,338.3829166666667,21.020833333333332,ClG
[RRB2014] RM J143322.5+112224.7,218.34333333333333,11.373333333333333,ClG
[RRB2014] RM J124203.2+272635.6,190.5133333333333,27.443055555555556,ClG
[RRB2014] RM J231321.0+042130.8,348.3375,4.358333333333333,ClG
[KMA2007] 010.72323+14.98587,10.722499999999998,14.974444444444444,ClG
[RRB2014] RM J021435.8+310434.7,33.64916666666667,31.07611111111111,ClG
[RRB2014] RM J004145.7-030901.1,10.44,-3.1502777777777777,ClG
[RRB2014] RM J114910.3+320736.3,177.2925,32.126666666666665,ClG
[RRB2014] RM J125456.4+211821.4,193.73458333333335,21.305833333333332,ClG
[RRB2014] RM J084906.6+323132.7,132.27708333333334,32.525555555555556,ClG
[RRB2014] RM J160600.2+545854.5,241.5004166666667,54.98166666666667,ClG
[RRB2014] RM J003638.5+053644.1,9.160416666666666,5.612222222222222,ClG
[RRB2014] RM J110522.9-010305.1,166.345,-1.051388888888889,ClG
[KMA2007] 224.83717+37.23938,224.84,37.25388888888889,ClG
[RRB2014] RM J021739.8-091653.4,34.415416666666665,-9.28138888888889,ClG
[RRB2014] RM J223907.3+291730.9,339.78,29.291666666666668,ClG
[OSD99] EIS J2243-4010B,340.92791666666665,-40.17511111111111,ClG
[KMA2007] 187.82480+63.03465,187.8245833333333,63.03472222222222,ClG
[RRB2014] RM J232156.5-050233.2,350.48541666666665,-5.0424999999999995,ClG
[RRB2014] RM J120436.7+043437.7,181.1525,4.576944444444444,ClG
[RRB2014] RM J090930.5+100021.1,137.37666666666667,10.005833333333333,ClG
[KMA2007] 150.75055+51.38406,150.75041666666667,51.38388888888889,ClG
[KMA2007] 208.51063+33.85164,208.51041666666669,33.85138888888889,ClG
[RRB2014] RM J013616.6-063947.7,24.069166666666668,-6.663055555555556,ClG
[RRB2014] RM J010534.8+125603.5,16.39458333333333,12.934166666666666,ClG
[RRB2014] RM J172819.7+340850.9,262.08208333333334,34.14722222222222,ClG
[RRB2014] RM J224042.4+271213.6,340.17625,27.203611111111112,ClG
[RRB2014] RM J073513.9+210259.1,113.80791666666666,21.049722222222226,ClG
[RRB2014] RM J172555.9+360901.2,261.4829264,36.1503276,ClG
[GMB2011] 916,334.798209,0.746212,ClG
[RRB2014] RM J154209.3+075419.9,235.53874999999996,7.905277777777778,ClG
[KMA2007] 235.60805+54.51107,235.60791666666665,54.51111111111111,ClG
[RRB2014] RM J005326.8+164609.7,13.36125,16.769166666666667,ClG
[KMA2007] 007.61220-00.94288,7.612197900000001,-0.9428910000000003,ClG
[KMA2007] 240.39341+42.75902,240.3933333333333,42.75888888888889,ClG
