Name,Vel,SHI
DDO 154,447.3,
DDO 154,444.8,
DDO 154,442.2,
DDO 154,439.6,0.0056403
DDO 154,437.0,0.01965
DDO 154,434.4,0.043424
DDO 154,431.8,0.079204
DDO 154,429.3,0.14399
DDO 154,426.7,0.20844
DDO 154,424.1,0.31795
DDO 154,421.5,0.42436
DDO 154,418.9,0.5403
DDO 154,416.3,0.65007
DDO 154,413.8,0.76784
DDO 154,411.2,0.84623
DDO 154,408.6,0.88979
DDO 154,406.0,0.88509
DDO 154,403.4,0.88679
DDO 154,400.8,0.85185
DDO 154,398.2,0.86206
DDO 154,395.7,0.84211
DDO 154,393.1,0.7889
DDO 154,390.5,0.78674
DDO 154,387.9,0.79949
DDO 154,385.3,0.79989
DDO 154,382.7,0.79829
DDO 154,380.2,0.8106
DDO 154,377.6,0.80207
DDO 154,375.0,0.80643
DDO 154,372.4,0.79841
DDO 154,369.8,0.82647
DDO 154,367.3,0.863
DDO 154,364.7,0.86542
DDO 154,362.1,0.89821
DDO 154,359.5,0.90919
DDO 154,356.9,0.92215
DDO 154,354.3,0.94019
DDO 154,351.8,0.96187
DDO 154,349.2,0.99088
DDO 154,346.6,0.99758
DDO 154,344.0,0.97635
DDO 154,341.4,0.95992
DDO 154,338.8,0.91064
DDO 154,336.3,0.8257
DDO 154,333.7,0.71146
DDO 154,331.1,0.56253
DDO 154,328.5,0.44486
DDO 154,325.9,0.30424
DDO 154,323.3,0.20891
DDO 154,320.8,0.12404
DDO 154,318.2,0.070101
DDO 154,315.6,0.037712
DDO 154,313.0,0.0071823
DDO 154,310.4,
DDO 154,307.8,
DDO 154,305.3,
DDO 154,302.7,
DDO  53,69.0,
DDO  53,66.4,
DDO  53,63.8,
DDO  53,61.2,
DDO  53,58.7,
DDO  53,56.1,
DDO  53,53.5,0.015242
DDO  53,50.9,0.028065
DDO  53,48.3,0.04062
DDO  53,45.8,0.061496
DDO  53,43.2,0.089489
DDO  53,40.6,0.13176
DDO  53,38.0,0.18839
DDO  53,35.5,0.25331
DDO  53,32.9,0.33141
DDO  53,30.3,0.40717
DDO  53,27.7,0.49257
DDO  53,25.2,0.57164
DDO  53,22.6,0.6295
DDO  53,20.0,0.64294
DDO  53,17.4,0.65043
DDO  53,14.8,0.60678
DDO  53,12.3,0.55669
DDO  53,9.7,0.46844
DDO  53,7.1,0.38035
DDO  53,4.5,0.31776
DDO  53,2.0,0.23888
DDO  53,-0.6,0.23946
DDO  53,-3.2,0.17184
DDO  53,-5.8,0.11989
DDO  53,-8.3,0.061868
DDO  53,-10.9,0.026638
DDO  53,-13.5,0.020067
DDO  53,-16.1,
DDO  53,-18.7,
DDO  53,-21.2,
DDO  53,-23.8,
DDO  53,-26.4,
DDO  53,-29.0,
DDO  53,-31.5,
DDO  53,-34.1,
Ho I,187.4,
Ho I,184.9,
Ho I,182.3,
Ho I,179.7,0.006197
Ho I,177.1,0.0081544
Ho I,174.5,0.028033
Ho I,171.9,0.021115
Ho I,169.4,0.061829
Ho I,166.8,0.093744
Ho I,164.2,0.15684
Ho I,161.6,0.24982
Ho I,159.0,0.36955
Ho I,156.5,0.51262
Ho I,153.9,0.6483
Ho I,151.3,0.82999
Ho I,148.7,0.98298
Ho I,146.1,1.1737
Ho I,143.6,1.3047
Ho I,141.0,1.3386
Ho I,138.4,1.3712
Ho I,135.8,1.3257
Ho I,133.3,1.2151
Ho I,130.7,1.0675
Ho I,128.1,0.87259
Ho I,125.5,0.69244
Ho I,122.9,0.46088
Ho I,120.4,0.30553
Ho I,117.8,0.18896
Ho I,115.2,0.11919
Ho I,112.6,0.076661
Ho I,110.0,0.031429
Ho I,107.5,0.011402
Ho I,104.9,
Ho I,102.3,
Ho I,99.8,
Ho I,97.2,
Ho II,239.0,
Ho II,236.4,
Ho II,233.9,
Ho II,231.3,
Ho II,228.7,
Ho II,226.1,
Ho II,223.5,
Ho II,221.0,
Ho II,218.4,
Ho II,215.8,0.01592
Ho II,213.2,0.025608
Ho II,210.6,0.05339
Ho II,208.1,0.066766
Ho II,205.5,0.11244
Ho II,202.9,0.17914
Ho II,200.3,0.23845
Ho II,197.7,0.32156
Ho II,195.2,0.47531
Ho II,192.6,0.75347
Ho II,190.0,1.0594
Ho II,187.4,1.4525
Ho II,184.8,1.9861
Ho II,182.3,2.5092
Ho II,179.7,2.8688
Ho II,177.1,3.231
Ho II,174.5,3.4098
Ho II,171.9,3.5368
Ho II,169.4,3.5861
Ho II,166.8,3.6767
Ho II,164.2,3.7529
Ho II,161.6,3.672
Ho II,159.0,3.6867
Ho II,156.5,3.7264
Ho II,153.9,3.6766
Ho II,151.3,3.706
Ho II,148.7,3.7935
Ho II,146.1,3.7868
Ho II,143.6,3.8119
Ho II,141.0,3.7298
Ho II,138.4,3.6283
Ho II,135.8,3.3653
Ho II,133.3,2.9907
Ho II,130.7,2.5258
Ho II,128.1,1.9644
Ho II,125.5,1.4085
Ho II,122.9,0.90891
Ho II,120.4,0.61004
Ho II,117.8,0.35865
Ho II,115.2,0.21545
Ho II,112.6,0.12212
Ho II,110.0,
Ho II,107.4,
Ho II,104.9,
Ho II,102.3,
IC 2574,146.3,
IC 2574,143.7,
IC 2574,141.1,
IC 2574,138.6,
IC 2574,136.0,
IC 2574,133.4,0.010897
IC 2574,130.8,0.021664
IC 2574,128.2,0.047735
IC 2574,125.7,0.081727
IC 2574,123.1,0.1335
IC 2574,120.5,0.22314
IC 2574,117.9,0.35305
IC 2574,115.3,0.54514
IC 2574,112.8,0.78535
IC 2574,110.2,1.0559
IC 2574,107.6,1.3696
IC 2574,105.0,1.7131
IC 2574,102.4,2.0696
IC 2574,99.9,2.3917
IC 2574,97.3,2.6936
