LID,m_LID,U-B20,B-V20,V-r20,n_Nobs,Nobs,Vmag,ref
-0.01505243,,-0.05,0.6,0.48,,1,,9001
-0.00904604,,-0.04,0.68,0.63,,1,,9001
-0.00900122,,-0.16,0.47,0.44,,3,,9001
-0.00404617,,-0.07,0.59,0.52,,1,,9001
-4.47e-05,,-0.01,0.73,0.61,,3,,9001
0.00203375,,-0.26,0.48,0.47,,1,,9001
0.00504481,,-0.02,0.62,0.53,,3,,9001
0.01004091,,-0.13,0.6,0.53,,2,,9001
0.01704708,,-0.2,0.45,0.47,,1,,9001
0.01802776,,,1.38,1.23,,3,8.68,9007
0.01803407,,0.48,0.81,0.69,,1,,9001
0.02003603,,-0.22,0.43,0.4,,1,,9001
0.02603578,,-0.21,0.4,0.41,,3,,9001
0.02800426,,-0.24,0.03,0.03,,10,10.56,9005
0.0280359,,-0.12,0.14,0.09,,10,10.12,9005
0.02902232,,0.06,0.24,0.16,,7,10.6,9005
0.0300005,,1.11,1.25,0.91,,11,10.19,9005
0.03000663,,0.27,0.53,0.39,,7,10.27,9005
0.03001705,,0.3,0.73,0.56,,8,9.93,9005
0.0300202,,0.99,1.13,0.8,,8,10.08,9005
0.0300247,,0.0,0.5,0.39,,10,10.48,9005
0.03003075,,1.33,1.38,0.98,,10,9.97,9005
0.03004565,,0.24,0.68,0.51,,16,10.28,9005
0.03804955,,-0.18,0.69,0.64,,3,,9001
0.05200587,,,1.4,1.24,,3,9.78,9007
0.05601458,,,1.29,1.14,,3,8.7,9007
0.05902723,,-0.38,0.31,0.42,,2,,9001
0.07100031,,-0.19,0.43,0.45,,3,,9001
1.00000026,,0.5,1.04,0.7,,2,,9004
1.00000038,,,1.4,1.27,,3,8.14,9007
1.00000432,,0.1,0.36,0.3,,3,,9001
1.00000432,,,0.36,0.32,,7,,9002
1.00001581,,,0.59,0.46,,2,4.15,9007
1.00002665,,,0.77,0.69,,0,,9002
1.00002665,,,0.78,0.69,,18,,9003
1.00003546,,,0.89,0.68,,0,,9002
1.00003546,,,0.88,0.68,,6,,9003
1.00003651,,,0.84,0.63,,2,5.83,9007
1.00004614,,,0.57,0.47,,2,3.51,9007
1.00004628,,,0.86,0.69,,2,5.67,9007
1.00005223,,0.96,1.4,0.89,,6,,9004
1.00006582,,0.11,0.7,0.59,,5,,9001
1.00006582,,,0.7,0.59,,0,,9002
1.00006582,,,0.7,0.59,,15,5.13,9007
1.00006755,,,0.7,0.65,,0,,9002
1.00006755,,,0.71,0.64,,10,,9003
1.0000927,,0.73,0.97,0.69,,4,,9001
1.0000927,,,0.98,0.67,,9,,9002
1.00010307,,0.15,0.65,0.52,,2,,9001
1.00010307,,,0.63,0.5,,6,4.93,9007
1.0001036,,,0.91,0.7,,3,5.79,9007
1.00010361,,,0.86,0.66,,3,5.65,9007
1.00010476,,,0.82,0.62,,6,5.14,9007
1.000107,,0.22,0.73,0.58,,3,,9001
1.000107,,,0.71,0.54,,6,3.55,9007
1.0001078,,,0.79,0.63,,2,5.59,9007
1.00011909,,,0.93,0.7,,6,,9003
1.00013445,,,0.84,0.64,,3,6.01,9007
1.00013974,,0.03,0.61,0.53,,2,,9001
1.00013974,,,0.61,0.53,,0,,9002
1.00013974,,,0.61,0.53,,9,4.85,9007
1.00014412,,,0.71,0.55,,3,6.33,9007
1.00016031,,-0.23,0.44,0.41,,3,,9001
1.0001616,,,0.93,0.78,,3,5.78,9007
1.00016458,,1.14,1.29,0.82,,2,,9004
1.00017925,,0.55,0.87,0.68,,2,,9001
1.00017925,,,0.85,0.66,,3,6.01,9007
1.00019445,,-0.24,0.47,0.45,,2,,9001
1.0002063,,,0.65,0.53,,2,4.8,9007
1.00020766,,,0.65,0.5,,5,5.42,9007
1.00020794,,,0.73,0.55,,4,4.22,9007
1.00020807,,,0.62,0.48,,4,5.16,9007
1.00022049,,,0.86,0.66,,3,3.75,9007
1.00022496,,,1.31,1.15,,4,8.52,9007
1.00022879,,-0.1,0.56,0.47,,1,,9001
1.00023249,,,0.89,0.66,,4,3.57,9007
1.00025329,,,0.87,0.7,,2,8.43,9007
1.00030652,,,0.43,0.36,,7,3.15,9007
1.00031487,,1.03,1.37,0.95,,2,,9004
1.00032147,,,1.04,0.83,,3,6.21,9007
1.0003245,,,1.39,1.25,,3,8.26,9007
1.00036512,,,-0.24,-0.16,,5,,9002
1.0003716,,,0.95,0.7,,0,,9002
1.0003716,,,0.95,0.71,,12,,9003
1.00037394,,,0.83,0.65,,3,6.22,9007
1.00038392,,,0.92,0.73,,3,6.12,9007
1.00038393,,,0.46,0.36,,3,3.56,9007
1.00038751,,,1.02,0.71,,0,,9002
1.00038751,,,1.03,0.72,,22,,9003
1.00039587,,,0.58,0.46,,3,4.4,9007
1.00043039,,,1.02,0.71,,0,,9002
1.00043039,,,1.02,0.72,,20,,9003
1.00043834,,,0.75,0.54,,2,5.06,9007
1.00046407,,0.77,1.08,0.71,,2,,9004
1.00050281,,,1.01,0.84,,3,6.61,9007
1.00061421,,,0.42,0.34,,2,0.41,9007
1.00072673,,,0.78,0.58,,3,6.35,9007
1.00073589,,,0.95,0.66,,7,,9003
1.0007428,,,-0.19,-0.12,,10,,9002
1.00074576,,,0.95,0.71,,3,6.47,9007
1.00075632,,,1.35,1.21,,2,8.08,9007
1.00076396,,0.54,1.12,0.79,,2,,9004
1.00077247,,0.69,1.02,0.69,,2,,9004
1.0007921,,,1.37,1.24,,5,7.72,9007
1.00079211,,,1.38,1.25,,3,7.82,9007
1.00079452,,,0.83,0.63,,0,,9002
1.00079452,,,0.83,0.63,,15,,9003
1.00082106,,,0.97,0.77,,2,7.2,9007
1.00082885,,,0.76,0.58,,3,5.42,9007
1.00085512,,,1.15,1.0,,3,7.6,9007
1.0008823,,,1.35,1.16,,1,6.6,9007
1.00088284,,,0.99,0.7,,3,,9003
1.00089484,,,1.15,0.82,,2,,9003
1.00090839,,,0.52,0.43,,3,4.86,9007
1.00091316,,,-0.16,-0.08,,10,,9002
1.00095272,,,1.07,0.75,,3,,9003
1.00095689,,,1.1,0.76,,3,,9003
1.00097907,,,1.21,0.89,,2,,9003
1.001006,,,-0.16,-0.11,,4,,9002
1.00100623,,,0.81,0.63,,3,5.9,9007
1.00101013,,0.8,1.06,0.68,,5,,9004
