LID,m_LID,U-B20,B-V20,V-r20,Vmag,Nr,SimbadName,_RA,_DE
-0.01505243,,-0.05,0.6,0.48,,1,BD-15 05243,286.99121,-15.23423
-0.00904604,,-0.04,0.68,0.63,,1,BD-09 04604,266.94198,-9.60513
-0.00900122,,-0.16,0.47,0.44,,1,BD-09 00122,9.63311,-8.30928
-0.00404617,,-0.07,0.59,0.52,,1,BD-04 04617,283.59668,-4.60517
-4.47e-05,,-0.01,0.73,0.61,,1,BD-00 04470,347.38725,0.71072
0.00203375,,-0.26,0.48,0.47,,1,BD+02 03375,264.93998,2.41656
0.00504481,,-0.02,0.62,0.53,,1,BD+05 04481,305.10233,6.03134
0.01004091,,-0.13,0.6,0.53,,1,BD+10 04091,298.79033,10.74094
0.01704708,,-0.2,0.45,0.47,,1,BD+17 04708,332.88072,18.09283
0.01802776,,,1.38,1.23,8.68,1,BD+18 02776,206.27117,17.78544
0.01803407,,0.48,0.81,0.69,,1,BD+18 03407,263.83286,18.8836
0.02003603,,-0.22,0.43,0.4,,1,BD+20 03603,268.68013,20.27123
0.02603578,,-0.21,0.4,0.41,,1,BD+26 03578,293.13296,26.39059
0.02800426,,-0.24,0.03,0.03,10.56,1,BD+28 00426,37.60718,29.57629
0.0280359,,-0.12,0.14,0.09,10.12,1,BD+28 03590,300.56927,28.66416
0.02902232,,0.06,0.24,0.16,10.6,1,BD+29 02232,179.02603,29.10538
0.0300005,,1.11,1.25,0.91,10.19,1,BD+30 00050,5.83354,31.32951
0.03000663,,0.27,0.53,0.39,10.27,1,BD+30 00663,66.45925,30.37261
0.03001705,,0.3,0.73,0.56,9.93,1,BD+30 01705,126.13479,30.11289
0.0300202,,0.99,1.13,0.8,10.08,1,BD+30 02020,157.20002,30.10928
0.0300247,,0.0,0.5,0.39,10.48,1,BD+30 02470,209.54296,29.72844
0.03003075,,1.33,1.38,0.98,9.97,1,BD+30 03075,268.1692,30.10778
0.03004565,,0.24,0.68,0.51,10.28,1,BD+30 04565,329.29841,31.07606
0.03804955,,-0.18,0.69,0.64,,1,BD+38 04955,348.41175,39.41739
0.05200587,,,1.4,1.24,9.78,1,BD+52 00587,37.4361,53.06111
0.05601458,,,1.29,1.14,8.7,1,BD+56 01458,157.60545,55.99913
0.05902723,,-0.38,0.31,0.42,,1,BD+59 02723,351.63683,60.62854
0.07100031,,-0.19,0.43,0.45,,1,BD+71 00031,10.93479,72.17865
1.00000026,,0.5,1.04,0.7,,1,HD 000026,1.34254,8.78781
1.00000038,,,1.4,1.27,8.14,1,HD 000038,1.42092,45.81209
1.00000432,,0.1,0.36,0.314,,2,HD 000432,2.29452,59.14978
1.00001581,,,0.59,0.46,4.15,1,HD 001581,5.01775,-64.87479
1.00002665,,,0.78,0.69,,2,HD 002665,7.68936,57.0649
1.00003546,,,0.88,0.68,,2,HD 003546,9.63894,29.31175
1.00003651,,,0.84,0.63,5.83,1,HD 003651,9.84086,21.25047
1.00004614,,,0.57,0.47,3.51,1,HD 004614,12.27621,57.81519
1.00004628,,,0.86,0.69,5.67,1,HD 004628,12.09574,5.28061
1.00005223,,0.96,1.4,0.89,,1,HD 005223,13.5567,24.06709
1.00006582,,0.11,0.7,0.59,5.13,3,HD 006582,17.06831,54.92034
1.00006755,,,0.71,0.64,,2,HD 006755,17.42944,61.54727
1.0000927,,0.73,0.977,0.676,,2,HD 009270,22.87088,15.34582
1.00010307,,0.15,0.635,0.505,4.93,2,HD 010307,25.44643,42.61337
1.0001036,,,0.91,0.7,5.79,1,HD 010360,24.94815,-56.19338
1.00010361,,,0.86,0.66,5.65,1,HD 010361,24.94815,-56.19648
1.00010476,,,0.82,0.62,5.14,1,HD 010476,25.62401,20.2685
1.000107,,0.22,0.717,0.553,3.55,2,HD 010700,26.01701,-15.93748
1.0001078,,,0.79,0.63,5.59,1,HD 010780,26.93681,63.8525
1.00011909,,,0.93,0.7,,1,HD 011909,29.33773,17.81753
1.00013445,,,0.84,0.64,6.01,1,HD 013445,32.60806,-50.82373
1.00013974,,0.03,0.61,0.53,4.85,3,HD 013974,34.26346,34.22423
1.00014412,,,0.71,0.55,6.33,1,HD 014412,34.74377,-25.94569
1.00016031,,-0.23,0.44,0.41,,1,HD 016031,38.54603,-12.3843
1.0001616,,,0.93,0.78,5.78,1,HD 016160,39.02039,6.88687
1.00016458,,1.14,1.29,0.82,,1,HD 016458,41.94876,81.44848
1.00017925,,0.55,0.858,0.668,6.01,2,HD 017925,43.13387,-12.76971
1.00019445,,-0.24,0.47,0.45,,1,HD 019445,47.10662,26.33094
1.0002063,,,0.65,0.53,4.8,1,HD 020630,49.8404,3.3702
1.00020766,,,0.65,0.5,5.42,1,HD 020766,49.44235,-62.57532
1.00020794,,,0.73,0.55,4.22,1,HD 020794,49.98188,-43.06978
1.00020807,,,0.62,0.48,5.16,1,HD 020807,49.55341,-62.50636
1.00022049,,,0.86,0.66,3.75,1,HD 022049,53.23269,-9.45826
1.00022496,,,1.31,1.15,8.52,1,HD 022496,53.75392,-48.41914
