ref,text
9001,"SANDAGE, A. AND SMITH, L.L."
9001,"(1963)  AP. J. 137, 1057             =1963ApJ...137.1057S"
9001,A four-color photometric system applied to line blanketing of subdwarfs.
9002,"MANNERY, E.J., AND WALLERSTEIN, G."
9002,"(1967) A. J. 72, 1357                =1967AJ.....72.1357M"
9002,Observations of standard stars on the BVR system.
9003,"MANNERY, E.J., WALLERSTEIN, G., AND WELCH, G.A."
9003,"(1968)  A. J., 73, 548               =1968AJ.....73..548M"
9003,Use of BVR photometry to derive metal abundances in G8-K2 giants.
9004,"MANNERY, E.J., AND WALLERSTEIN, G."
9004,"(1970)  A. J. 75, 111                =1970AJ.....75..169M"
9004,The use of UBVR photometry for the discovery of peculiar stars.
9005,"PETERSON, B.A."
9005,"(1970)  A. J. 75, 695                =1970AJ.....75..695P"
9005,A study of absorption and reddening using absolute magnitudes and colors
9005,of galaxies.
9006,"WALLERSTEIN, G."
9006,"(1968)  THE OBSERVATORY, 88, 111      =1968Obs....88..111W"
9006,Photoelectric observations of CH Cygni.
9007,"MANNERY, E.J., AND WALLERSTEIN, G."
9007,"(1971)  A. J.  76, 890                =1971AJ.....76..890M"
9007,Photometry of main-sequence stars in the Hyades and the field on the
9007,BVR system.
9008,"SCHWARTZ, R.D."
9008,"(1972)  PUBL. OF THE A. S. P. 84, 28  =1972PASP...84...28S"
9008,UBVR photometry of white dwarfs and white dwarfs suspects.
9009,"MANNERY, E.J."
9009,"(1970)  PUBL. OF THE A. S. P. 82, 626 =1970PASP...82..626M"
9009,Photoelectric photometry of Nova Delphini 1967.
9010,"WEGNER, G."
9010,"(1972)  AP. J. 172, 451               =1972ApJ...172..451W"
9010,The spectra and element abundances of cool white dwarfs.
