r_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,galaxy,source_type,sb_disk,sb_bulge,dist,inc,lum,type
3.53,6.82,12.59,0.0,30.32,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
4.83,8.12,14.22,0.0,27.69,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
2.5,9.3,15.27,0.0,27.15,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
7.58,10.41,17.04,0.0,25.71,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
4.03,11.27,18.03,0.0,24.23,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
2.74,15.22,22.44,0.0,17.21,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
2.65,18.74,24.92,0.0,11.77,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
2.88,21.52,25.85,0.0,7.54,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
3.05,23.28,26.01,0.0,5.12,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
3.68,24.59,25.36,0.0,3.64,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
3.25,25.62,25.01,0.0,2.55,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
2.99,26.35,24.48,0.0,1.74,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.96,27.08,23.7,0.0,1.09,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.53,27.81,22.69,0.0,0.64,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.86,28.4,21.59,0.0,0.46,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.48,28.98,20.86,0.0,0.36,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
0.99,29.57,20.11,0.0,0.24,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.19,30.3,19.38,0.0,0.16,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.26,31.18,18.7,0.0,0.11,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.33,32.06,18.06,0.0,0.07,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.35,32.64,17.47,0.0,0.05,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
2.09,33.23,16.94,0.0,0.03,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
2.38,33.38,16.44,0.0,0.02,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.08,33.38,15.98,0.0,0.02,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
3.22,32.79,15.57,0.0,0.01,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
2.37,32.06,15.18,0.0,0.01,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
0.95,31.18,14.81,0.0,0.0,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
0.96,30.3,14.47,0.0,0.0,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
0.99,29.42,14.16,0.0,0.0,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
0.74,28.69,13.86,0.0,0.0,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
1.31,27.81,13.59,0.0,0.0,0.0,DDO161,LTG,0.0,0.0,0.0,0.0,0.0,
3.0,8.68,18.19,0.0,9.38,0.0,DDO170,LTG,0.0,0.0,0.0,0.0,0.0,
1.5,15.07,19.75,0.0,3.58,0.0,DDO170,LTG,0.0,0.0,0.0,0.0,0.0,
1.0,20.59,19.94,0.0,2.02,0.0,DDO170,LTG,0.0,0.0,0.0,0.0,0.0,
1.0,24.61,19.17,0.0,0.91,0.0,DDO170,LTG,0.0,0.0,0.0,0.0,0.0,
1.1,26.94,18.71,0.0,0.47,0.0,DDO170,LTG,0.0,0.0,0.0,0.0,0.0,
1.2,27.6,17.41,0.0,0.18,0.0,DDO170,LTG,0.0,0.0,0.0,0.0,0.0,
1.3,26.77,16.05,0.0,0.09,0.0,DDO170,LTG,0.0,0.0,0.0,0.0,0.0,
1.0,24.9,15.01,0.0,0.0,0.0,DDO170,LTG,0.0,0.0,0.0,0.0,0.0,
11.6,2.21,28.95,0.0,455.28,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
11.8,4.41,47.6,0.0,284.5,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
9.75,6.75,62.09,0.0,213.32,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
5.1,8.55,75.48,0.0,152.2,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
5.06,9.18,82.21,0.0,142.61,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
5.35,9.29,86.87,0.0,105.73,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
6.44,9.5,92.23,0.0,92.69,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
9.1,10.22,96.19,0.0,89.82,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
5.25,11.87,100.53,0.0,87.61,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
4.2,17.23,113.81,0.0,78.45,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
3.28,24.23,128.72,0.0,58.05,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
2.41,30.75,133.41,0.0,39.79,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
2.18,36.2,132.99,0.0,23.18,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
2.23,39.42,128.51,0.0,15.89,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
2.03,40.49,124.23,0.0,10.92,0.0,ESO079-G014,LTG,0.0,0.0,0.0,0.0,0.0,
3.4,-0.22,17.33,0.0,276.94,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
3.29,-1.8,34.96,0.0,168.99,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
2.96,-1.55,51.34,0.0,141.01,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
3.45,5.01,61.73,0.0,81.24,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
2.93,12.54,60.49,0.0,46.01,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
3.08,16.68,63.17,0.0,41.4,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
2.83,20.19,65.14,0.0,30.23,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
5.4,22.31,66.32,0.0,24.2,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
4.21,25.63,64.52,0.0,9.48,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
2.1,27.28,60.09,0.0,3.57,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
2.1,28.58,55.74,0.0,2.78,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
2.1,30.7,53.61,0.0,2.04,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
2.1,33.83,51.18,0.0,1.21,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
2.33,35.49,49.08,0.0,0.72,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
4.74,33.74,46.34,0.0,0.0,0.0,ESO116-G012,LTG,0.0,0.0,0.0,0.0,0.0,
10.0,5.21,28.61,0.0,43.88,0.0,F561-1,LTG,0.0,0.0,0.0,0.0,0.0,
5.0,10.57,37.58,0.0,19.59,0.0,F561-1,LTG,0.0,0.0,0.0,0.0,0.0,
5.0,15.71,39.1,0.0,14.19,0.0,F561-1,LTG,0.0,0.0,0.0,0.0,0.0,
5.0,20.94,44.01,0.0,11.07,0.0,F561-1,LTG,0.0,0.0,0.0,0.0,0.0,
5.0,25.97,48.52,0.0,7.95,0.0,F561-1,LTG,0.0,0.0,0.0,0.0,0.0,
5.0,29.26,49.44,0.0,3.35,0.0,F561-1,LTG,0.0,0.0,0.0,0.0,0.0,
7.17,1.98,18.3,0.0,33.42,0.0,F563-1,LTG,0.0,0.0,0.0,0.0,0.0,
10.66,4.03,24.51,0.0,20.43,0.0,F563-1,LTG,0.0,0.0,0.0,0.0,0.0,
7.69,6.25,27.45,0.0,14.31,0.0,F563-1,LTG,0.0,0.0,0.0,0.0,0.0,
11.1,7.78,28.28,0.0,9.63,0.0,F563-1,LTG,0.0,0.0,0.0,0.0,0.0,
17.5,8.01,28.2,0.0,9.31,0.0,F563-1,LTG,0.0,0.0,0.0,0.0,0.0,
8.93,8.49,28.16,0.0,9.15,0.0,F563-1,LTG,0.0,0.0,0.0,0.0,0.0,
24.8,17.83,29.57,0.0,3.35,0.0,F563-1,LTG,0.0,0.0,0.0,0.0,0.0,
9.4,22.83,29.09,0.0,1.88,0.0,F563-1,LTG,0.0,0.0,0.0,0.0,0.0,
25.3,24.91,28.73,0.0,1.68,0.0,F563-1,LTG,0.0,0.0,0.0,0.0,0.0,
