pl_name,pl_masse,pl_orbsmax
"HR 8799 d",3000.00000000,24.0000000000
"51 Eri b",635.66000000,13.2000000000
"HR 8799 b",2000.00000000,68.0000000000
"TOI-4010 b",11.00000000,0.0229000000
"TOI-2384 b",624.85064816,0.0279300000
"HAT-P-28 b",198.95300000,0.0434000000
"TOI-1710 b",18.40000000,0.1640000000
"TOI-3894 b",270.15414595,0.0543000000
"HR 8799 e",3178.30000000,16.4000000000
"NGTS-10 b",687.14846000,0.0143000000
"HD 11506 b",1551.00262616,2.8000000000
"HD 11506 d",2346.52712888,12.2350000000
"HD 156279 c",3098.82696825,5.4860000000
"COCONUTS-2 b",2002.31896410,7506.0000000000
"HD 72659 c",6165.87109580,21.5000000000
"HR 8799 c",3000.00000000,38.0000000000
"HD 62364 b",5542.92741808,18.9290000000
"HD 62364 c",7923.46218651,36.9840000000
"HD 168443 c",5500.33841154,2.8420000000
"HD 168863 b",2154.87659946,10.9610000000
"HD 16905 b",2881.11450946,6.4430000000
"HD 181234 b",2980.91262925,7.4270000000
"HD 183263 c",2958.98246917,5.5850000000
"HD 221420 b",6467.80808245,8.3980000000
"HD 66428 b",3478.94974302,3.3950000000
"HD 3167 c",10.67000000,0.1783000000
"HD 89839 b",1592.32031907,4.7610000000
"HD 181234 b",3219.60176291,7.5200000000
"HD 108202 b",953.48522100,3.7000000000
"BD-210397 c",1525.57635360,5.9000000000
"HD 16905 b",3591.46099910,8.8000000000
"HD 62364 b",6038.73973300,6.4000000000
"HD 89839 b",1652.70771640,4.9000000000
"HD 114783 c",603.87397330,5.0000000000
"GJ 832 b",314.65012293,3.7000000000
"HD 221420 b",6992.22495400,10.1000000000
"HIP 70849 b",1430.22783150,3.9900000000
"HD 27894 d",2063.65984665,5.3620000000
"HD 29985 b",1739.47487151,13.3900000000
"KOI-1257 b",460.83000000,0.3820000000
"KMT-2018-BLG-1976L b",705.57906354,3.5400000000
"HD 202206 c",5689.15700000,2.4100000000
"Kepler-85 c",20.90000000,
"TOI-1248 b",27.40000000,0.0510000000
"TOI-4773 b",1687.66884117,0.0321600000
"HD 73267 b",1462.01067220,2.1950000000
"K2-24 c",15.40000000,
"Kepler-31 d",2161.24400000,0.4000000000
"Kepler-139 e",378.00000000,
"eps Eri b",540.31100000,3.4000000000
"Kepler-18 d",15.70000000,
"TOI-4734 b",61.65871096,0.0740000000
"TOI-1386 b",45.80000000,0.1730000000
"HD 154391 b",2892.23850370,7.4600000000
"OGLE-2012-BLG-0026L b",35.00000000,3.8200000000
"HAT-P-11 b",24.02794800,
"OGLE-2012-BLG-0950L b",25.00000000,2.2000000000
"Kepler-32 d",39.90890000,
"OGLE-2012-BLG-0950L b",31.00000000,2.4000000000
"GJ 876 c",251.07500000,0.1306500000
"CoRoT-23 b",889.90000000,0.0480000000
"HD 62549 b",2707.58019923,11.8420000000
"Kepler-74 b",216.12000000,0.0840000000
"OGLE-2015-BLG-0966L b",21.00000000,2.1000000000
"NN Ser d",731.00000000,3.4300000000
"Kepler-391 b",1100.00000000,0.0830000000
"HD 120084 b",2415.49589320,4.1200000000
"VHS J125601.92-125723.9 b",6038.73973300,
"HD 81817 b",7668.56380410,3.2330000000
"Kepler-79 c",11.40000000,
"CoRoT-28 b",153.82972000,0.0603000000
"KMT-2018-BLG-1990L b",180.00000000,0.8830000000
"GJ 896 A b",718.29219982,0.6396500000
"OGLE-2008-BLG-092L b",57.00000000,15.0000000000
"Kepler-326 b",44.60000000,
"Kepler-9 b",2175.00000000,
"OGLE-2012-BLG-0358L b",588.00000000,0.8700000000
"KOI-3503 c",10.36000000,
"CoRoT-7 b",21.00000000,0.0172000000
"Kepler-139 c",13.00000000,
"NN Ser c",2196.11000000,5.3800000000
"HD 72659 b",949.67128012,4.6910000000
"KOI-984 c",209.80000000,0.1467000000
"HD 111232 b",2637.97577810,
"OGLE-2018-BLG-0799L b",120.77479466,1.1900000000
"KMT-2022-BLG-0303L b",163.04597279,4.8100000000
"HIP 948 b",6547.26518420,15.0370000000
"Kepler-176 c",23.00000000,
"NGTS-34 b",19.10000000,0.2570000000
"KMT-2024-BLG-1005L b",6674.39654700,0.7800000000
"HIP 54515 b",5625.56280390,24.8000000000
"Kepler-435 b",270.15550000,0.0949000000
"XO-1 b",291.76794000,0.0492800000
"XO-2 N b",179.89178000,0.0368400000
"WASP-1 b",291.76794000,0.0395700000
"Kepler-82 b",51.00000000,
"WASP-39 b",88.98900000,0.0486000000
"TrES-2 b",381.39600000,0.0355800000
"HAT-P-2 b",2771.47760000,0.0679000000
"GJ 436 b",23.16880000,0.0287200000
"HAT-P-1 b",169.08556000,0.0553000000
