r_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,sb_disk,sb_bulge,galaxy,source_type,dist,inc,lum,type
0.16,1.99,1.5,1.86,3.75,0.0,30.32,0.0,CamB,LTG,,,,
0.41,4.84,1.5,4.24,9.47,0.0,23.77,0.0,CamB,LTG,,,,
0.57,6.79,1.5,5.61,11.76,0.0,15.87,0.0,CamB,LTG,,,,
0.73,8.87,1.5,6.77,13.72,0.0,12.4,0.0,CamB,LTG,,,,
0.9,10.9,1.5,7.77,14.8,0.0,9.63,0.0,CamB,LTG,,,,
1.06,12.9,1.5,8.44,15.24,0.0,5.86,0.0,CamB,LTG,,,,
1.22,14.7,1.5,8.64,15.11,0.0,5.19,0.0,CamB,LTG,,,,
1.47,16.8,1.5,8.08,15.9,0.0,3.02,0.0,CamB,LTG,,,,
1.79,20.1,1.5,6.91,14.91,0.0,0.88,0.0,CamB,LTG,,,,
0.96,22.9,2.71,4.08,14.85,0.0,16.45,0.0,D512-2,LTG,,,,
1.92,33.5,2.71,6.24,21.2,0.0,7.4,0.0,D512-2,LTG,,,,
2.88,37.2,4.19,7.45,20.56,0.0,2.72,0.0,D512-2,LTG,,,,
3.83,35.9,5.98,8.09,20.08,0.0,1.79,0.0,D512-2,LTG,,,,
0.51,8.54,1.53,3.47,6.36,0.0,6.37,0.0,D564-8,LTG,,,,
1.02,15.1,1.41,5.33,8.66,0.0,2.82,0.0,D564-8,LTG,,,,
1.53,19.8,1.8,6.34,9.09,0.0,1.19,0.0,D564-8,LTG,,,,
2.04,21.9,1.82,6.86,8.75,0.0,0.52,0.0,D564-8,LTG,,,,
2.56,24.0,1.89,7.05,8.17,0.0,0.22,0.0,D564-8,LTG,,,,
3.07,25.0,2.05,7.04,7.65,0.0,0.0,0.0,D564-8,LTG,,,,
0.45,8.41,1.58,8.4,9.99,0.0,26.06,0.0,D631-7,LTG,,,,
0.9,17.8,2.22,13.51,15.52,0.0,19.64,0.0,D631-7,LTG,,,,
1.35,26.0,2.35,16.7,20.76,0.0,12.17,0.0,D631-7,LTG,,,,
1.8,30.9,2.22,18.72,21.37,0.0,4.5,0.0,D631-7,LTG,,,,
2.25,34.7,1.82,19.9,19.92,0.0,2.1,0.0,D631-7,LTG,,,,
2.69,38.8,1.81,20.61,18.76,0.0,1.13,0.0,D631-7,LTG,,,,
3.14,42.5,1.57,20.73,17.36,0.0,0.54,0.0,D631-7,LTG,,,,
3.59,45.6,1.59,20.61,16.32,0.0,0.37,0.0,D631-7,LTG,,,,
4.04,48.8,1.83,20.38,15.37,0.0,0.18,0.0,D631-7,LTG,,,,
4.49,51.8,1.91,19.9,14.49,0.0,0.1,0.0,D631-7,LTG,,,,
4.94,54.8,2.19,19.43,13.72,0.0,0.05,0.0,D631-7,LTG,,,,
5.39,56.6,2.73,18.84,13.04,0.0,0.03,0.0,D631-7,LTG,,,,
