galaxy,morphology,ratio,z_score,vram_at_end
DDO161,unknown,0.6158482978530962,-13.788308824899792,313.0
DDO170,unknown,1.0,0.0,313.0
ESO079-G014,unknown,0.6158482110660254,-5.004663963212619,313.0
ESO116-G012,unknown,0.3792690190732254,-20.96153039773681,313.0
ESO563-G021,unknown,0.3792690190732238,-15.925857079690893,313.0
F561-1,unknown,2.6366508987303554,0.6657560780235775,313.0
F563-1,unknown,1.0,0.0,313.0
F563-V2,unknown,1.7231413998675453,1.5479792373749586,313.0
F565-V2,unknown,0.6158482110660279,-1.5382096996836434,313.0
F568-1,unknown,1.0,0.0,313.0
F568-3,unknown,0.6158482110660254,-3.2663520871001075,313.0
F568-V1,unknown,2.6366508987303665,2.4693069204917983,313.0
F571-8,unknown,0.056301030213339535,-146.81390216580547,313.0
F571-V1,unknown,1.0,0.0,313.0
F574-1,unknown,1.0,0.0,313.0
F579-V1,unknown,2.6366508987303554,2.8862151817404116,313.0
F583-1,unknown,1.6237767391887243,2.170001247437455,313.0
IC4202,unknown,0.23357214690901215,-8.932435269324865,313.0
NGC0024,unknown,1.5065916610899586,3.7856779295302907,313.0
NGC0055,unknown,0.6158528353761348,-9.063316790540807,313.0
NGC0100,unknown,0.3792687256353179,-10.938553490380272,313.0
NGC0247,unknown,1.0,0.0,313.0
NGC0289,unknown,1.0,0.0,313.0
NGC0300,unknown,0.6158482110660254,-8.184086064383761,313.0
NGC0801,unknown,0.1438449888287666,-5.450951738276816,313.0
NGC0891,unknown,1.0,0.0,313.0
NGC1003,unknown,0.3792690190732238,-54.773822232980294,313.0
NGC1090,unknown,0.3772884880900314,-11.377923832378348,313.0
NGC2403,unknown,0.6158482110660254,-82.23977396740376,313.0
NGC2903,unknown,0.143844988828766,-85.47066430064586,313.0
NGC2915,unknown,0.37926901907322536,-10.423680798370889,313.0
NGC2955,unknown,0.08858667904100831,-1.8096146662184522,313.0
NGC2998,unknown,0.23357214690901215,-6.260667982423465,313.0
NGC3198,unknown,0.384039538015229,-57.186052965683835,313.0
NGC3521,unknown,0.0206913808111479,-2.5827949989435366,313.0
NGC3877,unknown,4.281332398719396,0.3893106539056251,313.0
NGC3893,unknown,0.08858667904100832,-4.894157730852995,313.0
NGC3917,unknown,1.0,0.0,313.0
NGC3972,unknown,0.6158482110660254,-2.991679430592653,313.0
NGC4010,unknown,0.03359818286283788,-11.882324973023445,313.0
NGC4051,unknown,1.0,0.0,313.0
NGC4088,unknown,1.0,0.0,313.0
NGC4157,unknown,0.05964407728174317,-8.418351824130117,313.0
NGC4183,unknown,1.6237767391887243,4.051679001194633,313.0
NGC4217,unknown,0.08858667904100831,-3.4252588984294894,313.0
NGC4559,unknown,0.1438449888287666,-23.37026070823889,313.0
NGC5005,unknown,1.0,0.0,313.0
NGC5033,unknown,1.0,0.0,313.0
NGC5371,unknown,1.0,0.0,313.0
NGC5585,unknown,0.05455594781168514,-138.2380055800403,313.0
NGC6015,unknown,0.3792690190732238,-47.067985492647445,313.0
NGC6195,unknown,0.1438449888287666,-1.5219903009273001,313.0
NGC6503,unknown,1.0,0.0,313.0
NGC6946,unknown,0.17695226330437683,-9.550529394446077,313.0
NGC7814,unknown,0.6158482110660254,-7.984425769579227,313.0
UGC00128,unknown,1.6237767391887243,30.58127300421784,313.0
UGC00731,unknown,2.6366508987303554,7.705922020846096,313.0
UGC01230,unknown,2.6366508987303665,2.4725522679269565,313.0
UGC02259,unknown,1.0,0.0,313.0
UGC02885,unknown,0.6158482110660254,-5.579908000533404,313.0
UGC02916,unknown,0.14274361609210334,-10.212971615612103,313.0
UGC02953,unknown,0.6158482110660254,-67.86877691115652,313.0
UGC03205,unknown,0.6158482110660254,-17.214998049460302,313.0
UGC03546,unknown,0.3792690190732254,-35.31738943580079,313.0
UGC03580,unknown,0.23357214690901215,-94.57543490955638,313.0
UGC04499,unknown,0.6158482110660254,-4.5572814417909,313.0
UGC05005,unknown,0.23357214690901215,-8.072061589612959,313.0
UGC05253,unknown,0.6158482110660254,-18.368688177440898,313.0
UGC05716,unknown,1.0,0.0,313.0
UGC05986,unknown,0.6158482110660279,-10.622131014033206,313.0
UGC06446,unknown,1.6237767391887175,3.5295776320384635,313.0
UGC06786,unknown,0.6158482110660279,-31.063265604529867,313.0
UGC06787,unknown,0.45965026437912737,-88.71709388515758,313.0
UGC06917,unknown,1.0,0.0,313.0
UGC06930,unknown,1.6237767391887243,2.312002246088851,313.0
UGC06983,unknown,1.0,0.0,313.0
UGC07089,unknown,0.23357214690901212,-6.667397993691269,313.0
UGC07125,unknown,1.0,0.0,313.0
UGC07524,unknown,1.0,0.0,313.0
UGC08286,unknown,1.0,0.0,313.0
UGC08490,unknown,1.0,0.0,313.0
UGC08699,unknown,0.3792690190732238,-27.158788165551442,313.0
UGC09133,unknown,0.6158482110660254,-57.163540487311664,313.0
UGC11455,unknown,0.05455593494118594,-8.613325435367186,313.0
UGC11557,unknown,1.0,0.0,313.0
UGC11820,unknown,1.0,0.0,313.0
UGC11914,unknown,0.08858667904100831,0.0,313.0
UGC12506,unknown,1.6237767391887175,5.080396220807442,313.0
UGC12632,unknown,1.6237767391887243,3.962828465162411,313.0
UGC12732,unknown,1.0,0.0,313.0
