galaxy,ups_d,resid
D631-7,0.65,0.4069857879023413
DDO064,0.65,0.3789475501219223
DDO154,0.65,0.511849485686028
DDO161,0.65,0.18441566993923791
DDO168,0.65,0.22544318174180183
ESO079-G014,0.65,0.11936939471966208
ESO116-G012,0.65,0.2474900589198434
ESO563-G021,0.65,0.15820811098734708
F563-1,0.65,0.8192926904261943
F563-V2,0.65,0.6509201025721658
F568-1,0.65,0.6503621512404897
F568-3,0.65,0.3130524815138584
F568-V1,0.65,0.6842502004846323
F571-8,0.65,0.3232499690486651
F574-1,0.65,0.3871750915867701
F579-V1,0.65,0.39444093523726925
F583-1,0.65,0.6397455743049474
F583-4,0.65,0.299993210645696
IC2574,0.65,0.2705520938724122
IC4202,0.65,0.09293570419289503
KK98-251,0.65,0.13892249076294216
NGC0024,0.65,0.29875573578598136
NGC0055,0.65,0.13690004169239664
NGC0100,0.65,0.24120013269674395
NGC0247,0.65,0.2920310024870317
NGC0289,0.65,0.1918498058949442
NGC0300,0.65,0.37665743941150676
NGC0801,0.65,0.03443627797487585
NGC0891,0.65,0.02412401579137124
NGC1003,0.65,0.43865294367304464
NGC1090,0.65,0.08646142289717906
NGC1705,0.65,0.6974888554860951
NGC2366,0.65,0.18163097428508312
NGC2403,0.65,0.18310243555326328
NGC2683,0.65,0.10844339125745166
NGC2841,0.65,0.19809521765397672
NGC2903,0.65,0.12997306158237476
NGC2915,0.65,0.9048019554498481
NGC2955,0.65,0.011991354308819003
NGC2976,0.65,0.02492380756368606
NGC2998,0.65,0.143720586224571
NGC3109,0.65,0.6842924995870685
NGC3198,0.65,0.15831086760733015
NGC3521,0.65,0.013325169726221407
NGC3726,0.65,0.07835267498697528
NGC3741,0.65,0.8073546360182152
NGC3769,0.65,0.20818268517561325
NGC3877,0.65,0.051375611489118546
NGC3893,0.65,0.07309863123177751
NGC3917,0.65,0.1338528303402741
NGC3972,0.65,0.11169281114785279
NGC4010,0.65,0.0725029733372548
NGC4013,0.65,0.10849278643683286
NGC4088,0.6050129440026555,0.017019728966975217
NGC4100,0.65,0.10412865711103714
NGC4157,0.65,0.059043163602738265
NGC4183,0.65,0.22196981472786675
NGC4214,0.65,0.4451174452504859
NGC4217,0.65,0.08622751196118525
NGC4559,0.65,0.08783254908629784
NGC5005,0.65,0.004079561452103164
NGC5033,0.65,0.1423007071414639
NGC5055,0.65,0.0758095276280578
NGC5371,0.65,0.01349370965411388
NGC5585,0.65,0.15375451383953723
NGC5907,0.65,0.12194966457136935
NGC5985,0.65,0.1997633022721618
NGC6015,0.65,0.18813121060773225
NGC6195,0.65,0.007370733532478952
NGC6503,0.65,0.2910890583709033
NGC6674,0.65,0.23848242498896313
NGC6946,0.65,0.03527531362466709
NGC7331,0.65,0.042833664973730395
NGC7793,0.65,0.061264353927193656
NGC7814,0.65,0.07697013707818358
UGC00128,0.65,0.5839047763487538
UGC00731,0.65,0.8529446558697353
UGC01230,0.65,0.3733392519268072
UGC01281,0.65,0.4100743337926495
UGC02487,0.65,0.2255998013878251
UGC02885,0.65,0.12945082138170586
UGC02916,0.65,0.02709900742625869
UGC02953,0.65,0.09479420241981774
UGC03205,0.65,0.06743778486018524
UGC03546,0.65,0.050497347728741634
UGC03580,0.65,0.11724284636620694
UGC04278,0.65,0.34637669994441816
UGC04305,0.65,0.028701502212352462
UGC05005,0.65,0.2685650477532309
UGC05253,0.65,0.040227050758055154
UGC05716,0.65,0.5330176817240914
UGC05721,0.65,0.48892875514767314
UGC05750,0.65,0.22547006438687467
UGC05764,0.65,0.8171000944464429
UGC05829,0.65,0.40425867320637726
UGC05986,0.65,0.29835225332068666
UGC06446,0.65,0.50169200935483
UGC06614,0.65,0.09454521041423089
UGC06786,0.65,0.12207618102701494
UGC06787,0.65,0.1059543027982167
UGC06917,0.65,0.2226113970407389
UGC06930,0.65,0.20858902053126482
UGC06983,0.65,0.337577765462867
UGC07089,0.65,0.11676881389952964
UGC07125,0.65,0.11050374413668043
UGC07151,0.65,0.1375407080710308
UGC07323,0.65,0.07943414262450073
UGC07399,0.65,0.6819275312619483
UGC07524,0.65,0.3300789743715404
UGC07603,0.65,0.4013199247096409
UGC08286,0.65,0.5010334722348253
UGC08490,0.65,0.5128405962915814
UGC08550,0.65,0.47150153619432245
UGC08699,0.65,0.07183248664022819
UGC09037,0.65,0.052804783149307345
UGC09133,0.65,0.1034793321399012
UGC11455,0.65,0.033287939599519784
UGC11557,0.3584132765110191,0.144921192570056
UGC11820,0.65,0.38829810704158285
UGC11914,0.65,0.0055940222313818535
UGC12506,0.65,0.3097904232415616
UGC12632,0.65,0.4346091992213269
UGC12732,0.65,0.478287098016757
UGCA444,0.65,0.49172816528458896
