galaxy,ups_d,resid
D631-7,0.6,0.4159586091923089
DDO064,0.6,0.405519464842758
DDO154,0.6,0.5220156955395038
DDO161,0.6,0.1907153415338386
DDO168,0.6,0.23335478031971948
ESO079-G014,0.6,0.14164772542048149
ESO116-G012,0.6,0.2733092939617437
ESO563-G021,0.6,0.17569691059348333
F563-1,0.6,0.85347644967031
F563-V2,0.6,0.6923312379037523
F568-1,0.6,0.6937675054585148
F568-3,0.6,0.34450820973200746
F568-V1,0.6,0.7317869242331477
F571-8,0.6,0.33671849826891737
F574-1,0.6,0.42489421910770747
F579-V1,0.6,0.4348586473095031
F583-1,0.6,0.6812851900299514
F583-4,0.6,0.33500580692388043
IC2574,0.6,0.29352091535373803
IC4202,0.6,0.10196225282232836
KK98-251,0.6,0.14691244412836976
NGC0024,0.6,0.33274999618422274
NGC0055,0.6,0.1485482667233099
NGC0100,0.6,0.2669635060337924
NGC0247,0.6,0.32119035032645277
NGC0289,0.6,0.20774283160815873
NGC0300,0.6,0.40838796178259
NGC0801,0.6,0.04189320545221918
NGC0891,0.6,0.026069988178441098
NGC1003,0.6,0.4625793124294851
NGC1090,0.6,0.09892219658542528
NGC1705,0.6,0.7363070205561213
NGC2366,0.6,0.19133342282427707
NGC2403,0.6,0.20072429594329655
NGC2683,0.6,0.12664973208594382
NGC2841,0.6,0.21277623083668026
NGC2903,0.6,0.13703596915555685
NGC2915,0.6,0.935997362051152
NGC2955,0.6,0.013849524204171591
NGC2976,0.6,0.03195961249704215
NGC2998,0.6,0.1661156851722882
NGC3109,0.6,0.7056851379056558
NGC3198,0.6,0.174230401814819
NGC3521,0.6,0.015915217258563725
NGC3726,0.6,0.08994482408694675
NGC3741,0.6,0.8212747661944944
NGC3769,0.6,0.22584330717265852
NGC3877,0.6,0.05448741089791501
NGC3893,0.6,0.08700354441176691
NGC3917,0.6,0.15652754913006747
NGC3972,0.6,0.13301525146401597
NGC4010,0.6,0.08756881797335447
NGC4013,0.6,0.12220575595703724
NGC4088,0.6,0.017030728744314102
NGC4100,0.6,0.12472375514398569
NGC4157,0.6,0.06864152961407624
NGC4183,0.6,0.24568290791256076
NGC4214,0.6,0.4826263327262373
NGC4217,0.6,0.0881281197321403
NGC4559,0.6,0.1008225617346666
NGC5005,0.6,0.006126783141930123
NGC5033,0.6,0.15459160015521503
NGC5055,0.6,0.084198420379892
NGC5371,0.6,0.02034691457430225
NGC5585,0.6,0.16852477897225068
NGC5907,0.6,0.14239253145999728
NGC5985,0.6,0.22587051263539235
NGC6015,0.6,0.21030178033073063
NGC6195,0.6,0.008976052316528654
NGC6503,0.6,0.3183148628944879
NGC6674,0.6,0.26326015694717525
NGC6946,0.6,0.044006275463117875
NGC7331,0.6,0.048201750733687924
NGC7793,0.6,0.07146614078710983
NGC7814,0.6,0.08051496735374362
UGC00128,0.6,0.613033557194549
UGC00731,0.6,0.8785444089614748
UGC01230,0.6,0.3995130857009989
UGC01281,0.6,0.43444797898165716
UGC02487,0.6,0.246423983212253
UGC02885,0.6,0.14492873663914393
UGC02916,0.6,0.0282152265095771
UGC02953,0.6,0.10445084725802992
UGC03205,0.6,0.07776446845146362
UGC03546,0.6,0.05665309047054404
UGC03580,0.6,0.12260689445636828
UGC04278,0.6,0.37896864672267033
UGC04305,0.6,0.03195489145576972
UGC05005,0.6,0.2865344830863053
UGC05253,0.6,0.0427703183132681
UGC05716,0.6,0.5553419685438729
UGC05721,0.6,0.5158203450377482
UGC05750,0.6,0.24612206974741566
UGC05764,0.6,0.8392338783145037
UGC05829,0.6,0.43123170098104974
UGC05986,0.6,0.3289947380543464
UGC06446,0.6,0.5296114777497836
UGC06614,0.6,0.09883599788097955
UGC06786,0.6,0.13295710551271492
UGC06787,0.6,0.1110509832085166
UGC06917,0.6,0.25008800749136806
UGC06930,0.6,0.2316018863864031
UGC06983,0.6,0.3644762023395251
UGC07089,0.6,0.13499325284723734
UGC07125,0.6,0.12215607975961094
UGC07151,0.6,0.15858767069646187
UGC07323,0.6,0.09723136803257024
UGC07399,0.6,0.7201663590096476
UGC07524,0.6,0.35773201747804684
UGC07603,0.6,0.42896464219126923
UGC08286,0.6,0.5360768554847013
UGC08490,0.6,0.5394045642168409
UGC08550,0.6,0.4998207539347703
UGC08699,0.6,0.07914491947350982
UGC09037,0.6,0.05783224972218117
UGC09133,0.6,0.11103994752612227
UGC11455,0.6,0.0390509408439539
UGC11557,0.4,0.14672715689235685
UGC11820,0.6,0.41545894772004904
UGC11914,0.6,0.007489001646533153
UGC12506,0.6,0.3410494121362507
UGC12632,0.6,0.4646508457885185
UGC12732,0.6,0.5064619974615019
UGCA444,0.6,0.5011909732368625
