galaxy,ups_d,resid
D631-7,0.58,0.4196749636651348
DDO064,0.58,0.41691405856343444
DDO154,0.58,0.5262752372865739
DDO161,0.58,0.1933777584146151
DDO168,0.58,0.2366137280140094
ESO079-G014,0.58,0.15171629558247862
ESO116-G012,0.58,0.2846055670794199
ESO563-G021,0.58,0.1837475466087423
F563-1,0.58,0.8679802926369613
F563-V2,0.58,0.7101104271707946
F568-1,0.58,0.7124478303447614
F568-3,0.58,0.3582710009171812
F568-V1,0.58,0.7522851331650829
F571-8,0.58,0.3431000184604386
F574-1,0.58,0.441323347219084
F579-V1,0.58,0.45251298778912047
F583-1,0.58,0.6992360047234472
F583-4,0.58,0.3503542483894521
IC2574,0.58,0.30342026599113686
IC4202,0.58,0.10572148606121858
KK98-251,0.58,0.1502463996299594
NGC0024,0.58,0.3476876168934799
NGC0055,0.58,0.15351002922159987
NGC0100,0.58,0.27834213255126017
NGC0247,0.58,0.33382247997147946
NGC0289,0.58,0.21473168765037784
NGC0300,0.58,0.4221201040063625
NGC0801,0.58,0.04566087655005442
NGC0891,0.58,0.02715203478393951
NGC1003,0.58,0.47278826836909943
NGC1090,0.58,0.10474620328280008
NGC1705,0.58,0.7528263162999366
NGC2366,0.58,0.19552754698694128
NGC2403,0.58,0.20857807219047336
NGC2683,0.58,0.13483986500226347
NGC2841,0.58,0.2190364681204624
NGC2903,0.58,0.14067414225409627
NGC2915,0.58,0.9492013498163555
NGC2955,0.58,0.014694238777668641
NGC2976,0.58,0.03552931240823177
NGC2998,0.58,0.17616127246691335
NGC3109,0.58,0.7145766052180865
NGC3198,0.58,0.1814623844915656
NGC3521,0.58,0.0177122990647282
NGC3726,0.58,0.09539371439589589
NGC3741,0.58,0.8270931491571025
NGC3769,0.58,0.23363869401099233
NGC3877,0.58,0.05650088966517779
NGC3893,0.58,0.09344259892278219
NGC3917,0.58,0.1667133171182209
NGC3972,0.58,0.14264186396850115
NGC4010,0.58,0.09449446292587545
NGC4013,0.58,0.12825509297169044
NGC4088,0.58,0.017302278146418295
NGC4100,0.58,0.1340394436019124
NGC4157,0.58,0.07310213817178927
NGC4183,0.58,0.255976355271398
NGC4214,0.58,0.4988861939440253
NGC4217,0.58,0.08888952664497161
NGC4559,0.58,0.10670341687058948
NGC5005,0.58,0.007223367458422697
NGC5033,0.58,0.15990223054537364
NGC5055,0.58,0.0883425950575744
NGC5371,0.58,0.023913186444052763
NGC5585,0.58,0.1751975616904209
NGC5907,0.58,0.15152890527127108
NGC5985,0.58,0.23731914889966532
NGC6015,0.58,0.22010657670370382
NGC6195,0.58,0.009709341945890279
NGC6503,0.58,0.3302060135779738
NGC6674,0.58,0.27402733591593936
NGC6946,0.58,0.04798225671934159
NGC7331,0.58,0.0509884897704381
NGC7793,0.58,0.0763917255785543
NGC7814,0.58,0.08198534223321247
UGC00128,0.58,0.6254142207172034
UGC00731,0.58,0.8892986492150845
UGC01230,0.58,0.410779439159783
UGC01281,0.58,0.4449193878395622
UGC02487,0.58,0.2553669282046405
UGC02885,0.58,0.1516781005015293
UGC02916,0.58,0.02867445022799714
UGC02953,0.58,0.10879532877809438
UGC03205,0.58,0.0823517745064125
UGC03546,0.58,0.0592996664701635
UGC03580,0.58,0.12492779102221639
UGC04278,0.58,0.3931762608273734
UGC04305,0.58,0.03370413026233506
UGC05005,0.58,0.29433546757913864
UGC05253,0.58,0.04383575959660289
UGC05716,0.58,0.5647998411748211
UGC05721,0.58,0.5273344605110616
UGC05750,0.58,0.2551258450842363
UGC05764,0.58,0.8484335478466122
UGC05829,0.58,0.4427864430540414
UGC05986,0.58,0.3423835664851716
UGC06446,0.58,0.5415160815640196
UGC06614,0.58,0.10064216037895038
UGC06786,0.58,0.13764171691984475
UGC06787,0.58,0.11318933935383686
UGC06917,0.58,0.2621444725547157
UGC06930,0.58,0.24162101964621438
UGC06983,0.58,0.37606843361676445
UGC07089,0.58,0.14307821774414356
UGC07125,0.58,0.12721829157465422
UGC07151,0.58,0.1679090166257864
UGC07323,0.58,0.10531302030579255
UGC07399,0.58,0.7364403947265458
UGC07524,0.58,0.36963794436703606
UGC07603,0.58,0.4408383972619028
UGC08286,0.58,0.551110413019519
UGC08490,0.58,0.5506646633758875
UGC08550,0.58,0.5119158723922849
UGC08699,0.58,0.08232220210544114
UGC09037,0.58,0.06038082780505865
UGC09133,0.58,0.11430402256566626
UGC11455,0.58,0.042181792621712955
UGC11557,0.42,0.14870426936657968
UGC11820,0.58,0.4272529362958072
UGC11914,0.58,0.00841066244221658
UGC12506,0.58,0.35463597386970375
UGC12632,0.58,0.4774976817138666
UGC12732,0.58,0.518510498732317
UGCA444,0.58,0.5051434530181995
