galaxy,ups_d,resid
D631-7,0.55,0.425392484633461
DDO064,0.55,0.43491914847399565
DDO154,0.55,0.5328909183520918
DDO161,0.55,0.19753568651737372
DDO168,0.55,0.24160683496958252
ESO079-G014,0.55,0.16823900088740518
ESO116-G012,0.55,0.3027176574328053
ESO563-G021,0.55,0.19712295294944962
F563-1,0.55,0.8907228714509119
F563-V2,0.55,0.7382378366846124
F568-1,0.55,0.7420525843995031
F568-3,0.55,0.38034713108076124
F568-V1,0.55,0.7848190652640474
F571-8,0.55,0.35390295464278326
F574-1,0.55,0.4675887715605412
F579-V1,0.55,0.4807983096048066
F583-1,0.55,0.7277737294491073
F583-4,0.55,0.37500549545025885
IC2574,0.55,0.3191151981212164
IC4202,0.55,0.11150640217980357
KK98-251,0.55,0.15540333216200355
NGC0024,0.55,0.3717223937413884
NGC0055,0.55,0.1613010818467612
NGC0100,0.55,0.29671067631460474
NGC0247,0.55,0.3539293780245473
NGC0289,0.55,0.2259752167264031
NGC0300,0.55,0.44396588666954995
NGC0801,0.55,0.05228361127921274
NGC0891,0.55,0.029086288656549213
NGC1003,0.55,0.48885463723312106
NGC1090,0.55,0.11451175305492374
NGC1705,0.55,0.7787735655801409
NGC2366,0.55,0.20219369190001693
NGC2403,0.55,0.22133830393629575
NGC2683,0.55,0.14822530531751965
NGC2841,0.55,0.22887569700797075
NGC2903,0.55,0.14714067791446833
NGC2915,0.55,0.9698603466057883
NGC2955,0.55,0.016071000787452782
NGC2976,0.55,0.041816293031820724
NGC2998,0.55,0.19255856514093248
NGC3109,0.55,0.7282971055667765
NGC3198,0.55,0.1933675561300431
NGC3521,0.55,0.021362728037159114
NGC3726,0.55,0.10456204523986053
NGC3741,0.55,0.8361133578902775
NGC3769,0.55,0.24620911752566466
NGC3877,0.55,0.06048406671677323
NGC3893,0.55,0.10417446637653656
NGC3917,0.55,0.18335573765019017
NGC3972,0.55,0.15842515915979052
NGC4010,0.55,0.10598226472962081
NGC4013,0.55,0.13799668133981358
NGC4088,0.55,0.01845432018461544
NGC4100,0.55,0.14933204464775254
NGC4157,0.55,0.08066978237737017
NGC4183,0.55,0.27238072716370637
NGC4214,0.55,0.5247830521203214
NGC4217,0.55,0.09003274906664264
NGC4559,0.55,0.1163543003007062
NGC5005,0.55,0.009184443217089769
NGC5033,0.55,0.16832688539467328
NGC5055,0.55,0.0955321797198024
NGC5371,0.55,0.030288297582805514
NGC5585,0.55,0.18613965101403254
NGC5907,0.55,0.16639832093988488
NGC5985,0.55,0.25570332055390865
NGC6015,0.55,0.23594796492135714
NGC6195,0.55,0.010909023079494375
NGC6503,0.55,0.34924556627119946
NGC6674,0.55,0.2911985102547021
NGC6946,0.55,0.05449259373279663
NGC7331,0.55,0.05595174817127332
NGC7793,0.55,0.08482318700923389
NGC7814,0.55,0.08424903234786292
UGC00128,0.55,0.6448513034955217
UGC00731,0.55,0.9060363604351296
UGC01230,0.55,0.42863081947549125
UGC01281,0.55,0.4614854701737558
UGC02487,0.55,0.26949990715743116
UGC02885,0.55,0.16246206020964793
UGC02916,0.55,0.029377022084310336
UGC02953,0.55,0.11588807398793335
UGC03205,0.55,0.08977433881201376
UGC03546,0.55,0.06346864560052892
UGC03580,0.55,0.1286018032942581
UGC04278,0.55,0.415903175731944
UGC04305,0.55,0.03687321679169238
UGC05005,0.55,0.3067708029008159
UGC05253,0.55,0.04548656774305452
UGC05716,0.55,0.579612269433153
UGC05721,0.55,0.545507265117837
UGC05750,0.55,0.2695172616152162
UGC05764,0.55,0.8626313462240155
UGC05829,0.55,0.46103327331474414
UGC05986,0.55,0.3638314503638036
UGC06446,0.55,0.5602505259629367
UGC06614,0.55,0.10345237885924917
UGC06786,0.55,0.14505463781986652
UGC06787,0.55,0.11650914191089114
UGC06917,0.55,0.28151647798701424
UGC06930,0.55,0.2576247883828139
UGC06983,0.55,0.3944526924172531
UGC07089,0.55,0.15616170581490407
UGC07125,0.55,0.13528567727698998
UGC07151,0.55,0.1829819221046427
UGC07323,0.55,0.11861223327571616
UGC07399,0.55,0.762008014146051
UGC07524,0.55,0.38850400961024695
UGC07603,0.55,0.45961773652504445
UGC08286,0.55,0.5748729553840339
UGC08490,0.55,0.568300837125883
UGC08550,0.55,0.5309691587770732
UGC08699,0.55,0.08738050349530016
UGC09037,0.55,0.06485799606013433
UGC09133,0.55,0.11947679521962928
UGC11455,0.55,0.047908635596585175
UGC11557,0.45,0.15275558190337649
UGC11820,0.55,0.4460728866562428
UGC11914,0.55,0.009983714931871305
UGC12506,0.55,0.3763148909232752
UGC12632,0.55,0.49775398620204697
UGC12732,0.55,0.537512352405757
UGCA444,0.55,0.5112700380433379
