galaxy,ups_d,resid
CamB,0.3227645952831597,0.07122240043546561
D631-7,0.7,0.3984426716047703
DDO064,0.7,0.3547988703751258
DDO154,0.7,0.5023057836337997
DDO161,0.7,0.17858398695455865
DDO168,0.7,0.21785459918767022
DDO170,0.7,0.32294197432497146
ESO079-G014,0.7,0.10063393434566166
ESO116-G012,0.7,0.2246962946665216
ESO563-G021,0.7,0.1439353428177234
F563-1,0.7,0.7877466025852092
F563-V2,0.7,0.6133224858575462
F568-1,0.7,0.6110907308487065
F568-3,0.7,0.28526015532464283
F568-V1,0.7,0.6413546933475676
F571-8,0.7,0.3127931704014637
F574-1,0.7,0.3536337257996924
F579-V1,0.7,0.3586379608798724
F583-1,0.7,0.6023715336731263
F583-4,0.7,0.26915023363779295
IC2574,0.7,0.24984259940954737
IC4202,0.7,0.08447952781879894
KK98-251,0.7,0.13139545468820976
NGC0024,0.7,0.2689093647426561
NGC0055,0.7,0.12624503399552836
NGC0100,0.7,0.21876891146261895
NGC0247,0.7,0.2659217153852129
NGC0289,0.7,0.17793423459620408
NGC0300,0.7,0.3481938559128153
NGC0801,0.7,0.029357173023874188
NGC0891,0.7,0.02326462461319105
NGC1003,0.7,0.4167707642320276
NGC1090,0.7,0.0765720511771234
NGC1705,0.7,0.6618503617111318
NGC2366,0.7,0.17291516438633087
NGC2403,0.7,0.16796968533892884
NGC2683,0.7,0.0893571457615889
NGC2841,0.7,0.16808844171411838
NGC2903,0.7,0.12536388714840146
NGC2915,0.7,0.8759397658691258
NGC2955,0.7,0.010489771352350076
NGC2976,0.7,0.02018219101285418
NGC2998,0.7,0.12467074577753355
NGC3109,0.7,0.6640055305279096
NGC3198,0.7,0.14504616531359787
NGC3521,0.6826226241088849,0.012888564506907955
NGC3726,0.7,0.06924859207575641
NGC3741,0.7,0.7942445528336967
NGC3769,0.7,0.19281647709965602
NGC3877,0.695342887104032,0.05055138158683506
NGC3893,0.7,0.06188523618242381
NGC3917,0.7,0.11460921412815475
NGC3953,0.7,0.0077568987914890895
NGC3972,0.7,0.09373975753969135
NGC3992,0.7,0.12095985559867874
NGC4010,0.7,0.0602002662242897
NGC4013,0.7,0.08703453233402955
NGC4088,0.6050128723343161,0.017019728964608793
NGC4100,0.7,0.08684103264757286
NGC4157,0.7,0.05139427705640414
NGC4183,0.7,0.2008102693717217
NGC4214,0.7,0.4115529580919302
NGC4217,0.7,0.08433162236424074
NGC4559,0.7,0.07696921992028469
NGC5005,0.7,0.002948740885060567
NGC5033,0.7,0.12355284690448515
NGC5055,0.7,0.06981678547026457
NGC5371,0.7,0.009126099916726688
NGC5585,0.7,0.14134103077250643
NGC5907,0.7,0.10447723913123001
NGC5985,0.7,0.1670630091017407
NGC6015,0.7,0.16887117893396814
NGC6195,0.7,0.006081994182178527
NGC6503,0.7,0.2669992930902414
NGC6674,0.7,0.20932582612163647
NGC6946,0.7,0.028198911340716525
NGC7331,0.7,0.03929583576783299
NGC7793,0.7,0.05362944192687541
NGC7814,0.7,0.05897574450256878
UGC00128,0.7,0.5570939846772233
UGC00191,0.7,0.25224912008458766
UGC00731,0.7,0.8289940105945267
UGC01230,0.7,0.3496804287908528
UGC01281,0.7,0.3879897247614257
UGC02259,0.7,0.4989599378808388
UGC02455,0.3,0.062071980697053705
UGC02487,0.7,0.18785828023632162
UGC02885,0.7,0.10944246080685313
UGC02916,0.7,0.026027900826643798
UGC02953,0.7,0.08633283779953188
UGC03205,0.7,0.05330800344233314
UGC03546,0.7,0.044986968377275234
UGC03580,0.7,0.11258811654664563
UGC04278,0.7,0.3174307705464232
UGC04305,0.7,0.026829988959092624
UGC04325,0.7,0.40423341445944705
UGC04483,0.7,0.16971991914731988
UGC04499,0.7,0.1805260267834858
UGC05005,0.7,0.252526589815888
UGC05253,0.7,0.03785131304810176
UGC05716,0.7,0.5123770705823426
UGC05721,0.7,0.4644382078297428
UGC05750,0.7,0.20716610732406177
UGC05764,0.7,0.7961054911372524
UGC05829,0.7,0.3797019083575714
UGC05918,0.7,0.5582526065532226
UGC05986,0.7,0.2712439990210291
UGC06399,0.7,0.28701138650660457
UGC06446,0.7,0.4761073165119724
UGC06614,0.7,0.08303516190210392
UGC06667,0.7,1.1416149825071618
UGC06786,0.7,0.10141076671273748
UGC06787,0.7,0.09652544832996568
UGC06818,0.7,0.16565715368899644
UGC06917,0.7,0.19845644934774576
UGC06930,0.7,0.18813693484953373
UGC06973,0.5519306880886427,0.04195285376340138
UGC06983,0.7,0.3133059434564553
UGC07089,0.7,0.10103368280609924
UGC07125,0.7,0.1001328247094989
UGC07151,0.7,0.11930396070628327
UGC07323,0.7,0.06459658754371313
UGC07399,0.7,0.6468140026175717
UGC07524,0.7,0.30509804682824904
UGC07577,0.7,0.010436050690421247
UGC07603,0.7,0.3762675108947174
UGC07608,0.7,0.6428031908894063
UGC08286,0.7,0.4692030540945016
UGC08490,0.7,0.4883158262355668
UGC08550,0.7,0.44562302276730603
UGC08699,0.7,0.06266928478295314
UGC08837,0.7,0.07135073091105869
UGC09037,0.7,0.04943613351064014
UGC09133,0.7,0.09211836929182837
UGC11455,0.7,0.03000138609571416
UGC11557,0.35841336110424543,0.14492119243374416
UGC11820,0.7,0.3640194632685852
UGC11914,0.7,0.004209217073124822
UGC12506,0.7,0.2819320018820305
UGC12632,0.7,0.40720488892713536
UGC12732,0.7,0.4525732310415319
UGCA442,0.7,0.5048070802849853
UGCA444,0.7,0.482800517519392
