Galaxy,Passes,Reason
CamB,True,PASS
D512-2,True,PASS
D564-8,True,PASS
D631-7,True,PASS
DDO064,True,PASS
DDO154,True,PASS
DDO161,True,PASS
DDO168,True,PASS
DDO170,True,PASS
ESO079-G014,True,PASS
ESO116-G012,True,PASS
ESO444-G084,True,PASS
ESO563-G021,True,PASS
F561-1,True,PASS
F563-1,True,PASS
F563-V1,True,PASS
F563-V2,True,PASS
F565-V2,True,PASS
F567-2,True,PASS
F568-1,True,PASS
F568-3,True,PASS
F568-V1,True,PASS
F571-8,True,PASS
F571-V1,True,PASS
F574-1,True,PASS
F574-2,True,PASS
F579-V1,True,PASS
F583-1,True,PASS
F583-4,True,PASS
IC2574,True,PASS
IC4202,True,PASS
KK98-251,True,PASS
NGC0024,True,PASS
NGC0055,True,PASS
NGC0100,True,PASS
NGC0247,True,PASS
NGC0289,True,PASS
NGC0300,True,PASS
NGC0801,True,PASS
NGC0891,True,PASS
NGC1003,True,PASS
NGC1090,True,PASS
NGC1705,True,PASS
NGC2366,True,PASS
NGC2403,True,PASS
NGC2683,True,PASS
NGC2841,True,PASS
NGC2903,True,PASS
NGC2915,True,PASS
NGC2955,True,PASS
NGC2976,True,PASS
NGC2998,True,PASS
NGC3109,True,PASS
NGC3198,True,PASS
NGC3521,True,PASS
NGC3726,True,PASS
NGC3741,True,PASS
NGC3769,True,PASS
NGC3877,True,PASS
NGC3893,True,PASS
NGC3917,True,PASS
NGC3949,True,PASS
NGC3953,True,PASS
NGC3972,True,PASS
NGC3992,True,PASS
NGC4010,True,PASS
NGC4013,True,PASS
NGC4051,True,PASS
NGC4068,True,PASS
NGC4085,True,PASS
NGC4088,True,PASS
NGC4100,True,PASS
NGC4138,True,PASS
NGC4157,True,PASS
NGC4183,True,PASS
NGC4214,True,PASS
NGC4217,True,PASS
NGC4389,True,PASS
NGC4559,True,PASS
NGC5005,True,PASS
NGC5033,True,PASS
NGC5055,True,PASS
NGC5371,True,PASS
NGC5585,True,PASS
NGC5907,True,PASS
NGC5985,True,PASS
NGC6015,True,PASS
NGC6195,True,PASS
NGC6503,True,PASS
NGC6674,True,PASS
NGC6789,True,PASS
NGC6946,True,PASS
NGC7331,True,PASS
NGC7793,True,PASS
NGC7814,True,PASS
PGC51017,True,PASS
UGC00128,True,PASS
UGC00191,True,PASS
UGC00634,True,PASS
UGC00731,True,PASS
UGC00891,True,PASS
UGC01230,True,PASS
UGC01281,True,PASS
UGC02023,True,PASS
UGC02259,True,PASS
UGC02455,True,PASS
UGC02487,True,PASS
UGC02885,True,PASS
UGC02916,True,PASS
UGC02953,True,PASS
UGC03205,True,PASS
UGC03546,True,PASS
UGC03580,True,PASS
UGC04278,True,PASS
UGC04305,True,PASS
UGC04325,True,PASS
UGC04483,True,PASS
UGC04499,True,PASS
UGC05005,True,PASS
UGC05253,True,PASS
UGC05414,True,PASS
UGC05716,True,PASS
UGC05721,True,PASS
UGC05750,True,PASS
UGC05764,True,PASS
UGC05829,True,PASS
UGC05918,True,PASS
UGC05986,True,PASS
UGC05999,True,PASS
UGC06399,True,PASS
UGC06446,True,PASS
UGC06614,True,PASS
UGC06628,True,PASS
UGC06667,True,PASS
UGC06786,True,PASS
UGC06787,True,PASS
UGC06818,True,PASS
UGC06917,True,PASS
UGC06923,True,PASS
UGC06930,True,PASS
UGC06973,True,PASS
UGC06983,True,PASS
UGC07089,True,PASS
UGC07125,True,PASS
UGC07151,True,PASS
UGC07232,True,PASS
UGC07261,True,PASS
UGC07323,True,PASS
UGC07399,True,PASS
UGC07524,True,PASS
UGC07559,True,PASS
UGC07577,True,PASS
UGC07603,True,PASS
UGC07608,True,PASS
UGC07690,True,PASS
UGC07866,True,PASS
UGC08286,True,PASS
UGC08490,True,PASS
UGC08550,True,PASS
UGC08699,True,PASS
UGC08837,True,PASS
UGC09037,True,PASS
UGC09133,True,PASS
UGC09992,True,PASS
UGC10310,True,PASS
UGC11455,True,PASS
UGC11557,True,PASS
UGC11820,True,PASS
UGC11914,True,PASS
UGC12506,True,PASS
UGC12632,True,PASS
UGC12732,True,PASS
UGCA281,True,PASS
UGCA442,True,PASS
UGCA444,True,PASS
