galaxy,morphology,success,reason,n_points,r_min,r_max,a0_inner,a0_inner_err,a0_outer,a0_outer_err,ratio,ratio_err,z_score,p_value,interpretation
D512-2,dwarf,False,Scale dependence failed,,,,,,,,,,,,
D564-8,dwarf,True,,6.0,0.51,3.07,1.644879069533201e-11,7.57494805057013e-13,4.832930238571752e-11,2.2256466245630947e-12,0.34034819215998086,0.022165836746184334,-29.759842382380295,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer)
DDO064,dwarf,True,,14.0,0.1,2.98,7.847599703514623e-11,3.6139532186194533e-12,7.847599703514623e-11,3.6139532186194533e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer)
DDO154,dwarf,True,,12.0,0.49,5.92,7.847599703514623e-11,3.6139532186194533e-12,7.847599703514623e-11,3.6139532186194533e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer)
DDO161,dwarf,True,,31.0,0.6,13.37,2.976351441631313e-11,1.3706604922023199e-12,4.832930238571752e-11,2.2256466245630947e-12,0.6158482110660254,0.040108310316814104,-9.577860196542149,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer)
DDO168,dwarf,True,,10.0,0.41,4.12,2.976351441631313e-11,1.3706604922023199e-12,7.847599703514623e-11,3.6139532186194533e-12,0.3792690190732238,0.02470063115749098,-25.13016679488883,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer)
DDO170,dwarf,True,,8.0,1.87,12.33,4.832930238571752e-11,2.2256466245630947e-12,4.832930238571752e-11,2.2256466245630947e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer)
F561-1,dwarf,True,,6.0,1.61,9.66,1.510449747207335e-11,6.955878143272468e-13,4.281332398719396e-12,1.971626431888744e-13,3.5279899025339185,0.22976719143257635,11.00239719505707,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+]
F563-1,dwarf,True,,17.0,1.07,20.1,3.3598182862837877e-10,1.5472535002331705e-11,2.0691380811147902e-10,9.528733001842442e-12,1.6237767391887241,0.10575161244338434,5.89850806788097,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+]
F563-V1,dwarf,True,,6.0,1.31,7.87,4.281332398719396e-12,1.971626431888744e-13,1e-12,4.6051701859880916e-14,4.281332398719396,0.27883008399103354,11.768215078344685,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+]
F563-V2,dwarf,True,,10.0,0.28,10.47,5.455594781168515e-10,2.512394243306947e-11,3.3598182862837877e-10,1.5472535002331705e-11,1.6237767391887177,0.10575161244338392,5.8985080678809325,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+]
F565-V2,dwarf,True,,7.0,1.26,8.8,1.274274985703132e-10,5.8682531729104654e-12,2.0691380811147902e-10,9.528733001842442e-12,0.6158482110660254,0.040108310316814104,-9.577860196542149,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer)
F567-2,dwarf,False,Scale dependence failed,,,,,,,,,,,,
F568-1,dwarf,True,,12.0,0.44,13.23,5.455594781168515e-10,2.512394243306947e-11,3.3598182862837877e-10,1.5472535002331705e-11,1.6237767391887177,0.10575161244338392,5.8985080678809325,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+]
F568-3,dwarf,True,,18.0,0.64,17.98,7.847599703514623e-11,3.6139532186194533e-12,7.847599703514623e-11,3.6139532186194533e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer)
F568-V1,dwarf,True,,15.0,0.39,17.63,5.455594781168515e-10,2.512394243306947e-11,2.0691396067381282e-10,9.528740027597553e-12,2.6366489546681318,0.17171688180644124,9.531089415617025,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+]
F571-8,dwarf,True,,13.0,0.22,15.55,2.976351441631313e-11,1.3706604922023199e-12,5.455594781168515e-10,2.512394243306947e-11,0.054555947811685136,0.0035530620129127738,-266.0927528853477,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer)
F571-V1,dwarf,True,,7.0,1.95,13.59,7.847599703514623e-11,3.6139532186194533e-12,7.847599703514623e-11,3.6139532186194533e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer)
F574-1,dwarf,True,,14.0,0.47,12.6,2.0691380811147902e-10,9.528733001842442e-12,1.274274985703132e-10,5.8682531729104654e-12,1.6237767391887243,0.10575161244338435,5.898508067880972,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+]
F574-2,dwarf,False,Scale dependence failed,,,,,,,,,,,,
F579-V1,dwarf,True,,14.0,0.42,15.16,3.3598182862837877e-10,1.5472535002331705e-11,1.274274985703132e-10,5.8682531729104654e-12,2.6366508987303665,0.17171700841726836,9.531093709443986,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+]
F583-1,dwarf,True,,25.0,0.26,16.26,2.0691384670859675e-10,9.5287347793054e-12,7.847599703514623e-11,3.6139532186194533e-12,2.636651390563772,0.17171704044887373,9.53109479574953,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+]
F583-4,dwarf,True,,12.0,0.22,7.29,7.847599703514623e-11,3.6139532186194533e-12,7.847599703514623e-11,3.6139532186194533e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer)
