galaxy,morphology,n_points,r_min,r_max,a0_inner,a0_inner_err,a0_outer,a0_outer_err,ratio,ratio_err,z_score,p_value,interpretation,success,reason
DDO161,dwarf,31.0,0.6,13.37,1.832980969141253e-11,7.594269450484138e-13,2.976351441631313e-11,5.407350415964439e-13,0.6158482978530962,0.02786068306311638,-13.788308824899792,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
DDO170,dwarf,8.0,1.87,12.33,2.976351441631313e-11,1.4874816897095905e-12,2.976351441631313e-11,9.803361262053133e-13,1.0,0.059854393746502234,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F561-1,dwarf,6.0,1.61,9.66,2.6366508987303555e-12,2.048415292005771e-12,1e-12,5.1549923048409e-13,2.6366508987303554,2.4583341448253275,0.6657560780235775,0.2527835115428735,Slight excess of a0_inner > a0_outer (not significant),True,
F563-1,dwarf,17.0,1.07,20.1,1.274274985703132e-10,2.232660308520848e-11,1.274274985703132e-10,1.654187012259466e-11,1.0,0.21806030734411305,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F563-V1,dwarf,6.0,1.31,7.87,1e-12,1.5191428579396398e-12,1e-12,5.059255971248397e-13,1.0,1.6011732363036617,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F563-V2,dwarf,10.0,0.28,10.47,3.3598182862837877e-10,5.954366630076841e-11,1.9498215796695793e-10,4.000217308112959e-11,1.7231413998675453,0.4671518728467175,1.5479792373749586,0.060813647729009546,MARGINAL (>1σ) evidence for a0_inner > a0_outer,True,
F565-V2,dwarf,7.0,1.26,8.8,7.847599703514623e-11,3.010000766382599e-11,1.274274985703132e-10,1.6775782014533745e-11,0.6158482110660279,0.2497395439730869,-1.5382096996836434,0.9380013249433353,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F567-2,dwarf,,,,,,,,,,,,,False,Scale dependence failed
F568-1,dwarf,12.0,0.44,13.23,2.0691380811147902e-10,4.1720869847790486e-11,2.0691380811147902e-10,2.4136793545991692e-11,1.0,0.23294602342471885,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F568-3,dwarf,18.0,0.64,17.98,2.976351441631313e-11,3.352567662019571e-12,4.832930238571752e-11,7.453046550648935e-12,0.6158482110660254,0.11760881212136183,-3.2663520871001075,0.9994552864784341,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F568-V1,dwarf,15.0,0.39,17.63,3.3598182862837877e-10,2.7446445817200745e-11,1.274274985703132e-10,3.029397192944774e-11,2.6366508987303665,0.6627976802512681,2.4693069204917983,0.006768752606549189,SIGNIFICANT (>2σ) evidence for a0_inner > a0_outer [SDH+],True,
F571-8,dwarf,13.0,0.22,15.55,1.1288378916846884e-11,1.115257659199192e-12,2.0050039713433702e-10,1.1472100238055172e-11,0.056301030213339535,0.006427858369440289,-146.81390216580547,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F571-V1,dwarf,7.0,1.95,13.59,4.832930238571752e-11,1.3704875252412632e-11,4.832930238571752e-11,6.911591535255184e-12,1.0,0.31759328623126365,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F574-1,dwarf,14.0,0.47,12.6,7.847599703514623e-11,7.476405154891842e-12,7.847599703514623e-11,4.247193557761464e-12,1.0,0.10956933854462815,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F574-2,dwarf,,,,,,,,,,,,,False,Scale dependence failed
F579-V1,dwarf,14.0,0.42,15.16,1.274274985703132e-10,1.904698422695472e-11,4.832930238571752e-11,7.473373715161387e-12,2.6366508987303554,0.567057823368333,2.8862151817404116,0.001949527381097771,SIGNIFICANT (>2σ) evidence for a0_inner > a0_outer [SDH+],True,
F583-1,dwarf,25.0,0.26,16.26,7.847599703514623e-11,6.314118351203021e-12,4.832930238571752e-11,7.620928275164763e-12,1.6237767391887243,0.2874545532751834,2.170001247437455,0.015003375723536161,SIGNIFICANT (>2σ) evidence for a0_inner > a0_outer [SDH+],True,
F583-4,dwarf,12.0,0.22,7.29,2.976351441631313e-11,1.1822170514878181e-11,2.976351441631313e-11,3.0822659689476383e-12,1.0,0.41048136188235546,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
UGCA442,dwarf,8.0,0.42,6.33,4.832930238571752e-11,4.667284495399689e-12,1.274274985703132e-10,3.73390643489414e-12,0.3792690190732254,0.03827588993169648,-16.217284092792415,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
