Galaxy,Passes,Reason
"NGC 1569,,2.0,,,,,,,,,,,,,,,,",False,NoData
"Ho II,,3.4,,,,,,,,,,,,,,,,",False,NoData
"M81 DwA,,3.6,,,,,,,,,,,,,,,,",False,NoData
DDO,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
"Ho I,,3.8,,,,,,,,,,,,,,,,",False,NoData
"NGC 3031,,3.6,,,,,,,,,,,,,,,,",False,NoData
"NGC 3077,,3.8,,,,,,,,,,,,,,,,",False,NoData
"M81 DwB,,5.3,,,,,,,,,,,,,,,,",False,NoData
"NGC 3184,,11.1,,,,,,,,,,,,,,,,",False,NoData
"NGC 3351,,10.1,,,,,,,,,,,,,,,,",False,NoData
"NGC 3621,,6.6,,,,,,,,,,,,,,,,",False,NoData
"NGC 3627,,9.3,,,,,,,,,,,,,,,,",False,NoData
"NGC 4449,,4.2,,,,,,,,,,,,,,,,",False,NoData
"NGC 4736,,4.7,,,,,,,,,,,,,,,,",False,NoData
"NGC 4826,,7.5,,,,,,,,,,,,,,,,",False,NoData
"NGC 5194,,8.0,,,,,,,,,,,,,,,,",False,NoData
"NGC 5236,,4.5,,,,,,,,,,,,,,,,",False,NoData
"NGC 5457,,7.4,,,,,,,,,,,,,,,,",False,NoData
"NGC 628,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 925,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 1569,,,,,,,,,,,,,,,,,,",False,NoData
"Ho II,,,,,,,,,,,,,,,,,,",False,NoData
"M81 DwA,,,,,,,,,,,,,,,,,,",False,NoData
"Ho I,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 3031,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 3077,,,,,,,,,,,,,,,,,,",False,NoData
"M81 DwB,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 3184,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 3351,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 3621,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 3627,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 4449,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 4736,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 4826,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 5194,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 5236,,,,,,,,,,,,,,,,,,",False,NoData
"NGC 5457,,,,,,,,,,,,,,,,,,",False,NoData
NGC 628,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 925,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 1569,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 2366,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 2403,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
Ho II,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
M81 DwA,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
DDO  53,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 2841,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 2903,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
Ho I,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 2976,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 3031,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 3077,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
M81 DwB,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 3184,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 3198,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
IC 2574,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 3351,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 3521,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 3621,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 3627,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 4214,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 4449,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 4736,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
DDO 154,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 4826,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 5055,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 5194,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 5236,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 5457,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 6946,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 7331,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
NGC 7793,False,No radial points | Points(0<8) | Empty radial data for range check | Missing or invalid velocity errors
