galaxy,morphology,n_points,r_min,r_max,a0_inner,a0_inner_err,a0_outer,a0_outer_err,ratio,ratio_err,z_score,p_value,interpretation,success,reason
ESO079-G014,spiral,15.0,0.41,16.67,1.274274985703132e-10,5.8682531729104654e-12,1.274274985703132e-10,5.8682531729104654e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
IC2574,spiral,34.0,0.85,10.23,1.8659634469438774e-11,8.593079234009516e-13,4.832930238571752e-11,2.2256466245630947e-12,0.3860936026039794,0.025145095408772567,-24.41455828327628,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC0024,spiral,29.0,0.21,11.27,5.455594781168515e-10,2.512394243306947e-11,2.0691380811147902e-10,9.528733001842442e-12,2.6366508987303554,0.17171700841726764,9.531093709443962,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC0300,spiral,25.0,0.91,11.8,1.274274985703132e-10,5.8682531729104654e-12,1.274274985703132e-10,5.8682531729104654e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC2403,spiral,73.0,0.16,20.87,1.6576439540123659e-10,7.633732516001163e-12,1.274274985703132e-10,5.8682531729104654e-12,1.3008526202040251,0.08472055228880102,3.551117315411954,0.00019179969497751248,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC2955,spiral,24.0,0.75,35.43,7.847599703514623e-11,3.6139532186194533e-12,7.847599703514623e-11,3.6139532186194533e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC2998,spiral,13.0,0.33,42.28,1.274274985703132e-10,5.8682531729104654e-12,7.847599703514623e-11,3.6139532186194533e-12,1.6237767391887175,0.10575161244338391,5.898508067880932,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC3521,spiral,41.0,0.51,17.74,1.274274985703132e-10,5.8682531729104654e-12,2.0691380811147902e-10,9.528733001842442e-12,0.6158482110660254,0.040108310316814104,-9.577860196542149,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC3917,spiral,17.0,0.87,14.86,1.274274985703132e-10,5.8682531729104654e-12,1.274274985703132e-10,5.8682531729104654e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC4010,spiral,12.0,0.87,10.47,4.832930238571752e-11,2.2256466245630947e-12,1.274274985703132e-10,5.8682531729104654e-12,0.3792690190732254,0.024700631157491087,-25.130166794888652,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC4183,spiral,23.0,0.87,21.02,1.274274985703132e-10,5.8682531729104654e-12,7.847599703514623e-11,3.6139532186194533e-12,1.6237767391887175,0.10575161244338391,5.898508067880932,1.8340151619611333e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC4559,spiral,32.0,0.67,20.97,4.832930238571752e-11,2.2256466245630947e-12,4.832930238571752e-11,2.2256466245630947e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC5005,spiral,18.0,0.49,11.47,4.832930238571752e-11,2.2256466245630947e-12,1.274274985703132e-10,5.8682531729104654e-12,0.3792690190732254,0.024700631157491087,-25.130166794888652,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC5033,spiral,22.0,0.76,44.59,1.274274985703132e-10,5.8682531729104654e-12,1.274274985703132e-10,5.8682531729104654e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC5055,spiral,28.0,0.72,54.59,4.832930238571752e-11,2.2256466245630947e-12,4.832930238571752e-11,2.2256466245630947e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC5585,spiral,24.0,0.09,10.96,4.832930238571752e-11,2.2256466245630947e-12,1.274274985703132e-10,5.8682531729104654e-12,0.3792690190732254,0.024700631157491087,-25.130166794888652,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC6015,spiral,44.0,0.34,29.23,1.842269270641269e-10,8.4839635197192e-12,1.274274985703132e-10,5.8682531729104654e-12,1.4457391782078524,0.09415657065295856,4.734020951663095,1.1005749497305928e-06,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC6503,spiral,31.0,0.76,23.5,1.274274985703132e-10,5.8682531729104654e-12,1.274274985703132e-10,5.8682531729104654e-12,1.0,0.06512694134060588,0.0,0.5,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC7814,spiral,18.0,0.63,19.53,2.0691382135597846e-10,9.528733611774182e-12,2.0734015569610443e-10,9.548367033698292e-12,0.9979437927077144,0.06499302684889707,-0.03163735237421875,0.5126193722988946,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
UGC00731,spiral,12.0,0.91,10.91,3.3598182862837877e-10,1.5472535002331705e-11,7.847599703514623e-11,3.6139532186194533e-12,4.281332398719396,0.2788300839910336,11.768215078344683,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
