Galaxy,Passes,Reason,N_points,R_range_kpc
CamB,False,Limited radial range: 1.6 kpc (need ≥5) | Outer radius too small: 1.8 kpc (need >10) | g_obs < g_bar at some radii (unphysical),9,1.6300000000000001
D512-2,False,Only 4 points (need ≥8) | Limited radial range: 2.9 kpc (need ≥5) | Outer radius too small: 3.8 kpc (need >10),4,2.87
D564-8,False,Only 6 points (need ≥8) | Limited radial range: 2.6 kpc (need ≥5) | Outer radius too small: 3.1 kpc (need >10),6,2.5599999999999996
D631-7,False,Outer radius too small: 7.2 kpc (need >10) | g_obs < g_bar at some radii (unphysical),16,6.74
DDO064,False,Limited radial range: 2.9 kpc (need ≥5) | Outer radius too small: 3.0 kpc (need >10),14,2.88
DDO154,False,Outer radius too small: 5.9 kpc (need >10),12,5.43
DDO161,True,PASS,31,12.77
DDO168,False,Limited radial range: 3.7 kpc (need ≥5) | Outer radius too small: 4.1 kpc (need >10),10,3.71
DDO170,False,Inner radius too large: 1.9 kpc (need <1.0),8,10.46
ESO079-G014,True,PASS,15,16.26
ESO116-G012,False,Outer radius too small: 9.9 kpc (need >10),15,9.61
ESO444-G084,False,Only 7 points (need ≥8) | Limited radial range: 4.2 kpc (need ≥5) | Outer radius too small: 4.4 kpc (need >10),7,4.180000000000001
ESO563-G021,False,g_obs < g_bar at some radii (unphysical),30,41.959999999999994
F561-1,False,Only 6 points (need ≥8) | Inner radius too large: 1.6 kpc (need <1.0) | Outer radius too small: 9.7 kpc (need >10),6,8.05
F563-1,False,Inner radius too large: 1.1 kpc (need <1.0),17,19.03
F563-V1,False,Only 6 points (need ≥8) | Inner radius too large: 1.3 kpc (need <1.0) | Outer radius too small: 7.9 kpc (need >10),6,6.5600000000000005
F563-V2,True,PASS,10,10.190000000000001
F565-V2,False,Only 7 points (need ≥8) | Inner radius too large: 1.3 kpc (need <1.0) | Outer radius too small: 8.8 kpc (need >10),7,7.540000000000001
F567-2,False,Only 5 points (need ≥8) | Inner radius too large: 1.9 kpc (need <1.0) | Outer radius too small: 9.6 kpc (need >10),5,7.67
F568-1,True,PASS,12,12.790000000000001
F568-3,True,PASS,18,17.34
F568-V1,True,PASS,15,17.24
F571-8,False,g_obs < g_bar at some radii (unphysical),13,15.33
F571-V1,False,Only 7 points (need ≥8) | Inner radius too large: 1.9 kpc (need <1.0),7,11.64
F574-1,True,PASS,14,12.129999999999999
F574-2,False,Only 5 points (need ≥8) | Inner radius too large: 2.2 kpc (need <1.0) | Large velocity errors: 26.7% (need <20%) | g_obs < g_bar at some radii (unphysical),5,8.66
F579-V1,True,PASS,14,14.74
F583-1,True,PASS,25,16.0
F583-4,False,Outer radius too small: 7.3 kpc (need >10),12,7.07
IC2574,True,PASS,34,9.38
IC4202,False,g_obs < g_bar at some radii (unphysical),32,25.13
KK98-251,False,Limited radial range: 2.9 kpc (need ≥5) | Outer radius too small: 3.1 kpc (need >10),15,2.88
NGC0024,True,PASS,29,11.059999999999999
NGC0055,False,Inner radius too large: 1.2 kpc (need <1.0),21,12.27
NGC0100,False,Outer radius too small: 9.6 kpc (need >10),21,9.389999999999999
NGC0247,False,Inner radius too large: 1.1 kpc (need <1.0),26,13.459999999999999
NGC0289,False,Inner radius too large: 1.5 kpc (need <1.0),28,69.62
NGC0300,True,PASS,25,10.89
NGC0801,False,Inner radius too large: 1.2 kpc (need <1.0) | g_obs < g_bar at some radii (unphysical),13,58.65
NGC0891,False,g_obs < g_bar at some radii (unphysical),18,16.189999999999998
NGC1003,False,Inner radius too large: 1.2 kpc (need <1.0),36,28.99
NGC1090,False,g_obs < g_bar at some radii (unphysical),24,29.74
NGC1705,False,Outer radius too small: 6.0 kpc (need >10),14,5.78
NGC2366,False,Outer radius too small: 6.1 kpc (need >10),26,5.9399999999999995
NGC2403,True,PASS,73,20.71
NGC2683,False,Inner radius too large: 2.9 kpc (need <1.0),11,31.729999999999997
NGC2841,False,Inner radius too large: 3.4 kpc (need <1.0),50,60.2
NGC2903,False,g_obs < g_bar at some radii (unphysical),34,24.64
NGC2915,False,g_obs < g_bar at some radii (unphysical),30,9.7
NGC2955,False,g_obs < g_bar at some radii (unphysical),24,34.68
NGC2976,False,Limited radial range: 2.2 kpc (need ≥5) | Outer radius too small: 2.3 kpc (need >10) | g_obs < g_bar at some radii (unphysical),27,2.16
NGC2998,True,PASS,13,41.95
NGC3109,False,Outer radius too small: 6.5 kpc (need >10),25,6.19
NGC3198,False,g_obs < g_bar at some radii (unphysical),43,43.76
NGC3521,True,PASS,41,17.229999999999997
NGC3726,False,Inner radius too large: 3.5 kpc (need <1.0),12,29.020000000000003
NGC3741,False,Outer radius too small: 7.0 kpc (need >10),21,6.77
NGC3769,False,Inner radius too large: 1.7 kpc (need <1.0) | g_obs < g_bar at some radii (unphysical),12,35.419999999999995
NGC3877,False,g_obs < g_bar at some radii (unphysical),13,10.48
NGC3893,False,Inner radius too large: 1.7 kpc (need <1.0),10,17.310000000000002
NGC3917,False,g_obs < g_bar at some radii (unphysical),17,13.99
NGC3949,False,Only 7 points (need ≥8) | Inner radius too large: 1.7 kpc (need <1.0) | Outer radius too small: 7.1 kpc (need >10),7,5.33
NGC3953,False,Inner radius too large: 3.5 kpc (need <1.0),8,12.18
NGC3972,False,Outer radius too small: 8.7 kpc (need >10),10,7.8500000000000005
NGC3992,False,Inner radius too large: 9.2 kpc (need <1.0),9,36.830000000000005
NGC4010,True,PASS,12,9.600000000000001
NGC4013,False,Inner radius too large: 5.5 kpc (need <1.0),36,25.520000000000003
NGC4051,False,Only 7 points (need ≥8) | Inner radius too large: 1.7 kpc (need <1.0),7,10.45
NGC4068,False,Only 6 points (need ≥8) | Limited radial range: 2.1 kpc (need ≥5) | Outer radius too small: 2.3 kpc (need >10) | g_obs < g_bar at some radii (unphysical),6,2.12
NGC4085,False,Only 7 points (need ≥8) | Outer radius too small: 6.2 kpc (need >10) | g_obs < g_bar at some radii (unphysical),7,5.33
NGC4088,False,Inner radius too large: 1.7 kpc (need <1.0) | g_obs < g_bar at some radii (unphysical),12,19.740000000000002
NGC4100,False,Inner radius too large: 2.6 kpc (need <1.0),24,20.150000000000002
NGC4138,False,Only 7 points (need ≥8) | Inner radius too large: 2.6 kpc (need <1.0),7,15.969999999999999
NGC4157,False,Inner radius too large: 1.7 kpc (need <1.0) | g_obs < g_bar at some radii (unphysical),17,27.87
NGC4183,True,PASS,23,20.15
NGC4214,False,Outer radius too small: 5.6 kpc (need >10),14,5.42
NGC4217,False,g_obs < g_bar at some radii (unphysical),19,15.85
NGC4389,False,Only 6 points (need ≥8) | Limited radial range: 4.5 kpc (need ≥5) | Outer radius too small: 5.3 kpc (need >10) | g_obs < g_bar at some radii (unphysical),6,4.45
NGC4559,True,PASS,32,20.299999999999997
NGC5005,False,g_obs < g_bar at some radii (unphysical),18,10.98
NGC5033,False,g_obs < g_bar at some radii (unphysical),22,43.830000000000005
NGC5055,False,g_obs < g_bar at some radii (unphysical),28,53.870000000000005
NGC5371,False,Inner radius too large: 1.4 kpc (need <1.0),19,44.79
NGC5585,True,PASS,24,10.870000000000001
NGC5907,False,Inner radius too large: 5.0 kpc (need <1.0),19,45.3
NGC5985,False,Inner radius too large: 3.5 kpc (need <1.0),33,31.18
NGC6015,True,PASS,44,28.89
NGC6195,False,Inner radius too large: 1.3 kpc (need <1.0) | g_obs < g_bar at some radii (unphysical),23,35.1
NGC6503,True,PASS,31,22.74
NGC6674,False,Inner radius too large: 2.5 kpc (need <1.0),15,69.91
