galaxy,n_points,r_min,r_max,a0_inner,a0_inner_err,a0_outer,a0_outer_err,ratio,ratio_err,z_score,p_value,interpretation,success,reason
DDO161,31.0,0.6,13.37,2.534462876461095e-11,1.009171769753177e-12,3.8259128393086864e-11,6.456203599474356e-13,0.6624465801785107,0.028648302815631476,-11.782667266324372,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
ESO079-G014,15.0,0.41,16.67,1.4352315392883968e-10,8.972368272887334e-12,1.547732352497844e-10,3.785462049569106e-12,0.9273124884752295,0.062249822958514944,-1.167674188779806,0.8785308939686562,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F563-V2,10.0,0.28,10.47,6.47872686520635e-10,1.1465776972490549e-10,2.9291203611804373e-10,5.917495578561632e-11,2.211833610891776,0.5940480257631288,2.0399589904116335,0.02067720523259864,SIGNIFICANT (>2σ) evidence for a0_inner > a0_outer [SDH+],True,
F568-1,12.0,0.44,13.23,5.512216420575438e-10,9.617931763940424e-11,3.6451371932406765e-10,3.9571617091398167e-11,1.5122109617155044,0.31075813675896286,1.648262430253908,0.049649415347883474,MARGINAL (>1σ) evidence for a0_inner > a0_outer,True,
F568-3,18.0,0.64,17.98,7.274125480530662e-11,7.48091331690321e-12,9.703979599855915e-11,1.3429053285651011e-11,0.7496023054952289,0.12924417772079225,-1.937400190248479,0.9736517782977017,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
F568-V1,,,,,,,,,,,,,False,Scale dependence failed
F574-1,14.0,0.47,12.6,2.028211905300783e-10,1.6428006006835576e-11,1.4300845818154754e-10,8.445967196833532e-12,1.4182461171114733,0.14216870839896606,2.9418999569001856,0.0016310264676890895,SIGNIFICANT (>2σ) evidence for a0_inner > a0_outer [SDH+],True,
F579-V1,14.0,0.42,15.16,3.396551713743695e-10,4.181541763184963e-11,1.1621380569944795e-10,1.7113276043180286e-11,2.9226748864311825,0.5609783801129359,3.427360045576285,0.00030474019099857586,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
F583-1,,,,,,,,,,,,,False,Scale dependence failed
IC2574,34.0,0.85,10.23,1.938102417430724e-11,4.200533327788866e-13,4.0690174253654793e-11,7.556723207056392e-13,0.4763072296886621,0.01359465883738184,-38.521950169967965,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC0024,29.0,0.21,11.27,4.853598598727818e-10,3.1041632901803764e-11,2.332183319698019e-10,1.2507071654909887e-11,2.0811394017500655,0.17370146312489862,6.224123748299581,2.4212742921747576e-10,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC0300,25.0,0.91,11.8,1.3910636650951036e-10,6.981890342197746e-12,1.6069522452302732e-10,5.5606128200822405e-12,0.8656533940097061,0.05277319268989587,-2.5457358015031817,0.9945476156877306,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC2403,73.0,0.16,20.87,1.663283901276023e-10,5.896197062053496e-13,1.4584057522742353e-10,6.505912757818143e-13,1.1404808975021534,0.0064984111805820866,21.617729872484006,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC2998,13.0,0.33,42.28,1.0988345111969724e-10,6.878128787529487e-12,9.362401782421793e-11,1.6894495362714277e-12,1.1736673310261787,0.07645727177266773,2.271429871870762,0.011560483894193174,SIGNIFICANT (>2σ) evidence for a0_inner > a0_outer [SDH+],True,
NGC3521,41.0,0.51,17.74,1.3471086365148275e-10,8.476802177111976e-12,1.6456820684534182e-10,1.1838608881236183e-11,0.8185716198395572,0.07823531487773533,-2.3190087551123897,0.989802719192834,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC4010,12.0,0.87,10.47,4.284753749604589e-11,6.299351450704916e-12,1.0865404524581596e-10,7.20144070254927e-12,0.3943482950782807,0.06359542702838172,-9.523510309183484,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC4183,23.0,0.87,21.02,1.1439409039013552e-10,6.596471749908039e-12,6.954209571111013e-11,3.503363347610321e-12,1.644961792140236,0.12595606864411757,5.120529713915909,1.5233930150682085e-07,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC4559,32.0,0.67,20.97,5.121672735877942e-11,2.8227871991501817e-12,6.25028704365673e-11,2.0090597132312052e-12,0.8194300037909152,0.05228205881972761,-3.453765981781693,0.9997235915705592,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC5585,24.0,0.09,10.96,4.498651791915237e-11,1.6185901057436248e-12,1.0994523265321584e-10,2.6094763142278666e-12,0.4091720653413574,0.017636403398019865,-33.500477468381,1.0,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
NGC6015,44.0,0.34,29.23,1.765558972523078e-10,2.026022449253403e-12,1.3050415626129127e-10,3.0503855096534713e-12,1.3528756654984475,0.03522724269808006,10.01712420477575,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
NGC6503,31.0,0.76,23.5,1.2141246661461542e-10,1.2672772533316905e-12,1.1493057224788666e-10,1.1926660583934763e-12,1.0563983476280652,0.015548632735443534,3.627222315149524,0.00014324330696036114,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC00731,12.0,0.91,10.91,2.900388001361384e-10,1.8808799439519432e-11,7.720601630985126e-11,4.168296063777428e-12,3.7566865122547495,0.31699548297326063,8.69629587904028,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC01230,,,,,,,,,,,,,False,Scale dependence failed
UGC05005,11.0,0.78,28.61,3.8092835048608153e-11,9.220310854949162e-12,6.769850665464038e-11,1.2420594721122298e-11,0.5626835351470355,0.17090062536397402,-2.558893297912713,0.9947497016992972,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
UGC05253,73.0,0.13,53.29,1.3998888279875107e-10,1.0668269466218924e-12,8.967864376079428e-11,2.6670738000164467e-12,1.561005797234764,0.04792477642183136,11.705965872366738,0.0,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC05750,,,,,,,,,,,,,False,Scale dependence failed
UGC06446,17.0,0.58,10.22,2.729528814531002e-10,1.7178375479321375e-11,1.296826540984183e-10,8.616226720913066e-12,2.104775564247411,0.19262136614148492,5.7354777737165845,4.861892222152164e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC06786,45.0,0.16,34.05,2.949877959377719e-10,2.6676462127087477e-12,3.1945412340704395e-10,3.1086199290859613e-12,0.9234120780526054,0.01226690719025739,-6.243458172425254,0.9999999997859996,Consistent with ΛCDM (a0_inner ≈ a0_outer),True,
UGC07524,31.0,0.35,10.69,1.1589681913917884e-10,6.295003924323282e-12,7.446741804447278e-11,2.8131724675443037e-12,1.5563426553874065,0.10296946884527566,5.402986551512468,3.277018767455786e-08,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC08490,30.0,0.34,10.15,2.392195837589695e-10,1.0130221202153862e-11,1.7176877965301318e-10,6.5452543637697815e-12,1.3926837242612562,0.07933724411791795,4.949550852530437,3.7192470558888857e-07,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC11820,,,,,,,,,,,,,False,Scale dependence failed
UGC12506,31.0,0.82,49.99,3.1632691342125036e-10,1.5299369621046893e-11,1.5937729527319984e-10,7.764404789983011e-12,1.9847677354482152,0.13625107433324843,7.227596114505711,2.4580337765200966e-13,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC12632,15.0,0.71,10.66,1.595002760253298e-10,1.2299641015961051e-11,7.088823345546152e-11,3.7510606008822866e-12,2.2500246973363,0.2104286752718437,5.9403724122743595,1.4218765054252458e-09,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
UGC12732,16.0,0.96,15.4,1.67405681432078e-10,1.0138497629734827e-11,8.821015850513503e-11,4.22215127365326e-12,1.8978050178011268,0.1464982284200221,6.128436005567577,4.437356038167195e-10,STRONG EVIDENCE (>3σ) for a0_inner > a0_outer [SDH+],True,
