main_id,ra,dec,otype,frame_hash
[JPB2009] 187.4490244+7.9954387,187.4490244,7.9954387,GlC,6713547864349925764
[JPB2009] 187.7085337+12.3904466,187.7085337,12.3904466,GlC,6954774106390277361
[JPB2009] 187.4683105+7.9997802,187.4683105,7.9997802,GlC,1873780537059611486
[JPB2009] 187.7192086+12.3951473,187.7192086,12.3951473,GlC,-8627031810362334363
[JPB2009] 187.6985035+12.4070140,187.6985035,12.407014,GlC,-6927650652811481503
[JPB2009] 188.4895059+7.7199036,188.4895059,7.7199036,GlC,-3066826203551516307
[JPB2009] 187.1707355+11.7429289,187.1707355,11.7429289,GlC,-6640772999149782057
[JPB2009] 185.5822970+14.7625573,185.582297,14.7625573,GlC,5894389882741684489
[JPB2009] 185.2066776+17.4913566,185.2066776,17.4913566,GlC,5019427558981924769
[AFF2015] NGC4473 GC93,187.52188553682,13.46907781431,GlC,344350382222155468
[BAL2007] gc401.6,54.39125,-35.546586111111104,GlC,-1815976239280881149
[MKZ2003] OID  115,187.42541666666665,7.963611111111114,GlC,-5492431168653995301
[MKZ2003] OID   39,187.421375,7.950027777777778,GlC,4839574460767631539
[MKZ2003] OID    1,187.41670833333333,8.058277777777779,GlC,-2612035059011830144
[MKZ2003] OID  268,187.4320833333333,8.017666666666667,GlC,-2627671482962971437
[BAL2007] gc114.7,54.04515000000001,-35.40623888888888,GlC,-2050608298935031455
[JPB2009] 187.7034479+12.3970658,187.7034479,12.3970658,GlC,-3143049257901394258
[JPB2009] 187.7051152+12.4024046,187.70525735453,12.40220991759,GlC,4356681369998995591
[JPB2009] 187.7029312+12.3828592,187.7029312,12.3828592,GlC,1056791650436331977
[JPB2009] 187.6982021+12.3866665,187.6982021,12.3866665,GlC,2001724495181719438
[JPB2009] 190.9073793+11.5665140,190.9067916666667,11.566416666666669,GlC,-7218512236331841950
[JPB2009] 187.3825735+8.0136194,187.3825735,8.0136194,GlC,4246544282936242226
[JPB2009] 188.1408903+15.4196463,188.1408903,15.4196463,GlC,5557678992866821717
[JPB2009] 189.2191636+7.2582547,189.2191636,7.2582547,GlC,-8000113464686844524
[JPB2015] 054.1114029-34.9738484,54.1114029,-34.9738484,GlC,7292896986060492526
DSH J0933.7-5705,143.44958333333332,-57.09944444444445,GlC,5791789566399360777
CWNU 4193,121.17375,-38.92111111111111,GlC,8337687531494480871
[JPB2009] 186.2953476+14.7636041,186.2953476,14.7636041,GlC,-4740981962730308303
[JPB2015] 052.0659346-31.0426074,52.0659346,-31.0426074,GlC,6952253886295929253
[SCD99]  2,237.74383333333336,-56.48241666666667,GlC,8819732545229161489
[AFR2020] NGC5907 GC1,228.9333,56.330723000000006,GlC,1427288361973125729
[AFR2020] NGC5907 GC2,229.01321,56.25453,GlC,-5539131177187108747
[AFR2020] NGC5907 GC3,229.17627,56.411514,GlC,-6680740101225429462
[AFR2020] NGC5907 GC4,229.04755,56.29377399999999,GlC,-101991860995688891
[AFR2020] NGC5907 GC5,229.28502,56.374107,GlC,4582412123894040392
[AFR2020] NGC5907 GC6,228.8717,56.389336,GlC,-5906697879243104606
[AFR2020] NGC5907 GC7,229.26894,56.344845,GlC,6158696625567142296
[AFR2020] NGC5907 GC8,228.91808,56.36979,GlC,3648549056400834665
[AFR2020] NGC5907 GC9,228.95012,56.11405,GlC,-7562629364816812077
[AFR2020] NGC5907 GC10,229.00363,56.119396,GlC,2829247241159484469
[AFR2020] NGC5907 GC11,228.97736,56.12487,GlC,-8422163669645353104
[AFR2020] NGC5907 GC12,229.04742,56.12839,GlC,-1340337728434005936
[AFR2020] NGC5907 GC13,228.94493,56.12755,GlC,8226699561161037897
