main_id,ra,dec,otype,frame_hash
[KPS2012] MWSC 3577,329.767,54.79,OpC,6713547864349925764
Cl Chupina    1,132.52916666666667,11.945,OpC,6954774106390277361
[FSR2007] 0940,93.56666666666666,14.805,OpC,1873780537059611486
[FSR2007] 1073,85.62,-8.15,OpC,-8627031810362334363
Cl Chupina    4,133.0,12.378333333333334,OpC,-6927650652811481503
Cl Chupina    3,132.8625,11.395,OpC,-3066826203551516307
[KPR2005] 116,329.6416666666666,54.49,OpC,-6640772999149782057
ESO 224-8,234.7725,-50.05055555555556,OpC,5894389882741684489
[HXW2022] OC-0125,310.7756967,38.437018120000005,OpC,5019427558981924769
[HXW2022] OC-0711,295.73,20.03,OpC,344350382222155468
[HXW2022] OC-0712,304.72,37.75,OpC,-1815976239280881149
[HXW2022] OC-0713,351.27,61.32,OpC,-5492431168653995301
[HXW2022] OC-0724,137.95,-52.23,OpC,4839574460767631539
[HXW2022] OC-0725,139.16,-54.16,OpC,-2612035059011830144
[HXW2022] OC-0727,159.2701,-59.92,OpC,-2627671482962971437
[HXW2022] OC-0729,160.6101,-60.42999999999999,OpC,-2050608298935031455
[HXW2022] OC-0733,193.44,-60.36,OpC,-3143049257901394258
[HXW2022] OC-0739,252.33,-44.72999999999999,OpC,4356681369998995591
[HXW2022] OC-0740,252.31999999999996,-44.71,OpC,1056791650436331977
[HXW2022] OC-0741,264.91,-33.21,OpC,2001724495181719438
Cl Stock   16,199.86,-62.62200000000001,OpC,-7218512236331841950
NAME EE Draconis Cluster,285.19999999999993,69.7,OpC,4246544282936242226
Juchert  1,290.629,12.667000000000002,OpC,5557678992866821717
[FSR2007] 0519,13.092000000000002,64.596,OpC,-8000113464686844524
[HXW2022] OC-0714,26.04,61.88,OpC,7292896986060492526
[MCM2005b]  1,273.4791666666667,-17.948333333333338,OpC,5791789566399360777
[HXW2022] OC-0716,99.64,2.0800000000000005,OpC,8337687531494480871
[HXW2022] OC-0719,123.11,-27.93,OpC,-4740981962730308303
[HXW2022] OC-0726,149.41,-54.6,OpC,8819732545229161489
[HXW2022] OC-0728,161.1801,-59.35,OpC,1427288361973125729
[HXW2022] OC-0735,223.62,-57.63,OpC,-5539131177187108747
[HXW2022] OC-0736,230.27000000000004,-59.60000000000001,OpC,-6680740101225429462
[HXW2022] OC-0738,242.58000000000004,-52.32999999999999,OpC,-101991860995688891
[HXW2022] OC-0742,262.93,-31.969999999999995,OpC,4582412123894040392
[HXW2022] OC-0705,268.55999999999995,-23.14,OpC,-5906697879243104606
[HXW2022] OC-0707,278.37,-10.39,OpC,6158696625567142296
[HXW2022] OC-0706,278.38,-10.4,OpC,3648549056400834665
[HXW2022] OC-0708,282.68,-6.349999999999998,OpC,-7562629364816812077
[HXW2022] OC-0709,290.72,18.67,OpC,2829247241159484469
[HXW2022] OC-0710,292.64,20.260000000000005,OpC,-8422163669645353104
[DB2000] 58,266.25041666666664,-28.860277777777775,OpC,-1340337728434005936
[BDB2003] G115.02+08.57,349.4208333333333,69.98833333333333,OpC,8226699561161037897
[MCM2005b] 77,244.3625,-50.51166666666666,OpC,-6975129544866074795
[MCM2005b] 75,243.5916666666667,-50.60333333333333,OpC,-4751111078610211013
[FSR2007] 0045,274.62458333333336,-18.40333333333333,OpC,2087788414503831260
[FSR2007] 0367,335.4829166666667,58.72777777777778,OpC,-6531085537140527939
[FSR2007] 0786,80.7125,33.41277777777778,OpC,6707735538314793632
[FSR2007] 0981,97.78875,10.426388888888887,OpC,6903374975836904508
[FSR2007] 1445,130.6783333333333,-47.20222222222223,OpC,408019795050038981
[FSR2007] 1508,147.31791666666666,-54.60666666666667,OpC,870370846639159918
[KPS2012] MWSC 1036,104.478,-8.745,OpC,-2355574353460974990
[KPS2012] MWSC 1041,104.684,-3.685,OpC,5326204220156940026
[KPS2012] MWSC 1187,110.317,-20.22,OpC,4531193185161796509
BMG 205,90.3175,-68.01416666666667,OpC,-2106970681709991708
KMHK  158,72.875,-67.455,OpC,5420706881762344594
[GKK2003] O219,77.0,-68.2,OpC,135218119663081058
[GKK2003] O169,83.975,-68.95,OpC,4067156425758601538
KMHK 1186,84.72916666666666,-71.295,OpC,5644235097869483746
[GKK2003] O136,85.37500000000001,-70.15,OpC,6128869923697268486
KMHK 1321,86.05,-71.32833333333333,OpC,3031576281370949570
[GKK2003] O156,87.05,-69.16666666666667,OpC,-5820630874854939396
KMHK 1403,87.11666666666667,-70.54833333333333,OpC,-1409983044247213016
Cl Lynga   63,252.55,-18.085,OpC,-2700796402559593717
[HXW2022] OC-0715,59.94,55.54,OpC,-7981887879222043270
