PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,frame_hash
2402729,00 00 00.1,+51 55 15,G,,0.38,0.1,126.0,,6713547864349925764
520795,00 00 00.1,-45 57 15,G,,0.53,0.18,22.0,,6954774106390277361
1961515,00 00 00.1,+31 43 54,G,,0.6,0.21,160.0,,1873780537059611486
1982072,00 00 00.1,+32 08 12,G,,0.51,0.13,136.0,,-8627031810362334363
535833,00 00 00.1,-44 34 41,G,,0.53,0.23,148.0,,-6927650652811481503
622563,00 00 00.1,-37 28 35,G,,0.47,0.12,136.0,,-3066826203551516307
124374,00 00 00.2,-41 25 22,G,,0.57,0.04,,LCRSB235726.1-414205,-6640772999149782057
2794824,00 00 00.2,-40 06 48,G,,,,,,5894389882741684489
398935,00 00 00.4,-56 35 19,G,,0.43,0.21,16.0,,5019427558981924769
2058887,00 00 00.5,+35 04 02,G,,0.54,0.14,110.0,,344350382222155468
1985872,00 00 00.6,+32 12 33,G,,0.79,0.19,178.0,,-1815976239280881149
582652,00 00 00.7,-40 46 14,G,,0.53,0.4,137.0,,-5492431168653995301
993697,00 00 00.7,-09 13 20,G,,0.43,0.24,175.0,,4839574460767631539
143101,00 00 00.8,-59 00 47,G,,0.56,0.07,161.0,,-2612035059011830144
399117,00 00 00.8,-56 33 48,G,,0.46,0.36,74.0,,-2627671482962971437
402770,00 00 00.8,-56 08 28,G,,0.58,0.48,30.0,,-2050608298935031455
1963523,00 00 00.8,+31 46 11,G,,0.89,0.37,113.0,,-3143049257901394258
130936,00 00 00.8,-40 54 12,G,E,0.93,0.3,19.0,,4356681369998995591
1283524,00 00 00.8,+05 26 37,G,,0.78,0.08,68.0,,1056791650436331977
295942,00 00 00.9,-67 24 32,G,,0.58,0.36,27.0,,2001724495181719438
1205857,00 00 00.9,+01 47 14,G,,0.64,0.23,91.0,,-7218512236331841950
779853,00 00 00.9,-25 21 31,G,,0.53,0.39,71.0,,4246544282936242226
1040129,00 00 01.0,-05 48 37,G,,0.31,0.06,79.0,,5557678992866821717
839066,00 00 01.0,-20 37 45,G,,0.56,0.19,68.0,,-8000113464686844524
820316,00 00 01.0,-22 01 30,G,,0.65,0.55,177.0,,7292896986060492526
836642,00 00 01.0,-20 48 43,G,,0.49,0.13,147.0,,5791789566399360777
2056872,00 00 01.1,+34 56 08,G,,0.57,0.18,59.0,,8337687531494480871
2009149,00 00 01.2,+32 42 36,G,,0.71,0.27,107.0,,-4740981962730308303
1627451,00 00 01.3,+20 26 33,G,,0.59,0.35,12.0,,6952253886295929253
1025507,00 00 01.3,-07 01 26,G,,0.49,0.18,131.0,,8819732545229161489
556602,00 00 01.5,-42 52 20,G,,0.44,0.11,11.0,,1427288361973125729
265253,00 00 01.5,-72 08 54,G,,0.48,0.2,118.0,,-5539131177187108747
870041,00 00 01.5,-18 17 25,G,,0.53,0.24,77.0,,-6680740101225429462
427855,00 00 01.5,-53 37 55,G,,0.57,0.15,72.0,,-101991860995688891
1004399,00 00 01.6,-08 23 08,G,,0.55,0.46,117.0,,4582412123894040392
1152096,00 00 01.6,-00 05 34,G,,0.41,0.18,50.0,,-5906697879243104606
2,00 00 01.6,+47 16 29,G,SBb,1.27,0.17,162.0,UGC12889              MCG8-01-018           CGCG549-13            CGCG548-22            [RC2]A2357+47         IRAS23574+4659        NPM1G+46.0448,6158696625567142296
2025207,00 00 01.7,+33 09 53,G,,0.57,0.06,91.0,,3648549056400834665
597360,00 00 01.8,-39 30 46,G,,0.46,0.09,75.0,,-7562629364816812077
597378,00 00 01.8,-39 30 41,G,,0.59,0.22,40.0,,2829247241159484469
1554496,00 00 01.9,+18 15 31,G,,0.43,0.02,,,-8422163669645353104
6,00 00 02.1,+15 52 53,G,,0.55,0.13,,CGCG456-13            KUG2357+156,-1340337728434005936
1032184,00 00 02.1,-06 29 47,G,,0.55,0.19,153.0,,8226699561161037897
780813,00 00 02.3,-25 16 15,G,,0.54,0.38,81.0,,-6975129544866074795
277229,00 00 02.3,-69 46 04,G,,0.45,0.18,146.0,,-4751111078610211013
1057782,00 00 02.3,-04 28 04,G,,0.52,0.15,19.0,IRASF23574-0444,2087788414503831260
750506,00 00 02.4,-27 44 30,G,,0.43,0.32,164.0,,-6531085537140527939
124869,00 00 02.4,-38 53 40,G,,0.38,0.09,12.0,LCRSB235728.3-391022,6707735538314793632
1281052,00 00 02.5,+05 17 21,G,,0.63,0.14,46.0,,6903374975836904508
1977586,00 00 02.5,+32 02 49,G,,0.51,0.3,174.0,,408019795050038981
133590,00 00 02.7,-23 22 03,G,SO-a,0.69,0.09,26.0,DUKST537-38,870370846639159918
