pl_name,hostname,pl_orbper,frame_hash
HR 8799 d,HR 8799,37000.0,6713547864349925764
HD 156279 b,HD 156279,131.05,6954774106390277361
GJ 832 b,GJ 832,3507.0,1873780537059611486
GJ 1214 b,GJ 1214,1.58040482,-8627031810362334363
HD 24040 b,HD 24040,3668.0,-6927650652811481503
HD 168443 c,HD 168443,1749.83,-3066826203551516307
HD 12661 c,HD 12661,1679.0,-6640772999149782057
HD 66428 b,HD 66428,1973.0,5894389882741684489
HD 114783 b,HD 114783,496.9,5019427558981924769
HD 187123 b,HD 187123,3.097,344350382222155468
HD 12661 b,HD 12661,262.709,-1815976239280881149
HD 168443 b,HD 168443,58.11212,-5492431168653995301
HD 217107 b,HD 217107,7.126816,4839574460767631539
HD 114783 b,HD 114783,493.7,-2612035059011830144
GJ 1214 b,GJ 1214,1.5803925,-2627671482962971437
HD 168443 b,HD 168443,58.1112,-2050608298935031455
HD 217107 b,HD 217107,7.12689,-3143049257901394258
HD 217107 c,HD 217107,3352.0,4356681369998995591
HD 68988 b,HD 68988,6.276,1056791650436331977
HD 21749 c,GJ 143,7.7897726,2001724495181719438
HD 114783 b,HD 114783,501.0,-7218512236331841950
HD 168443 c,HD 168443,1749.5,4246544282936242226
HD 217107 b,HD 217107,7.1269,5557678992866821717
HD 183263 b,HD 183263,634.23,-8000113464686844524
Kepler-37 b,Kepler-37,13.3670203111,7292896986060492526
51 Eri b,51 Eri,,5791789566399360777
GJ 1214 b,GJ 1214,,8337687531494480871
GJ 1214 b,GJ 1214,1.58040481,-4740981962730308303
HR 8799 b,HR 8799,170000.0,8819732545229161489
GJ 1214 b,GJ 1214,1.580408346,1427288361973125729
GJ 1214 b,GJ 1214,1.58040456,-5539131177187108747
51 Eri b,51 Eri,14965.0,-6680740101225429462
HR 8799 b,HR 8799,,-101991860995688891
HR 8799 c,HR 8799,,4582412123894040392
HR 8799 e,HR 8799,,-5906697879243104606
HR 8799 c,HR 8799,83255.09,6158696625567142296
