toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,frame_hash
1048.01,136.527702,-54.903922,440.426,136.527702,-54.903922,6713547864349925764
1049.01,253.768848,-28.710584,314.995,253.768848,-28.710584,6954774106390277361
105.01,337.457824,-48.003099,137.544,337.457824,-48.003099,1873780537059611486
1050.01,239.962248,-28.061794,405.908,239.962248,-28.061794,-8627031810362334363
1051.01,40.365939,-71.462749,53.19149,40.365939,-71.462749,-6927650652811481503
1052.01,337.510274,-75.646561,129.804,337.510274,-75.646561,-3066826203551516307
1053.01,290.977117,-33.351416,263.729,290.977117,-33.351416,-6640772999149782057
1054.01,302.114174,-54.317501,88.4343,302.114174,-54.317501,5894389882741684489
1055.01,293.286615,-54.532728,57.2651,293.286615,-54.532728,5019427558981924769
1056.01,339.258703,-76.917605,168.354,339.258703,-76.917605,344350382222155468
1057.01,127.996917,-78.407564,98.2855,127.996917,-78.407564,-1815976239280881149
1058.01,288.911772,-31.790813,338.831,288.911772,-31.790813,-5492431168653995301
1059.01,269.714503,-60.922727,98.8783,269.714503,-60.922727,4839574460767631539
106.01,68.959816,-64.027039,364.411,68.959816,-64.027039,-2612035059011830144
1060.01,299.290995,-48.934476,128.491,299.290995,-48.934476,-2627671482962971437
1061.01,284.688908,-41.242483,133.171,284.688908,-41.242483,-2050608298935031455
1062.01,38.120968,-78.023683,82.1733,38.120968,-78.023683,-3143049257901394258
1063.01,230.555493,-83.056214,61.1201,230.555493,-83.056214,4356681369998995591
1064.01,296.003935,-47.56203,68.0726,296.003935,-47.56203,1056791650436331977
1064.02,296.003935,-47.56203,68.0726,296.003935,-47.56203,2001724495181719438
1065.01,286.36675,-50.06735,639.004,286.36675,-50.06735,-7218512236331841950
1066.01,285.096517,-54.893341,353.891,285.096517,-54.893341,4246544282936242226
1067.01,288.672005,-59.57935,263.609,288.672005,-59.57935,5557678992866821717
1068.01,284.399762,-49.138513,535.383,284.399762,-49.138513,-8000113464686844524
1069.01,289.479212,-32.860124,197.996,289.479212,-32.860124,7292896986060492526
107.01,313.783239,-34.135751,211.211,313.783239,-34.135751,5791789566399360777
1070.01,289.478541,-32.861327,,289.478541,-32.861327,8337687531494480871
1071.01,280.184169,-58.459388,290.198,280.184169,-58.459388,-4740981962730308303
1072.01,75.627307,-72.913998,703.878,75.627307,-72.913998,6952253886295929253
1073.01,287.484402,-49.664942,300.67,287.484402,-49.664942,8819732545229161489
1074.01,310.761004,-72.010267,107.356,310.761004,-72.010267,1427288361973125729
1075.01,309.971209,-65.449699,61.4592,309.971209,-65.449699,-5539131177187108747
1076.01,294.633694,-55.330269,248.46,294.633694,-55.330269,-6680740101225429462
1077.01,173.810798,-88.096213,463.683,173.810798,-88.096213,-101991860995688891
1000.01,112.357708,-12.69596,485.735,112.357708,-12.69596,4582412123894040392
