PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id,frame_hash
2402729,00 00 00.1,+51 55 15,G,0,0.38,0.1,126.0,0,5483370411004738685,6713547864349925764
520795,00 00 00.1,-45 57 15,G,0,0.53,0.18,22.0,0,4008447136637101114,6954774106390277361
1961515,00 00 00.1,+31 43 54,G,0,0.6,0.21,160.0,0,-5025226676460543662,1873780537059611486
1982072,00 00 00.1,+32 08 12,G,0,0.51,0.13,136.0,0,6141154503833430413,-8627031810362334363
535833,00 00 00.1,-44 34 41,G,0,0.53,0.23,148.0,0,-9208478573443394108,-6927650652811481503
622563,00 00 00.1,-37 28 35,G,0,0.47,0.12,136.0,0,-812865393024760691,-3066826203551516307
124374,00 00 00.2,-41 25 22,G,0,0.57,0.04,0.0,LCRSB235726.1-414205,-232192463413684512,-6640772999149782057
2794824,00 00 00.2,-40 06 48,G,0,0.0,0.0,0.0,0,-911847905487854704,5894389882741684489
398935,00 00 00.4,-56 35 19,G,0,0.43,0.21,16.0,0,4780520549768988179,5019427558981924769
2058887,00 00 00.5,+35 04 02,G,0,0.54,0.14,110.0,0,1952766082151420199,344350382222155468
1985872,00 00 00.6,+32 12 33,G,0,0.79,0.19,178.0,0,-2885944490334889520,-1815976239280881149
582652,00 00 00.7,-40 46 14,G,0,0.53,0.4,137.0,0,-3126636789324870161,-5492431168653995301
993697,00 00 00.7,-09 13 20,G,0,0.43,0.24,175.0,0,-3532677309189857571,4839574460767631539
143101,00 00 00.8,-59 00 47,G,0,0.56,0.07,161.0,0,9141482334713728624,-2612035059011830144
399117,00 00 00.8,-56 33 48,G,0,0.46,0.36,74.0,0,-8560441323351095101,-2627671482962971437
402770,00 00 00.8,-56 08 28,G,0,0.58,0.48,30.0,0,1155608550757853229,-2050608298935031455
1963523,00 00 00.8,+31 46 11,G,0,0.89,0.37,113.0,0,7314001515539636934,-3143049257901394258
130936,00 00 00.8,-40 54 12,G,E,0.93,0.3,19.0,0,1460806640886045113,4356681369998995591
1283524,00 00 00.8,+05 26 37,G,0,0.78,0.08,68.0,0,3865881202240509989,1056791650436331977
295942,00 00 00.9,-67 24 32,G,0,0.58,0.36,27.0,0,3551449884337173917,2001724495181719438
1205857,00 00 00.9,+01 47 14,G,0,0.64,0.23,91.0,0,663928216349174157,-7218512236331841950
779853,00 00 00.9,-25 21 31,G,0,0.53,0.39,71.0,0,8180441815937918229,4246544282936242226
1040129,00 00 01.0,-05 48 37,G,0,0.31,0.06,79.0,0,-4749696347113616186,5557678992866821717
839066,00 00 01.0,-20 37 45,G,0,0.56,0.19,68.0,0,-2037934264045422718,-8000113464686844524
820316,00 00 01.0,-22 01 30,G,0,0.65,0.55,177.0,0,-6617587604141011379,7292896986060492526
836642,00 00 01.0,-20 48 43,G,0,0.49,0.13,147.0,0,-5419650324207852911,5791789566399360777
2056872,00 00 01.1,+34 56 08,G,0,0.57,0.18,59.0,0,-3162790402587365595,8337687531494480871
2009149,00 00 01.2,+32 42 36,G,0,0.71,0.27,107.0,0,2384887413870919105,-4740981962730308303
