pl_name,hostname,pl_orbper,framework_id,frame_hash
HR 8799 d,HR 8799,37000.0,5483370411004738685,6713547864349925764
HD 156279 b,HD 156279,131.05,4008447136637101114,6954774106390277361
GJ 832 b,GJ 832,3507.0,-5025226676460543662,1873780537059611486
GJ 1214 b,GJ 1214,1.58040482,6141154503833430413,-8627031810362334363
HD 24040 b,HD 24040,3668.0,-9208478573443394108,-6927650652811481503
HD 168443 c,HD 168443,1749.83,-812865393024760691,-3066826203551516307
HD 12661 c,HD 12661,1679.0,-232192463413684512,-6640772999149782057
HD 66428 b,HD 66428,1973.0,-911847905487854704,5894389882741684489
HD 114783 b,HD 114783,496.9,4780520549768988179,5019427558981924769
HD 187123 b,HD 187123,3.097,1952766082151420199,344350382222155468
HD 12661 b,HD 12661,262.709,-2885944490334889520,-1815976239280881149
HD 168443 b,HD 168443,58.11212,-3126636789324870161,-5492431168653995301
HD 217107 b,HD 217107,7.126816,-3532677309189857571,4839574460767631539
HD 114783 b,HD 114783,493.7,9141482334713728624,-2612035059011830144
GJ 1214 b,GJ 1214,1.5803925,-8560441323351095101,-2627671482962971437
HD 168443 b,HD 168443,58.1112,1155608550757853229,-2050608298935031455
HD 217107 b,HD 217107,7.12689,7314001515539636934,-3143049257901394258
HD 217107 c,HD 217107,3352.0,1460806640886045113,4356681369998995591
HD 68988 b,HD 68988,6.276,3865881202240509989,1056791650436331977
HD 21749 c,GJ 143,7.7897726,3551449884337173917,2001724495181719438
HD 114783 b,HD 114783,501.0,663928216349174157,-7218512236331841950
HD 168443 c,HD 168443,1749.5,8180441815937918229,4246544282936242226
HD 217107 b,HD 217107,7.1269,-4749696347113616186,5557678992866821717
HD 183263 b,HD 183263,634.23,-2037934264045422718,-8000113464686844524
Kepler-37 b,Kepler-37,13.3670203111,-6617587604141011379,7292896986060492526
51 Eri b,51 Eri,0.0,-5419650324207852911,5791789566399360777
GJ 1214 b,GJ 1214,0.0,-3162790402587365595,8337687531494480871
GJ 1214 b,GJ 1214,1.58040481,2384887413870919105,-4740981962730308303
HR 8799 b,HR 8799,170000.0,-7258685225055764045,6952253886295929253
GJ 1214 b,GJ 1214,1.580408346,-5098152552555930331,8819732545229161489
GJ 1214 b,GJ 1214,1.58040456,-9103806241134330113,1427288361973125729
51 Eri b,51 Eri,14965.0,7776822288094437384,-5539131177187108747
HR 8799 b,HR 8799,0.0,801780207350016201,-6680740101225429462
HR 8799 c,HR 8799,0.0,-1822342910404344718,-101991860995688891
HR 8799 e,HR 8799,0.0,-2117500249296385588,4582412123894040392
HR 8799 c,HR 8799,83255.09,3749857543360061768,-5906697879243104606
HR 8799 d,HR 8799,41627.54,4144869486449732048,6158696625567142296
HR 8799 e,HR 8799,20815.6,-8837279651049696877,3648549056400834665
GJ 1214 b,GJ 1214,1.5804043,-7041799445617651247,-7562629364816812077
HD 217107 c,HD 217107,5189.0,6561939142300504330,2829247241159484469
