ra,dec,err_maj,err_min,err_ang,designation,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,ndet,prox,pxpa,pxcntr,gal_contam,mp_flg,cntr,hemis,xdate,scan,glon,glat,x,y,z,x_scan,jdate,j_psfchi,h_psfchi,k_psfchi,j_m_stdap,j_msig_stdap,h_m_stdap,h_msig_stdap,k_m_stdap,k_msig_stdap,dist_edge_ns,dist_edge_ew,dist_edge_flg,dup_src,use_src,a,dist_opt,phi_opt,b_m_opt,vr_m_opt,nopt_mchs,ext_key,scan_key,coadd_key,coadd,htm20,framework_id,frame_hash
10.733387,41.214523,0.22,0.2,178,00425601+4112522,15.968,0.0,0.0,0.0,14.864,0.0,0.0,0.0,15.066,0.1738,0.174,8.51,UUC,2,1,000,4,12.1,69,1287660706,2,0,1287660709,n,1997-10-24,8,121.211558,-21.628691,0.739086924794,0.140098025351,0.658880156699,-42.4,2450745.8589,0.0,0.0,1.01,0.0,0.0,0.0,0.0,15.685,0.431,2873.2,207.5,ne,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203675375041536,5483370411004738685,6713547864349925764
10.73756,41.215744,0.25,0.21,81,00425701+4112566,16.313,0.1649,0.1653,9.71,14.736,0.0,0.0,0.0,14.256,0.0,0.0,0.0,CUU,200,100,000,50000,12.1,249,1287660709,2,0,1287660706,n,1997-10-24,8,121.214979,-21.627583,0.739062923764,0.140149238565,0.658896187306,-53.7,2450745.8589,1.47,0.0,0.0,15.749,0.143,0.0,0.0,0.0,0.0,2868.7,196.2,ne,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203675376228352,4008447136637101114,6954774106390277361
10.726409,41.210964,0.23,0.21,89,00425433+4112394,16.3,0.1528,0.1533,9.83,15.077,0.0,0.0,0.0,14.548,0.0,0.0,0.0,BUU,200,100,000,50000,22.8,56,1287660709,2,0,1287660724,n,1997-10-24,8,121.205778,-21.632061,0.739144192356,0.140015628675,0.658833428594,-23.5,2450745.8589,1.48,0.0,0.0,16.611,0.367,0.0,0.0,0.0,0.0,2886.2,226.4,ne,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203675386300928,-5025226676460543662,1873780537059611486
10.684147,41.194,0.27,0.25,102,00424419+4111384,16.534,0.177,0.1774,7.92,15.856,0.1887,0.1889,6.78,14.597,0.0,0.0,0.0,CCU,220,220,cc0,50500,4.1,215,1287660826,2,0,1287660818,n,1997-10-24,8,121.170935,-21.64787,0.739438920163,0.139506547781,0.658610663802,90.99,2450745.8589,0.87,1.09,0.0,16.26,0.271,16.262,0.451,0.0,0.0,2948.1,159.9,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590592,44,4805203675408146944,6141154503833430413,-8627031810362334363
10.683284,41.193066,0.29,0.25,87,00424398+4111350,16.398,0.1549,0.1554,8.98,15.957,0.2098,0.21,6.18,14.526,0.0,0.0,0.0,BCU,220,220,cc0,60600,4.1,35,1287660818,2,0,1287660826,n,1997-10-24,8,121.1702,-21.64878,0.739451571423,0.139497400463,0.658598397193,93.33,2450745.8589,1.01,0.73,0.0,15.947,0.195,16.647,0.381,0.0,0.0,2951.5,157.6,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590592,44,4805203675408305664,-9208478573443394108,-6927650652811481503
10.689488,41.18972,0.35,0.33,164,00424547+4111229,16.866,0.2262,0.2265,5.83,15.973,0.2179,0.2181,6.09,15.732,0.2592,0.2593,4.61,DDD,222,111,000,60605,8.6,49,1287660845,2,0,1287660864,n,1997-10-24,8,121.175089,-21.652293,0.739474254893,0.139584601436,0.658554451349,76.53,2450745.8589,0.88,1.08,0.81,17.401,0.4,17.812,2.729,16.064,0.453,2963.4,174.4,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590592,44,4805203675409868288,-812865393024760691,-3066826203551516307
10.692408,41.19532,0.28,0.25,7,00424617+4111431,16.698,0.1951,0.1955,6.81,15.765,0.1796,0.1798,7.38,14.947,0.0,0.0,0.0,CCU,220,110,000,60500,12.6,58,1287660786,2,0,1287660805,n,1997-10-24,8,121.17767,-21.646776,0.739403888145,0.139610344617,0.658627999612,68.61,2450745.8589,0.88,0.7,0.0,17.931,0.321,16.633,0.548,0.0,0.0,2943.2,182.3,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590592,44,4805203675412184064,-232192463413684512,-6640772999149782057
10.691879,41.191299,0.34,0.32,80,00424605+4111286,17.046,0.2653,0.2656,4.94,16.161,0.2611,0.2612,5.12,15.56,0.2231,0.2233,5.4,DDD,222,111,000,60606,8.6,229,1287660864,2,0,1287660845,n,1997-10-24,8,121.177085,-21.65078,0.739450595133,0.139612093007,0.658575189969,70.05,2450745.8589,0.74,0.98,1.22,17.217,0.448,16.428,0.492,16.29,0.772,2957.7,180.8,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590592,44,4805203675413076992,-911847905487854704,5894389882741684489
10.702958,41.20282,0.09,0.08,90,00424870+4112101,15.364,0.0559,0.0572,23.27,14.701,0.0674,0.0679,19.66,14.693,0.102,0.1024,12.0,AAA,222,111,000,60606,7.2,275,1287660745,2,0,1287660748,n,1997-10-24,8,121.186496,-21.639568,0.739293448158,0.13973047767,0.658726491892,40.02,2450745.8589,0.96,1.36,1.19,15.662,0.139,15.028,0.188,14.511,0.151,2916.0,210.9,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590591,33,4805203675426548224,4780520549768988179,5019427558981924769
10.708817,41.194553,0.25,0.23,77,00425011+4111403,16.646,0.178,0.1784,7.15,15.732,0.1716,0.1718,7.61,14.813,0.0,0.0,0.0,CCU,220,110,000,60500,6.1,57,1287660803,2,0,1287660812,n,1997-10-24,8,121.190916,-21.647988,0.739372537886,0.139823735878,0.658617926498,24.16,2450745.8589,1.36,0.85,0.0,16.735,0.347,15.674,0.254,0.0,0.0,2945.6,226.7,nw,0,1,0,0.0,0.0,0.0,0.0,0,0.0,69157,1590592,44,4805203675429119488,1952766082151420199,344350382222155468
