main_id,ra,dec,otype,framework_id
[KPS2012] MWSC 3577,329.767,54.79,OpC,5483370411004738685
Cl Chupina    1,132.52916666666667,11.945,OpC,4008447136637101114
[FSR2007] 0940,93.56666666666666,14.805,OpC,-5025226676460543662
[FSR2007] 1073,85.62,-8.15,OpC,6141154503833430413
Cl Chupina    4,133.0,12.378333333333334,OpC,-9208478573443394108
Cl Chupina    3,132.8625,11.395,OpC,-812865393024760691
[KPR2005] 116,329.6416666666666,54.49,OpC,-232192463413684512
ESO 224-8,234.7725,-50.05055555555556,OpC,-911847905487854704
[HXW2022] OC-0125,310.7756967,38.437018120000005,OpC,4780520549768988179
[HXW2022] OC-0711,295.73,20.03,OpC,1952766082151420199
[HXW2022] OC-0712,304.72,37.75,OpC,-2885944490334889520
[HXW2022] OC-0713,351.27,61.32,OpC,-3126636789324870161
[HXW2022] OC-0724,137.95,-52.23,OpC,-3532677309189857571
[HXW2022] OC-0725,139.16,-54.16,OpC,9141482334713728624
[HXW2022] OC-0727,159.2701,-59.92,OpC,-8560441323351095101
[HXW2022] OC-0729,160.6101,-60.42999999999999,OpC,1155608550757853229
[HXW2022] OC-0733,193.44,-60.36,OpC,7314001515539636934
[HXW2022] OC-0739,252.33,-44.72999999999999,OpC,1460806640886045113
[HXW2022] OC-0740,252.31999999999996,-44.71,OpC,3865881202240509989
[HXW2022] OC-0741,264.91,-33.21,OpC,3551449884337173917
Cl Stock   16,199.86,-62.62200000000001,OpC,663928216349174157
NAME EE Draconis Cluster,285.19999999999993,69.7,OpC,8180441815937918229
Juchert  1,290.629,12.667000000000002,OpC,-4749696347113616186
[FSR2007] 0519,13.092000000000002,64.596,OpC,-2037934264045422718
[HXW2022] OC-0714,26.04,61.88,OpC,-6617587604141011379
[MCM2005b]  1,273.4791666666667,-17.948333333333338,OpC,-5419650324207852911
[HXW2022] OC-0716,99.64,2.0800000000000005,OpC,-3162790402587365595
[HXW2022] OC-0719,123.11,-27.93,OpC,2384887413870919105
[HXW2022] OC-0726,149.41,-54.6,OpC,-7258685225055764045
[HXW2022] OC-0728,161.1801,-59.35,OpC,-5098152552555930331
[HXW2022] OC-0735,223.62,-57.63,OpC,-9103806241134330113
[HXW2022] OC-0736,230.27000000000004,-59.60000000000001,OpC,7776822288094437384
[HXW2022] OC-0738,242.58000000000004,-52.32999999999999,OpC,801780207350016201
[HXW2022] OC-0742,262.93,-31.969999999999995,OpC,-1822342910404344718
[HXW2022] OC-0705,268.55999999999995,-23.14,OpC,-2117500249296385588
[HXW2022] OC-0707,278.37,-10.39,OpC,3749857543360061768
[HXW2022] OC-0706,278.38,-10.4,OpC,4144869486449732048
[HXW2022] OC-0708,282.68,-6.349999999999998,OpC,-8837279651049696877
[HXW2022] OC-0709,290.72,18.67,OpC,-7041799445617651247
[HXW2022] OC-0710,292.64,20.260000000000005,OpC,6561939142300504330
[DB2000] 58,266.25041666666664,-28.860277777777775,OpC,-3991312087280716928
[BDB2003] G115.02+08.57,349.4208333333333,69.98833333333333,OpC,2008302843385040821
[MCM2005b] 77,244.3625,-50.51166666666666,OpC,5956548570007280771
[MCM2005b] 75,243.5916666666667,-50.60333333333333,OpC,4222779772082188826
[FSR2007] 0045,274.62458333333336,-18.40333333333333,OpC,-8421324136620876664
[FSR2007] 0367,335.4829166666667,58.72777777777778,OpC,-1746245435202541832
[FSR2007] 0786,80.7125,33.41277777777778,OpC,8026519247123351160
[FSR2007] 0981,97.78875,10.426388888888887,OpC,2230866046143428280
[FSR2007] 1445,130.6783333333333,-47.20222222222223,OpC,5951104094187522966
[FSR2007] 1508,147.31791666666666,-54.60666666666667,OpC,-1858785332282547690
[KPS2012] MWSC 1036,104.478,-8.745,OpC,-6919960713513720745
[KPS2012] MWSC 1041,104.684,-3.685,OpC,-4667848678426058282
[KPS2012] MWSC 1187,110.317,-20.22,OpC,7416458412175654531
BMG 205,90.3175,-68.01416666666667,OpC,5593160490791364340
KMHK  158,72.875,-67.455,OpC,-5990804189445710704
[GKK2003] O219,77.0,-68.2,OpC,-5426198556258017315
[GKK2003] O169,83.975,-68.95,OpC,4649752654783367061
KMHK 1186,84.72916666666666,-71.295,OpC,4771229490310293584
[GKK2003] O136,85.37500000000001,-70.15,OpC,-8790341665338598016
KMHK 1321,86.05,-71.32833333333333,OpC,8517518592402122755
[GKK2003] O156,87.05,-69.16666666666667,OpC,-6756894077166255915
KMHK 1403,87.11666666666667,-70.54833333333333,OpC,5596289571869655254
Cl Lynga   63,252.55,-18.085,OpC,-7677740530111880652
[HXW2022] OC-0715,59.94,55.54,OpC,-8714925080684733893
BMG  20,85.90583333333333,-67.39583333333334,OpC,4820617712066960416
[HXW2022] OC-0718,110.65,-29.86,OpC,3781094334402409682
[HXW2022] OC-0717,115.29,-26.03,OpC,-8168230765100161653
[HXW2022] OC-0720,122.19,-36.1601,OpC,-2797534874142117321
[HXW2022] OC-0721,127.19,-41.19,OpC,-764223720808507218
BMG 233,91.48416666666668,-67.8963888888889,OpC,115244536614942146
PHOC 4,106.79498,-7.691020000000001,OpC,850105287087936487
PHOC 25,95.23881,7.32144,OpC,7604911008708887352
PHOC 7,285.72713,14.57509,OpC,640163928774857076
PHOC 10,266.64221,-30.388870000000008,OpC,1229415892918381845
[GKK2003] O154,73.94583333333334,-69.37166666666666,OpC,-3505547017430570765
[HS66] 134,77.37083333333334,-68.56333333333333,OpC,-3395231848818098082
KMHK  124,72.38749999999999,-69.72833333333334,OpC,-5197314098398396766
[HXW2022] OC-0723,132.34,-46.56,OpC,-4778478006178371122
NAME Cl Dol Dzim 5,246.85,38.06666666666667,OpC,-2880279286074611319
[HS66] 137,77.50416666666668,-65.31,OpC,1794471475941692957
[HS66] 188,78.69166666666668,-69.20666666666666,OpC,-1298362057304105241
KMHK  895,81.52916666666667,-68.63333333333334,OpC,-2328679715599263445
[HS66] 300,81.65416666666667,-69.46666666666667,OpC,-2455702339313535109
[HS66] 308,81.99166666666667,-69.53666666666666,OpC,5153361285211677887
BMG  70,86.625,-67.565,OpC,-7274690166547922761
BMG  81,86.86666666666667,-67.69833333333334,OpC,5934784203053158477
BMG 183,89.4125,-67.90166666666667,OpC,-1746664582880114404
BMG 186,89.54166666666667,-67.455,OpC,-5258829353217869118
BMG 199,90.12083333333334,-68.24833333333333,OpC,-6683143521406756104
PHOC 1,126.99174,-42.77215,OpC,6274813113056036611
PHOC 16,111.04577,-20.222770000000004,OpC,4340796359347125732
PHOC 17,261.17394,-34.68741000000001,OpC,3857814685033372249
PHOC 20,276.99875,-15.421410000000003,OpC,7148933818902002898
[MCM2005b] 83,253.36666666666667,-43.395,OpC,1022754416103469318
PHOC 21,121.78182000000002,-21.08485,OpC,-1295064622279220815
PHOC 23,62.37496000000001,51.84933,OpC,-7512554851130632480
PHOC 24,97.3599,8.060610000000002,OpC,-4136599395998075784
PHOC 28,137.95288,-52.24265,OpC,-8893126695889307886
PHOC 29,120.70215,-28.53293,OpC,4796107978668052305
PHOC 30,144.70835,-51.26348,OpC,-5947338855274641811
PHOC 32,171.65135,-63.83995999999999,OpC,-3509258010875795145
PHOC 33,301.61194,36.2993,OpC,-1883308250683877985
PHOC 37,300.92929,34.73621,OpC,3893775170485645103
KMHK  177,73.03333333333335,-68.45,OpC,-1490643169929079167
[SL63] 439,80.99583333333332,-70.17500000000001,OpC,-5071743038159653288
[GKK2003] O015,80.52499999999999,-71.31666666666666,OpC,6195593611113175201
[GKK2003] O131,87.675,-69.96666666666667,OpC,6847096884454869330
[GKK2003] O009,82.775,-72.15,OpC,3262073312483235306
BMG  61,86.55416666666666,-67.39166666666668,OpC,154754309565574995
[GKK2003] O003,85.75,-71.95,OpC,3428730077752401869
C 1232+365,188.75416666666663,36.37166666666667,OpC,5805039294449468699
BMG  74,86.67916666666667,-67.58,OpC,-1518589414191961043
BMG 148,88.27916666666667,-68.11,OpC,8070148127388978414
PHOC 12,151.67666,-59.75702,OpC,-8762833932525440887
[KPS2012] MWSC 1871,164.134,-63.018,OpC,-6262677578366893626
PHOC 13,295.69928,23.667140000000003,OpC,7525332876523132434
PHOC 15,112.08045,-19.98267,OpC,5629999810056565959
[HXH2021] 66,273.1124394446306,-15.381727368594587,OpC,-325735601053966309
[BDS2003] 156,292.9291666666667,18.69833333333333,OpC,-2738531659879875192
IC 1893,47.56875,19.616666666666664,OpC,1085083496536129304
KMHK 1254,85.559,-68.18055833333334,OpC,-7240549279162358920
CWNU 1146,252.9372583333333,-38.10092222222222,OpC,-1548204568319148344
KMHK  885,81.50537500000002,-67.25654722222222,OpC,2634435825976081479
[RGM2023] SigMA 10,249.708,-39.823800000000006,OpC,-5676074305547817882
Cl Loden  894,204.8251138940888,-64.30374753437324,OpC,1697259622772359587
[KPR2005]  49,131.975,-37.98333333333333,OpC,3313669216630717016
[KPS2012] MWSC 0036,5.745,51.883,OpC,-2292595557667260020
[KPS2012] MWSC 1139,107.79,-7.117,OpC,1793620924950855128
NGC  3909,177.45416,-48.25167,OpC,-7061389909883260600
NGC  6682,279.9124999999999,-4.799999999999999,OpC,8599730344002507269
[RGM2023] SigMA 26,257.8655,-27.4234,OpC,917154547981634143
[RGM2023] SigMA 28,259.5818,-25.338,OpC,-3035916913485269669
DSH J1054.2-6144,163.55666666666667,-61.73777777777778,OpC,-443138440232906772
IC 1660,18.155708333333337,-71.76161111111111,OpC,-3624596979981105600
UPK 369,83.565,30.475,OpC,1852986868519418670
Cl Alicante    1,59.785,57.24,OpC,7472366398816248827
C 1652-407,253.87498,-40.83333,OpC,7369823319525226404
[RGM2023] SigMA 18,217.0562,-45.9197,OpC,-5485155105599217863
[RGM2023] SigMA 19,212.2475,-51.1972,OpC,-5347766383371790607
[RGM2023] SigMA 17,227.6665,-44.6764,OpC,3874792994608346678
[RZ2005]  24,10.139124999999998,-72.74005555555556,OpC,3475814770495497835
KMHK 1443,87.580125,-70.617125,OpC,3855957791510847828
[RGM2023] SigMA  3,240.43,-22.7406,OpC,6987063521125832968
[RGM2023] SigMA 29,285.211,-36.9364,OpC,3767516471298797054
NAME Cep III,344.5,62.766666666666666,OpC,5254105512626855693
[HXH2021] 14,215.3079345802007,-58.16949904219625,OpC,6594583731429573822
[HXH2021] 46,298.3310863475703,32.63690988946978,OpC,-1637271819676811280
[HXH2021] 50,96.07291323676944,7.500069407053145,OpC,-9133661843302099663
[HXH2021] 52,106.7533563574931,-6.26308365423297,OpC,1371418763117939474
[HXH2021] 53,81.95407554575382,32.682868945236905,OpC,4277975969782051320
[HXH2021] 59,114.94687897637584,-18.922146766705836,OpC,3222666654028412217
[HXH2021] 60,106.82820523315316,4.269848978507063,OpC,-9085422939454977659
[HXH2021] 65,122.3765065437114,-27.158730290755773,OpC,-3590922892712520931
[HXH2021] 67,234.9963551454082,-58.49066672098299,OpC,-3745285908053612160
[HXH2021] 71,120.94352715527565,-39.72931268986288,OpC,8508567771703184121
[HXH2021] 73,62.69183560756492,57.15269646873778,OpC,831361808408273585
[HXH2021] 74,103.86355482643413,-3.787080023435024,OpC,8342293515601211899
Cl Collinder  232,161.16251,-59.56,OpC,8828546198484848045
KMHK 1097,83.63120833333332,-68.69735,OpC,-5261745797665595187
KMHK 1503,88.42954166666667,-69.3438861111111,OpC,-5517066202208462805
[HXH2021] 2,107.65912256391624,-0.4581248026523423,OpC,4548925158930415387
[HR2023] HSC 2303,169.13833333333335,-35.59777777777778,OpC,4131610566461753116
OCSN 92,231.72,-35.96,OpC,-706466828703371860
[HR2023] HSC  749,358.47,3.455555555555556,OpC,6186633442088029442
[HR2023] HSC 2919,246.60166666666663,-24.084722222222226,OpC,-646609469048008393
[HR2023] HSC 2986,285.31708333333324,-36.88305555555556,OpC,-3674311860503000939
[FSR2007] 0115,286.88375,6.2725,OpC,-5269465173915591815
[FSR2007] 0169,298.055,29.399722222222223,OpC,3888354684538188545
[FSR2007] 0171,300.36875,28.647222222222226,OpC,-8356038795056392455
