PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id
2402729,00 00 00.1,+51 55 15,G,0,0.38,0.1,126.0,0,5483370411004738685
520795,00 00 00.1,-45 57 15,G,0,0.53,0.18,22.0,0,4008447136637101114
1961515,00 00 00.1,+31 43 54,G,0,0.6,0.21,160.0,0,-5025226676460543662
1982072,00 00 00.1,+32 08 12,G,0,0.51,0.13,136.0,0,6141154503833430413
535833,00 00 00.1,-44 34 41,G,0,0.53,0.23,148.0,0,-9208478573443394108
622563,00 00 00.1,-37 28 35,G,0,0.47,0.12,136.0,0,-812865393024760691
124374,00 00 00.2,-41 25 22,G,0,0.57,0.04,0.0,LCRSB235726.1-414205,-232192463413684512
2794824,00 00 00.2,-40 06 48,G,0,0.0,0.0,0.0,0,-911847905487854704
398935,00 00 00.4,-56 35 19,G,0,0.43,0.21,16.0,0,4780520549768988179
2058887,00 00 00.5,+35 04 02,G,0,0.54,0.14,110.0,0,1952766082151420199
1985872,00 00 00.6,+32 12 33,G,0,0.79,0.19,178.0,0,-2885944490334889520
582652,00 00 00.7,-40 46 14,G,0,0.53,0.4,137.0,0,-3126636789324870161
993697,00 00 00.7,-09 13 20,G,0,0.43,0.24,175.0,0,-3532677309189857571
143101,00 00 00.8,-59 00 47,G,0,0.56,0.07,161.0,0,9141482334713728624
399117,00 00 00.8,-56 33 48,G,0,0.46,0.36,74.0,0,-8560441323351095101
402770,00 00 00.8,-56 08 28,G,0,0.58,0.48,30.0,0,1155608550757853229
1963523,00 00 00.8,+31 46 11,G,0,0.89,0.37,113.0,0,7314001515539636934
130936,00 00 00.8,-40 54 12,G,E,0.93,0.3,19.0,0,1460806640886045113
1283524,00 00 00.8,+05 26 37,G,0,0.78,0.08,68.0,0,3865881202240509989
295942,00 00 00.9,-67 24 32,G,0,0.58,0.36,27.0,0,3551449884337173917
1205857,00 00 00.9,+01 47 14,G,0,0.64,0.23,91.0,0,663928216349174157
779853,00 00 00.9,-25 21 31,G,0,0.53,0.39,71.0,0,8180441815937918229
1040129,00 00 01.0,-05 48 37,G,0,0.31,0.06,79.0,0,-4749696347113616186
839066,00 00 01.0,-20 37 45,G,0,0.56,0.19,68.0,0,-2037934264045422718
820316,00 00 01.0,-22 01 30,G,0,0.65,0.55,177.0,0,-6617587604141011379
836642,00 00 01.0,-20 48 43,G,0,0.49,0.13,147.0,0,-5419650324207852911
2056872,00 00 01.1,+34 56 08,G,0,0.57,0.18,59.0,0,-3162790402587365595
