pl_name,hostname,pl_orbper,framework_id
HR 8799 d,HR 8799,37000.0,5483370411004738685
HD 156279 b,HD 156279,131.05,4008447136637101114
GJ 832 b,GJ 832,3507.0,-5025226676460543662
GJ 1214 b,GJ 1214,1.58040482,6141154503833430413
HD 24040 b,HD 24040,3668.0,-9208478573443394108
HD 168443 c,HD 168443,1749.83,-812865393024760691
HD 12661 c,HD 12661,1679.0,-232192463413684512
HD 66428 b,HD 66428,1973.0,-911847905487854704
HD 114783 b,HD 114783,496.9,4780520549768988179
HD 187123 b,HD 187123,3.097,1952766082151420199
HD 12661 b,HD 12661,262.709,-2885944490334889520
HD 168443 b,HD 168443,58.11212,-3126636789324870161
HD 217107 b,HD 217107,7.126816,-3532677309189857571
HD 114783 b,HD 114783,493.7,9141482334713728624
GJ 1214 b,GJ 1214,1.5803925,-8560441323351095101
HD 168443 b,HD 168443,58.1112,1155608550757853229
HD 217107 b,HD 217107,7.12689,7314001515539636934
HD 217107 c,HD 217107,3352.0,1460806640886045113
HD 68988 b,HD 68988,6.276,3865881202240509989
HD 21749 c,GJ 143,7.7897726,3551449884337173917
HD 114783 b,HD 114783,501.0,663928216349174157
HD 168443 c,HD 168443,1749.5,8180441815937918229
HD 217107 b,HD 217107,7.1269,-4749696347113616186
HD 183263 b,HD 183263,634.23,-2037934264045422718
Kepler-37 b,Kepler-37,13.3670203111,-6617587604141011379
51 Eri b,51 Eri,0.0,-5419650324207852911
GJ 1214 b,GJ 1214,0.0,-3162790402587365595
GJ 1214 b,GJ 1214,1.58040481,2384887413870919105
HR 8799 b,HR 8799,170000.0,-7258685225055764045
GJ 1214 b,GJ 1214,1.580408346,-5098152552555930331
GJ 1214 b,GJ 1214,1.58040456,-9103806241134330113
51 Eri b,51 Eri,14965.0,7776822288094437384
HR 8799 b,HR 8799,0.0,801780207350016201
HR 8799 c,HR 8799,0.0,-1822342910404344718
HR 8799 e,HR 8799,0.0,-2117500249296385588
HR 8799 c,HR 8799,83255.09,3749857543360061768
HR 8799 d,HR 8799,41627.54,4144869486449732048
HR 8799 e,HR 8799,20815.6,-8837279651049696877
GJ 1214 b,GJ 1214,1.5804043,-7041799445617651247
HD 217107 c,HD 217107,5189.0,6561939142300504330
HD 66428 b,HD 66428,2293.9,-3991312087280716928
K2-138 g,K2-138,41.965443,2008302843385040821
GJ 1214 b,GJ 1214,1.58040417,5956548570007280771
HD 12661 c,HD 12661,1708.0,-8421324136620876664
HD 11506 b,HD 11506,1627.5,-1746245435202541832
HD 11506 c,HD 11506,223.6,8026519247123351160
HD 24040 b,HD 24040,3490.0,2230866046143428280
HD 183263 b,HD 183263,625.1,5951104094187522966
HD 183263 c,HD 183263,4684.0,-1858785332282547690
HD 187123 b,HD 187123,3.0965886,-6919960713513720745
HD 187123 c,HD 187123,3324.0,-4667848678426058282
HD 217107 b,HD 217107,7.126846,7416458412175654531
HD 27894 c,HD 27894,36.07,5593160490791364340
HD 27894 d,HD 27894,5174.0,-5990804189445710704
HD 3167 b,HD 3167,0.959628,-5426198556258017315
HD 3167 c,HD 3167,29.839835,4649752654783367061
HD 3167 b,HD 3167,0.959665,4771229490310293584
TOI-674 b,TOI-674,1.9771642,-8790341665338598016
GJ 832 b,GJ 832,3416.0,8517518592402122755
WASP-133 b,WASP-133,2.17648746975,-6756894077166255915
TOI-4010 b,TOI-4010,1.348335,5596289571869655254
Kepler-314 c,Kepler-314,5.96040108,-7677740530111880652
HD 11506 b,HD 11506,1405.0,-8714925080684733893
HD 12661 b,HD 12661,262.70862,4820617712066960416
HD 183263 b,HD 183263,626.51599,-8168230765100161653
HD 217107 b,HD 217107,7.12682,-2797534874142117321
HD 68988 b,HD 68988,6.27711,115244536614942146
HD 11506 b,HD 11506,1622.1,7604911008708887352
HD 27894 b,HD 27894,17.9904,640163928774857076
WASP-61 b,WASP-61,3.85589655,1229415892918381845
HD 3167 c,HD 3167,29.844982,-3505547017430570765
TOI-2384 b,TOI-2384,2.13570304,-3395231848818098082
K2-321 b,K2-321,2.298,-5197314098398396766
HR 8799 b,HR 8799,171667.5,-4778478006178371122
HR 8799 c,HR 8799,67571.25,-2880279286074611319
HR 8799 d,HR 8799,0.0,1794471475941692957
HD 3167 c,HD 3167,29.8454,-2328679715599263445
HAT-P-28 b,HAT-P-28,3.257215,-2455702339313535109
HD 3167 b,HD 3167,0.959641,5153361285211677887
HD 72659 b,HD 72659,3570.0,-7274690166547922761
HD 3167 d,HD 3167,8.509,-1746664582880114404
HD 27894 b,HD 27894,18.02,-5258829353217869118
HD 11506 c,HD 11506,223.41,-6683143521406756104
HD 3167 c,HD 3167,29.83832,6274813113056036611
HD 24040 b,HD 24040,3498.0,4340796359347125732
HD 183263 c,HD 183263,5048.0,3857814685033372249
HD 187123 c,HD 187123,3380.0,7148933818902002898
HD 217107 c,HD 217107,5178.0,1022754416103469318
HD 114783 c,HD 114783,4319.0,-1295064622279220815
NN Ser d,NN Ser,2880.0,-7512554851130632480
TOI-1710 b,TOI-1710,24.283382,-4136599395998075784
Kepler-19 b,Kepler-19,0.0,-8893126695889307886
TOI-2427 b,TOI-2427,1.30613,4796107978668052305
KELT-23 A b,KELT-23 A,2.2552845,-5947338855274641811
K2-132 b,K2-132,9.173866,-3509258010875795145
Qatar-9 b,Qatar-9,1.540776,-1883308250683877985
Kepler-25 b,Kepler-25,0.0,3893775170485645103
HATS-14 b,HATS-14,2.76675696,-1490643169929079167
TOI-3894 b,TOI-3894,4.3345401,-5071743038159653288
K2-199 b,K2-199,3.225423,6195593611113175201
HD 181234 b,HD 181234,7462.0575,6847096884454869330
HD 221420 b,HD 221420,22482.0,3262073312483235306
HD 66428 b,HD 66428,2263.12,3428730077752401869
51 Eri b,51 Eri,11688.0,5805039294449468699
HD 3167 b,HD 3167,0.96,-1518589414191961043
HD 3167 c,HD 3167,0.0,8070148127388978414
NGTS-10 b,NGTS-10,0.7668944,-8762833932525440887
HD 11506 b,HD 11506,1270.2,-6262677578366893626
HD 11506 c,HD 11506,223.95986,7525332876523132434
HD 11506 b,HD 11506,1613.74017,5629999810056565959
HD 11506 d,HD 11506,14723.57452,-325735601053966309
HD 156279 c,HD 156279,4818.25358,-2738531659879875192
HD 168443 b,HD 168443,58.11187,1085083496536129304
HD 66428 b,HD 66428,2288.9,-1153978434891460822
HD 68988 b,HD 68988,6.2764187,-7240549279162358920
HD 183263 b,HD 183263,625.09,-1548204568319148344
HD 183263 c,HD 183263,5010.0,2634435825976081479
HD 3167 b,HD 3167,0.959632,-5676074305547817882
HD 3167 c,HD 3167,29.84622,1697259622772359587
COCONUTS-2 b,COCONUTS-2 A,402000000.0,3313669216630717016
GJ 1214 b,GJ 1214,1.58040454,-2292595557667260020
HD 72659 c,HD 72659,35500.0,1793620924950855128
HD 72659 b,HD 72659,3658.0,-7061389909883260600
HD 72659 b,HD 72659,3549.0,8599730344002507269
GJ 1214 b,GJ 1214,1.580404938,-3035916913485269669
HR 8799 c,HR 8799,69000.0,-443138440232906772
HD 183263 c,HD 183263,3070.0,-3624596979981105600
HD 24040 c,HD 24040,515.4,1852986868519418670
HD 68988 c,HD 68988,16000.0,7472366398816248827
HD 114783 b,HD 114783,492.56,7369823319525226404
HD 12661 b,HD 12661,262.36,-5485155105599217863
HD 12661 c,HD 12661,1696.7,-5347766383371790607
HD 156279 b,HD 156279,133.4031,3874792994608346678
HD 156279 c,HD 156279,4758.0,3475814770495497835
HD 168443 b,HD 168443,58.11159,3855957791510847828
HD 181234 b,HD 181234,7504.0,6987063521125832968
HD 62364 b,HD 62364,27399.80247,3767516471298797054
HD 62364 c,HD 62364,74839.94555,5254105512626855693
HD 168443 c,HD 168443,1753.1096,6594583731429573822
HD 168863 b,HD 168863,14773.93272,-1637271819676811280
HD 16905 b,HD 16905,6707.49126,-9133661843302099663
HD 181234 b,HD 181234,7593.40512,1371418763117939474
HD 183263 b,HD 183263,624.87404,4277975969782051320
HD 183263 c,HD 183263,4667.97841,3222666654028412217
HD 221420 b,HD 221420,8615.41549,-9085422939454977659
HD 66428 b,HD 66428,2269.81726,-3590922892712520931
HD 3167 b,HD 3167,0.95965428,-3745285908053612160
HD 3167 c,HD 3167,29.8464948,8508567771703184121
HD 3167 d,HD 3167,8.4783,831361808408273585
HD 3167 d,HD 3167,8.4112,8342293515601211899
HD 3167 e,HD 3167,96.63,8828546198484848045
HD 89839 b,HD 89839,3441.0,-5517066202208462805
HD 181234 b,HD 181234,7450.0,4548925158930415387
BD-210397 b,BD-210397,1891.0,4131610566461753116
HD 108202 b,HD 108202,2990.0,-706466828703371860
BD-210397 c,BD-210397,6240.0,6186633442088029442
HD 16905 b,HD 16905,10256.0,-646609469048008393
HD 62364 b,HD 62364,5172.0,-3674311860503000939
HD 89839 b,HD 89839,3448.0,-5269465173915591815
HD 114783 c,HD 114783,4352.0,3888354684538188545
GJ 832 b,GJ 832,3853.0,-8356038795056392455
HD 221420 b,HD 221420,10066.0,-1090851544628366933
HIP 70849 b,HIP 70849,3649.0,-5145638763695321497
HD 27894 b,HD 27894,18.01939,-6543146776439354053
HD 27894 d,HD 27894,5019.54244,2458859011384121698
HD 29985 b,HD 29985,20608.14049,-7488980723711487425
Kepler-293 b,Kepler-293,19.25405306,-3660457274030075473
Kepler-549 d,Kepler-549,24.61482073,8593625671578424373
Kepler-395 b,Kepler-395,7.05427318,5115318260605671032
Kepler-172 d,Kepler-172,0.0,7519556860336915579
Kepler-109 c,Kepler-109,21.2226460262,6512578717282376959
Kepler-549 b,Kepler-549,42.94957774,1043623407452749108
Kepler-1515 b,Kepler-1515,214.3114164,181031359590463256
Kepler-359 c,Kepler-359,57.6895695163,38917497599973483
Kepler-1834 b,Kepler-1834,4.602996,-8612391256244852054
Kepler-1162 b,Kepler-1162,0.0,-2784560409831603995
Kepler-703 b,Kepler-703,4.5835184,-7353456666790637685
Kepler-1471 b,Kepler-1471,3.63899398,-2890553913741533866
Kepler-725 b,Kepler-725,39.6431552,-2316212404360728494
Kepler-1644 b,Kepler-1644,21.0907758,5946859452836189183
Kepler-50 b,Kepler-50,7.8128584,-4934200511301981056
Kepler-325 d,Kepler-325,38.7149617,7742366509965521228
Kepler-1296 b,Kepler-1296,8.38395796,3882804538565146087
Kepler-1371 b,Kepler-1371,3.4462125,4881708139495394667
K2-5 b,K2-5,5.7348462,2171717905670133917
KOI-1257 b,KOI-1257,86.647661,-8062436767482627640
Kepler-82 e,Kepler-82,5.902209,7150035636448298631
Kepler-1369 b,Kepler-1369,25.87333,-1175812649602436411
Kepler-697 b,Kepler-697,3.709870645,-1858328508351376286
Kepler-1466 b,Kepler-1466,31.1750448,3305923859110538133
Kepler-634 b,Kepler-634,5.16950177,-1784314549599910352
Kepler-1889 b,Kepler-1889,37.3037619,3460568445270904682
KOI-1257 b,KOI-1257,86.64763676,3612966617263693860
Kepler-1668 b,Kepler-1668,15.43400996,-2356652103259373246
Kepler-46 d,Kepler-46,6.76652928,1665645762569576091
Kepler-1772 b,Kepler-1772,3.215106337,2106629105384474878
Kepler-511 c,Kepler-511,26.62946276,8364037351102245245
Kepler-684 b,Kepler-684,6.770302008,-4829964530131563194
Kepler-127 b,Kepler-127,14.4360263586,-9141784326700858651
Kepler-393 b,Kepler-393,9.182417,1672709980173039876
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,0.0,5862106041672311763
Kepler-586 b,Kepler-586,2.104721971,3747211726729837734
Kepler-202 b,Kepler-202,4.069425638,-7221440538370870617
Kepler-42 b,Kepler-42,0.0,-5355515213776284833
Kepler-1499 b,Kepler-1499,0.0,3760576635852252968
HD 63454 b,HD 63454,2.818049,4401332832544496889
Kepler-908 b,Kepler-908,1.340597468,7011985076695864148
Kepler-397 c,Kepler-397,135.4978256,-1767520660695104820
Kepler-60 d,Kepler-60,11.8984932,-2968916954736035872
61 Vir c,61 Vir,38.0957,-2941892765107997591
Kepler-546 b,Kepler-546,4.147021189,135719202299709881
Kepler-116 b,Kepler-116,5.968717469,6343436656866206435
Kepler-181 b,Kepler-181,3.137848829,-5549142257751182082
Kepler-188 b,Kepler-188,2.06187,-5509811245556887590
K2-230 b,K2-230,2.860636,3729326641739012766
Kepler-1077 b,Kepler-1077,34.3511874,-5165359626682444385
Kepler-1800 b,Kepler-1800,4.56204856,8833578158500349569
Kepler-1005 b,Kepler-1005,6.49801525,59505721256241629
Kepler-376 b,Kepler-376,4.9202752591,8857341078786192147
HD 331093 b,HD 331093,621.62,5639387291468307841
Kepler-1890 b,Kepler-1890,4.82052932,874194140411671947
K2-139 b,K2-139,28.382071,-4984732271448556694
HD 108874 c,HD 108874,1743.2,1469117463163222930
Kepler-1892 b,Kepler-1892,6.3312784,-7741349517535178657
MOA-2012-BLG-505L b,MOA-2012-BLG-505L,0.0,866978549754729877
Kepler-305 b,Kepler-305,5.4871224247,-6954529216558237596
Kepler-1586 b,Kepler-1586,15.6049212,-2597807468081333527
Kepler-183 b,Kepler-183,5.6879831,-5588054345736849653
Kepler-1037 b,Kepler-1037,1.0637892018,-1373719751611860466
Kepler-132 b,Kepler-132,6.178165,5061694048199963043
Kepler-1722 b,Kepler-1722,9.178475,-3223338559372992837
Kepler-209 b,Kepler-209,16.08786478,134592342223214224
Kepler-690 b,Kepler-690,7.748094374,2802745656701064479
Kepler-280 c,Kepler-280,4.807099588,-8311823683130950685
K2-21 c,K2-21,15.50116,4796394264839317951
Kepler-118 b,Kepler-118,7.51854537,7835344993501172611
Kepler-1809 b,Kepler-1809,3.757294695,-2977487807683295510
Kepler-301 c,Kepler-301,5.41908491,-1679951900223022355
Kepler-544 b,Kepler-544,21.41635034,-1653156953482953367
Kepler-1458 b,Kepler-1458,47.9866946936,-1498813696144966130
Kepler-107 e,Kepler-107,14.74913518,-1332014356211782508
Kepler-1392 b,Kepler-1392,15.1413066,989001281687972116
Kepler-1509 b,Kepler-1509,25.4338197,-5296579706221793922
Kepler-568 b,Kepler-568,11.02347475,6774598031703390329
Kepler-99 b,Kepler-99,4.603578042,-1099142971581516269
HD 202206 c,HD 202206,1260.0,7200573551786666300
Kepler-85 c,Kepler-85,12.513,2637198772027114406
Kepler-423 b,Kepler-423,2.68432852,-4569556353715434218
TOI-1248 b,TOI-1248,4.3601561,-1193620303658382919
HD 260655 c,HD 260655,5.7060868,432480193218969685
TOI-4773 b,TOI-4773,1.7452851,3697219850146358548
Kepler-391 c,Kepler-391,20.4853893,-2797109761746892177
Kepler-58 c,Kepler-58,15.574,-8259343188751019371
Kepler-1898 b,Kepler-1898,4.765620232,-4687539959235039065
Kepler-295 b,Kepler-295,12.64506533,-6755946791609195865
Kepler-1272 b,Kepler-1272,51.1309704,-4641883319910735476
Kepler-675 b,Kepler-675,2.33743801,6138233155450585615
Kepler-454 b,Kepler-454,10.573757029,1017600437803423149
K2-240 b,K2-240,6.034,-4019675818846618309
Kepler-1536 b,Kepler-1536,364.758031,-5094920735475299719
Kepler-952 b,Kepler-952,130.35464842,2201048966478008978
Kepler-1248 b,Kepler-1248,7.46718958,-2539871551128494172
Kepler-121 b,Kepler-121,3.17741077,2232055156615144782
Kepler-1886 b,Kepler-1886,24.2758007,8003704633511596053
K2-343 c,K2-343,7.67689,4824440375271118588
HD 73267 b,HD 73267,1257.2,-4301504602245760311
Kepler-887 b,Kepler-887,0.0,7138089190822970269
Kepler-392 b,Kepler-392,5.341788,2526104178211829376
Kepler-799 b,Kepler-799,133.46084685,-2227847872793155225
Kepler-132 b,Kepler-132,6.17817366,2142148443131010115
Kepler-1721 b,Kepler-1721,4.592393816,3403535899180287172
Kepler-1807 b,Kepler-1807,10.86060638,6986651008547939010
Kepler-524 c,Kepler-524,1.88897906,3902985014689187986
Kepler-1146 b,Kepler-1146,2.352265797,8796087532706640103
Kepler-1094 b,Kepler-1094,0.0,5660708941488863164
Kepler-79 b,Kepler-79,13.48458665,-534356264768348903
Kepler-223 e,Kepler-223,19.7240891,3001729382322155483
Kepler-1218 b,Kepler-1218,22.9221266,8287288399439355067
Kepler-1630 b,Kepler-1630,509.997402,536071676005405863
Kepler-438 b,Kepler-438,35.2331929005,-2002960465202419831
Kepler-1828 b,Kepler-1828,10.27377201,6869958897857522825
Kepler-1347 b,Kepler-1347,14.00947528,-7355438050449426761
Kepler-32 b,Kepler-32,5.901,-1195033505021418315
Kepler-1133 b,Kepler-1133,11.5555991814,-5415415044077367277
Kepler-209 c,Kepler-209,41.74945104,4999551970913647126
Kepler-1422 b,Kepler-1422,18.6039268674,6810061365746766500
K2-24 c,K2-24,42.3391,7508524317234720449
Kepler-1576 b,Kepler-1576,6.98471973,-8062174250989922671
KOI-351 g,KOI-351,210.5935133,7258810543617854399
Kepler-55 e,Kepler-55,4.617534,1188188319688425825
Kepler-1748 b,Kepler-1748,5.823445,-7399103867061256441
Kepler-229 c,Kepler-229,16.0686523891,-337683168139240936
Kepler-357 c,Kepler-357,0.0,-5369877831966029908
Kepler-745 b,Kepler-745,9.93143556,-8184491030388246274
Kepler-32 d,Kepler-32,22.78076945,4991845756856828284
K2-331 c,K2-331,22.99592,3331971762860030691
Kepler-149 c,Kepler-149,55.3285813,-7563899268197953769
K2-203 b,K2-203,9.6897,64831814858987665
Kepler-248 c,Kepler-248,16.23947096,2909035077411776670
HIP 75092 b,HIP 75092,926.4,-1406174450772248065
Kepler-1391 b,Kepler-1391,54.4101523709,3582887803472198094
Kepler-1438 b,Kepler-1438,2.319426,3557642883325321964
Kepler-1129 b,Kepler-1129,24.3398202,9195260421721969202
Kepler-105 c,Kepler-105,7.125967,8378869255086499933
Kepler-716 c,Kepler-716,3.96996298,6208311453875453282
Kepler-259 c,Kepler-259,36.9249531,-3278908547134012094
Kepler-415 b,Kepler-415,4.17634525,2707820333317825699
Kepler-1470 b,Kepler-1470,16.2951259,-7141862023214652883
Kepler-31 d,Kepler-31,87.6451,-3874022885979025724
Kepler-109 c,Kepler-109,21.22265,7447212652839532277
Kepler-1825 b,Kepler-1825,1.025857703,7943632593087885524
Kepler-431 c,Kepler-431,8.70312154,-2272430511532823704
TRAPPIST-1 e,TRAPPIST-1,6.101013,2472964976049412226
Kepler-534 c,Kepler-534,7.37862283,6958652982223838613
Kepler-147 b,Kepler-147,12.6119685,2003551881069544626
Kepler-562 b,Kepler-562,18.009314436,-5778415812361424659
Kepler-607 c,Kepler-607,39.67679977,-5957794759949372856
Kepler-351 b,Kepler-351,37.0548569,-7445847376100265646
Kepler-1284 b,Kepler-1284,0.664073806,-3430398101141967148
Kepler-1728 b,Kepler-1728,4.783002698,3558844344020303218
Kepler-11 e,Kepler-11,31.995525,-5321230966706451321
Kepler-139 e,Kepler-139,1904.0,-6135558648004404942
HIP 38594 c,HIP 38594,3477.768,7095994719778478850
Kepler-877 b,Kepler-877,18.45847097,7224140884180044511
K2-389 b,K2-389,8.583566,347949416142854671
EPIC 220674823 b,EPIC 220674823,0.571282,2334080648030899601
eps Eri b,eps Eri,2502.1,2931483587463075570
Kepler-1099 b,Kepler-1099,2.16844614,7869900595808055338
Kepler-137 b,Kepler-137,8.43638723,-8858858361807820285
Kepler-58 b,Kepler-58,10.21866016,240581258548220554
Kepler-1491 b,Kepler-1491,16.5861762,-8114792741323699786
Kepler-951 b,Kepler-951,0.0,-929719974478696318
Kepler-400 b,Kepler-400,9.024391,-6433465586613046375
Kepler-18 d,Kepler-18,14.859,-5537210185081035329
Kepler-271 d,Kepler-271,5.24972541,-3337346105898829814
Kepler-1913 b,Kepler-1913,14.1959621,-4157237544325926598
Kepler-1335 b,Kepler-1335,6.26406846,6119233520172022984
TOI-5688 A b,TOI-5688 A,2.9479689,-4678491550640505837
TOI-4734 b,TOI-4734,6.235633,6468132369469419693
Kepler-460 c,KIC 5437945,220.1303357,7448708287898534334
Kepler-263 b,Kepler-263,16.568087,-4722732844451265118
Kepler-947 b,Kepler-947,26.9644682703,-4353333316365578910
Kepler-121 c,Kepler-121,41.00820122,1593241509542667707
Kepler-1026 b,Kepler-1026,36.5156053,3922206000923273589
Kepler-594 b,Kepler-594,13.64618192,-1411296115642381711
HD 190360 c,HD 190360,17.11704,4948601560413395806
Kepler-705 b,Kepler-705,56.05623,-9038620322074116480
Kepler-1146 b,Kepler-1146,2.352273912,-1464987047390047228
Kepler-361 b,Kepler-361,0.0,-6822004709428557149
XO-5 b,XO-5,4.18775631,-3134218553255989547
HD 136352 b,HD 136352,11.577794,5700440020115548065
TOI-2095 c,TOI-2095,28.17225006579,-5128109066648771005
TOI-1386 b,TOI-1386,25.8401,5269728711395073997
Kepler-223 d,Kepler-223,14.78767172,2374622889373819646
Kepler-371 b,Kepler-371,34.763278,-5362626797698607950
Kepler-462 b,Kepler-462,84.69,-3263061751974894074
Kepler-142 c,Kepler-142,4.7617051257,-7645187270502117393
