toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,framework_id
1048.01,136.527702,-54.903922,440.426,136.527702,-54.903922,5483370411004738685
1049.01,253.768848,-28.710584,314.995,253.768848,-28.710584,4008447136637101114
105.01,337.457824,-48.003099,137.544,337.457824,-48.003099,-5025226676460543662
1050.01,239.962248,-28.061794,405.908,239.962248,-28.061794,6141154503833430413
1051.01,40.365939,-71.462749,53.19149,40.365939,-71.462749,-9208478573443394108
1052.01,337.510274,-75.646561,129.804,337.510274,-75.646561,-812865393024760691
1053.01,290.977117,-33.351416,263.729,290.977117,-33.351416,-232192463413684512
1054.01,302.114174,-54.317501,88.4343,302.114174,-54.317501,-911847905487854704
1055.01,293.286615,-54.532728,57.2651,293.286615,-54.532728,4780520549768988179
1056.01,339.258703,-76.917605,168.354,339.258703,-76.917605,1952766082151420199
1057.01,127.996917,-78.407564,98.2855,127.996917,-78.407564,-2885944490334889520
1058.01,288.911772,-31.790813,338.831,288.911772,-31.790813,-3126636789324870161
1059.01,269.714503,-60.922727,98.8783,269.714503,-60.922727,-3532677309189857571
106.01,68.959816,-64.027039,364.411,68.959816,-64.027039,9141482334713728624
1060.01,299.290995,-48.934476,128.491,299.290995,-48.934476,-8560441323351095101
1061.01,284.688908,-41.242483,133.171,284.688908,-41.242483,1155608550757853229
1062.01,38.120968,-78.023683,82.1733,38.120968,-78.023683,7314001515539636934
1063.01,230.555493,-83.056214,61.1201,230.555493,-83.056214,1460806640886045113
1064.01,296.003935,-47.56203,68.0726,296.003935,-47.56203,3865881202240509989
1064.02,296.003935,-47.56203,68.0726,296.003935,-47.56203,3551449884337173917
1065.01,286.36675,-50.06735,639.004,286.36675,-50.06735,663928216349174157
1066.01,285.096517,-54.893341,353.891,285.096517,-54.893341,8180441815937918229
1067.01,288.672005,-59.57935,263.609,288.672005,-59.57935,-4749696347113616186
1068.01,284.399762,-49.138513,535.383,284.399762,-49.138513,-2037934264045422718
1069.01,289.479212,-32.860124,197.996,289.479212,-32.860124,-6617587604141011379
107.01,313.783239,-34.135751,211.211,313.783239,-34.135751,-5419650324207852911
1070.01,289.478541,-32.861327,0.0,289.478541,-32.861327,-3162790402587365595
1071.01,280.184169,-58.459388,290.198,280.184169,-58.459388,2384887413870919105
1072.01,75.627307,-72.913998,703.878,75.627307,-72.913998,-5685702162376003358
1073.01,287.484402,-49.664942,300.67,287.484402,-49.664942,-7258685225055764045
1074.01,310.761004,-72.010267,107.356,310.761004,-72.010267,-5098152552555930331
1075.01,309.971209,-65.449699,61.4592,309.971209,-65.449699,-9103806241134330113
1076.01,294.633694,-55.330269,248.46,294.633694,-55.330269,7776822288094437384
1077.01,173.810798,-88.096213,463.683,173.810798,-88.096213,801780207350016201
1000.01,112.357708,-12.69596,485.735,112.357708,-12.69596,-1822342910404344718
1001.01,122.580465,-5.513852,295.862,122.580465,-5.513852,-2117500249296385588
1002.01,104.726966,-10.580455,943.109,104.726966,-10.580455,3749857543360061768
1003.01,110.559945,-25.207017,7728.17,110.559945,-25.207017,4144869486449732048
1004.01,122.178195,-48.802811,356.437,122.178195,-48.802811,-8837279651049696877
1005.01,120.704811,-11.101521,100.711,120.704811,-11.101521,-7041799445617651247
1006.01,124.359239,-27.273521,0.0,124.359239,-27.273521,6561939142300504330
1007.01,112.752393,-4.463359,283.291,112.752393,-4.463359,-3991312087280716928
1008.01,109.382839,13.395219,144.297,109.382839,13.395219,2008302843385040821
1009.01,111.667845,-24.462111,866.147,111.667845,-24.462111,5956548570007280771
101.01,318.737012,-55.871863,375.31,318.737012,-55.871863,4222779772082188826
1010.01,112.293981,-21.832912,485.122,112.293981,-21.832912,-8421324136620876664
1011.01,113.984761,-32.841999,52.62,113.984761,-32.841999,-1746245435202541832
1012.01,117.095285,6.785064,295.959,117.095285,6.785064,8026519247123351160
1013.01,107.286063,-31.933523,510.295,107.286063,-31.933523,2230866046143428280
1014.01,103.561602,-34.22282,224.672,103.561602,-34.22282,5951104094187522966
1015.01,122.895964,-27.971896,906.496,122.895964,-27.971896,-1858785332282547690
1016.01,116.110771,-36.098285,368.646,116.110771,-36.098285,-6919960713513720745
1017.01,124.726411,-37.78325,406.997,124.726411,-37.78325,-4667848678426058282
1018.01,111.716019,-50.266567,360.541,111.716019,-50.266567,7416458412175654531
1019.01,120.147994,-54.878552,399.544,120.147994,-54.878552,5593160490791364340
102.01,87.139821,-63.988329,175.631,87.139821,-63.988329,-5990804189445710704
1020.01,128.381976,-43.828421,906.827,128.381976,-43.828421,-5426198556258017315
1021.01,119.30075,-42.999149,235.974,119.30075,-42.999149,4649752654783367061
1022.01,162.96491,-5.788708,120.666,162.96491,-5.788708,4771229490310293584
1023.01,120.837688,-51.345626,316.398,120.837688,-51.345626,-8790341665338598016
1024.01,86.820714,-72.422611,692.266,86.820714,-72.422611,8517518592402122755
1025.01,142.521159,-51.517114,129.838,142.521159,-51.517114,-6756894077166255915
1026.01,125.434634,-51.759442,105.677,125.434634,-51.759442,5596289571869655254
1027.01,167.133275,-29.653135,56.3449,167.133275,-29.653135,-7677740530111880652
1027.02,167.133275,-29.653135,56.3449,167.133275,-29.653135,-8714925080684733893
1027.03,167.133275,-29.653135,56.3449,167.133275,-29.653135,4820617712066960416
1028.01,157.098337,-51.705409,23.7748,157.098337,-51.705409,3781094334402409682
1029.01,88.73909,-65.958839,0.0,88.73909,-65.958839,-8168230765100161653
103.01,312.457488,-24.428694,411.211,312.457488,-24.428694,-2797534874142117321
1030.01,155.831478,-57.590248,78.41273,155.831478,-57.590248,-764223720808507218
1031.01,140.88389,-67.026006,270.771,140.88389,-67.026006,115244536614942146
1032.01,159.221506,-42.541639,587.196,159.221506,-42.541639,850105287087936487
1033.01,87.282586,-60.498444,219.94,87.282586,-60.498444,7604911008708887352
1034.01,134.441752,-49.000578,363.44,134.441752,-49.000578,640163928774857076
1035.01,144.150273,-61.583182,347.556,144.150273,-61.583182,1229415892918381845
1036.01,157.867112,-42.240448,184.015,157.867112,-42.240448,-3505547017430570765
1037.01,147.385172,-63.306478,279.698,147.385172,-63.306478,-3395231848818098082
1038.01,128.454638,-49.940347,280.765,128.454638,-49.940347,-5197314098398396766
1039.01,149.688545,-58.760453,2864.34,149.688545,-58.760453,-4778478006178371122
104.01,319.949697,-58.148933,316.678,319.949697,-58.148933,-2880279286074611319
1040.01,128.61421,-61.488262,732.432,128.61421,-61.488262,1794471475941692957
1041.01,138.402252,-55.19791,305.034,138.402252,-55.19791,-1298362057304105241
1042.01,141.975215,-61.33004,792.633,141.975215,-61.33004,-2328679715599263445
1043.01,128.302319,-52.714202,208.055,128.302319,-52.714202,-2455702339313535109
1044.01,153.811023,-58.766393,494.689,153.811023,-58.766393,5153361285211677887
1045.01,159.887704,-32.51188,300.696,159.887704,-32.51188,-7274690166547922761
1046.01,126.419468,-60.907514,301.298,126.419468,-60.907514,5934784203053158477
1047.01,144.581535,-67.505097,134.926,144.581535,-67.505097,-1746664582880114404
1093.01,215.805264,-63.045983,1710.22,215.805264,-63.045983,-5258829353217869118
1094.01,230.498827,-53.819601,426.003,230.498827,-53.819601,-6683143521406756104
1095.01,133.968965,-75.926187,582.521,133.968965,-75.926187,6274813113056036611
1096.01,133.826684,-73.173308,490.288,133.826684,-73.173308,4340796359347125732
1097.01,189.775859,-74.57402,79.5561,189.775859,-74.57402,3857814685033372249
1097.02,189.775859,-74.57402,79.5561,189.775859,-74.57402,7148933818902002898
1098.01,192.589285,-88.121111,105.096,192.589285,-88.121111,1022754416103469318
1099.01,328.718171,-77.338802,23.606,328.718171,-77.338802,-1295064622279220815
110.01,5.618525,-59.942589,342.14,5.618525,-59.942589,-7512554851130632480
1100.01,9.126138,-83.567067,205.43,9.126138,-83.567067,-4136599395998075784
1101.01,319.551469,-77.529113,262.794,319.551469,-77.529113,-8893126695889307886
1102.01,263.003209,-76.858265,58.0624,263.003209,-76.858265,4796107978668052305
1103.01,310.086743,-63.789963,320.212,310.086743,-63.789963,-5947338855274641811
1104.01,279.721286,-85.709137,70.0154,279.721286,-85.709137,-3509258010875795145
1105.01,146.053969,-89.471513,79.5225,146.053969,-89.471513,-1883308250683877985
1106.01,253.110033,-79.135182,523.425,253.110033,-79.135182,3893775170485645103
1107.01,155.607863,-82.218869,281.314,155.607863,-82.218869,-1490643169929079167
1108.01,274.221618,-68.197779,417.08,274.221618,-68.197779,-5071743038159653288
1109.01,30.198486,-77.610376,102.238,30.198486,-77.610376,6195593611113175201
111.01,0.774487,-62.469317,508.842,0.774487,-62.469317,6847096884454869330
1110.01,286.791829,-58.697242,243.838,286.791829,-58.697242,3262073312483235306
1111.01,291.373783,-60.941042,312.461,291.373783,-60.941042,154754309565574995
1112.01,163.628917,-87.269735,292.085,163.628917,-87.269735,3428730077752401869
1113.01,328.710839,-77.337433,23.8853,328.710839,-77.337433,5805039294449468699
1114.01,302.147728,-71.552443,174.475,302.147728,-71.552443,-1518589414191961043
1115.01,283.301843,-54.910806,359.215,283.301843,-54.910806,8070148127388978414
1116.01,27.699972,-75.848774,94.4178,27.699972,-75.848774,-8762833932525440887
1117.01,273.602061,-66.419974,167.598,273.602061,-66.419974,-6262677578366893626
1118.01,277.432937,-44.625506,0.0,277.432937,-44.625506,7525332876523132434
1119.01,292.604815,-46.278074,421.518,292.604815,-46.278074,5629999810056565959
112.01,55.933639,-65.19378,302.448,55.933639,-65.19378,-325735601053966309
1120.01,293.389272,-45.892667,386.323,293.389272,-45.892667,-2738531659879875192
1121.01,269.648642,-46.065523,338.644,269.648642,-46.065523,1085083496536129304
1122.01,281.369481,-52.262928,249.826,281.369481,-52.262928,-1153978434891460822
1123.01,292.391505,-37.304009,161.932,292.391505,-37.304009,-7240549279162358920
1124.01,300.212928,-43.982529,75.7145,300.212928,-43.982529,-1548204568319148344
1125.01,298.287708,-46.369991,237.593,298.287708,-46.369991,2634435825976081479
1126.01,279.062469,-43.620606,97.8115,279.062469,-43.620606,-5676074305547817882
1127.01,292.195297,-36.00026,177.741,292.195297,-36.00026,1697259622772359587
1128.01,289.761799,-43.074223,222.529,289.761799,-43.074223,3313669216630717016
1129.01,284.157959,-29.398357,247.414,284.157959,-29.398357,-2292595557667260020
113.01,332.714337,-30.749719,448.637,332.714337,-30.749719,1793620924950855128
1130.01,286.376004,-41.43764,58.2609,286.376004,-41.43764,-7061389909883260600
1130.02,286.376004,-41.43764,58.2609,286.376004,-41.43764,8599730344002507269
1131.01,248.433545,61.718334,222.74,248.433545,61.718334,917154547981634143
1132.01,298.781281,54.781445,286.668,298.781281,54.781445,-3035916913485269669
1133.01,294.824079,31.958037,233.369,294.824079,31.958037,-443138440232906772
1134.01,290.02096,36.637774,170.732,290.02096,36.637774,-3624596979981105600
1135.01,193.39637,85.129495,114.048,193.39637,85.129495,1852986868519418670
1136.01,192.184898,64.855276,84.5362,192.184898,64.855276,7472366398816248827
1136.02,192.184898,64.855276,84.5362,192.184898,64.855276,7369823319525226404
1136.03,192.184898,64.855276,84.5362,192.184898,64.855276,-5485155105599217863
1136.04,192.184898,64.855276,84.5362,192.184898,64.855276,-5347766383371790607
1137.01,301.17768,30.409951,419.435,301.17768,30.409951,3874792994608346678
1078.01,306.928646,-56.462287,20.373,306.928646,-56.462287,3475814770495497835
1079.01,283.119492,-55.387928,1179.27,283.119492,-55.387928,3855957791510847828
108.01,316.96148,-26.09672,421.855,316.96148,-26.09672,6987063521125832968
1080.01,276.368325,-52.214573,25.559,276.368325,-52.214573,3767516471298797054
1081.01,282.140409,-40.11177,354.05,282.140409,-40.11177,5254105512626855693
