main_id,ra,dec,otype,framework_id
ACO  2699,0.9375,-15.271666666666668,ClG,5483370411004738685
ACO  2689,0.0375,-15.738333333333332,ClG,4008447136637101114
ACO  1691,197.79643,39.27734,ClG,-5025226676460543662
ACO   757,138.24079166666667,47.72922222222223,ClG,6141154503833430413
ZwCl 2326+1329,352.15,13.766666666666666,ClG,-9208478573443394108
ACO   241,25.40416666666667,-16.248333333333335,ClG,-812865393024760691
ACO  2504,344.03333333333336,-14.916666666666666,ClG,-232192463413684512
ACO  2709,1.6625,-9.971666666666668,ClG,-911847905487854704
ClG 0329.0-5242,52.6,-52.53333333333333,ClG,4780520549768988179
ZwCl 1217+2915,185.0,28.966666666666665,ClG,1952766082151420199
ZwCl 1224+3131,186.775,31.23333333333333,ClG,-2885944490334889520
ZwCl 0150+3050,28.45,31.08333333333333,ClG,-3126636789324870161
ACO   563,104.47083333333332,69.01666666666667,ClG,-3532677309189857571
[CBI2009] z1.99 Cluster,189.125,62.21666666666667,ClG,9141482334713728624
ZwCl 1422+1732,216.1,17.3,ClG,-8560441323351095101
ZwCl 1534+4222,233.925,42.2,ClG,1155608550757853229
ACO  2582,350.4375,2.941666666666667,ClG,7314001515539636934
RXC J1537.8-4436,234.45,-44.62166666666667,ClG,1460806640886045113
RXC J1606.5-3246,241.64791666666667,-32.77833333333333,ClG,3865881202240509989
RXC J1500.8-5134,225.20916666666665,-51.56777777777778,ClG,3551449884337173917
RX J0821.0+0752,125.26,7.8630555555555555,ClG,663928216349174157
ACO  2495,342.57125,10.916999999999998,ClG,8180441815937918229
NAME XMMU J0044.0-2033,11.021666666666668,-20.566583333333337,ClG,-4749696347113616186
[B94] Clump D,358.5208333333333,-10.178333333333333,ClG,-2037934264045422718
ClG 1426.4+0158,217.24541666666667,1.7330555555555556,ClG,-6617587604141011379
ACO   163,18.65416666666667,24.731666666666666,ClG,-5419650324207852911
NSC J090708+303625,136.78637500000002,30.606972222222225,ClG,-3162790402587365595
[BMA2003] BH 331,157.38333333333333,-0.4716666666666667,ClG,2384887413870919105
RCS J093037+3636.6,142.6545833333333,36.61155555555556,ClG,-5685702162376003358
RCS J092611+3636.0,141.54916666666665,36.60147222222223,ClG,-7258685225055764045
RCS J093037+3816.6,142.65583333333336,38.27788888888889,ClG,-5098152552555930331
RCS J093110+3618.9,142.79333333333335,36.31544444444444,ClG,-9103806241134330113
NSC J093703+120101,144.26591666666664,12.016944444444444,ClG,7776822288094437384
NSC J100938+164602,152.40920833333334,16.767249999999997,ClG,801780207350016201
[RRB2014] RM J105550.2+543445.9,163.9592156,54.579407,ClG,-1822342910404344718
LCDCS 0090,157.89583333333331,-12.061944444444444,ClG,-2117500249296385588
GHO 001755+041442,5.120833333333333,4.5216666666666665,ClG,3749857543360061768
NSC J112703+352729,171.7657083333333,35.457972222222224,ClG,4144869486449732048
ACO  1827,209.5583333333333,21.706666666666667,ClG,-8837279651049696877
LCDCS 0394,178.3975,-11.8925,ClG,-7041799445617651247
NSC J122139+401801,185.4125,40.30033333333333,ClG,6561939142300504330
LCDCS 0513,184.89533333333333,-11.90636111111111,ClG,-3991312087280716928
1eRASS J212809.3-484330,322.039,-48.725,ClG,2008302843385040821
NSC J122833+444005,187.139125,44.66816666666666,ClG,5956548570007280771
NSC J122511+202809,186.2994583333333,20.46911111111111,ClG,4222779772082188826
ACT-CL J1540.0+1756,235.0,17.935555555555556,ClG,-8421324136620876664
ACT-CL J1625.8+1002,246.45458333333332,10.031666666666668,ClG,-1746245435202541832
NSC J125027+312154,192.61570833333332,31.365,ClG,8026519247123351160
ACT-CL J2336.1-0110,354.03625000000005,-1.1833333333333331,ClG,2230866046143428280
ACO   995,155.89999999999998,37.28,ClG,5951104094187522966
NSC J090531+514206,136.3825416666667,51.70172222222222,ClG,-1858785332282547690
NSC J142713+250847,216.80408333333327,25.146444444444445,ClG,-6919960713513720745
[BVH2007] 196,226.16291666666663,-14.899444444444445,ClG,-4667848678426058282
[BVH2007] 219,274.79166666666663,69.16083333333334,ClG,7416458412175654531
[BVH2007] 22,32.46999999999999,-51.27194444444444,ClG,5593160490791364340
[BVH2007] 224,302.97166666666664,-35.92777777777777,ClG,-5990804189445710704
[BVH2007] 26,37.09416666666667,23.42305555555556,ClG,-5426198556258017315
[BVH2007] 218,271.8670833333333,69.77277777777778,ClG,4649752654783367061
[BVH2007] 38,50.07541666666667,-42.98694444444445,ClG,4771229490310293584
[BVH2007] 5-2,52.9975,-45.406666666666666,ClG,-8790341665338598016
[BVH2007] 119,167.51875,-29.951666666666664,ClG,8517518592402122755
[RRB2014] RM J005733.8+115624.6,14.390416666666669,11.94,ClG,-6756894077166255915
[RRB2014] RM J002138.8+284354.0,5.411249999999999,28.731388888888887,ClG,5596289571869655254
[RRB2014] RM J091044.5+055920.9,137.685,5.988888888888889,ClG,-7677740530111880652
[RRB2014] RM J232207.1+292822.7,350.52958333333333,29.47277777777777,ClG,-8714925080684733893
[RRB2014] RM J121828.5+133616.4,184.61875,13.604444444444445,ClG,4820617712066960416
[RRB2014] RM J105229.2+525052.6,163.12125,52.84777777777778,ClG,3781094334402409682
[RRB2014] RM J015555.3+131911.1,28.980416666666667,13.319722222222222,ClG,-8168230765100161653
[RRB2014] RM J131413.6+262100.7,198.55666666666664,26.35,ClG,-2797534874142117321
[RRB2014] RM J020603.0+243523.6,31.512083333333333,24.58972222222222,ClG,-764223720808507218
[RRB2014] RM J013916.0+341314.2,24.81625,34.22055555555556,ClG,115244536614942146
[RRB2014] RM J002837.9-104559.4,7.157916666666666,-10.766388888888889,ClG,850105287087936487
[RRB2014] RM J084427.2-001059.2,131.11333333333332,-0.1830555555555555,ClG,7604911008708887352
